start date: 	2016-02-18						
start time: 	14.52.43						
stop date: 	2016-02-18						
stop time: 	15.02.56						
com rel. humid (%):	34.7						
com temp (°C):	26.09						
cn temp (°C):	26.87						
nv temp (°C):	31.00						
remarks: 							
R1 Info: 	SP036(1.290635851E+4)						
R2 Info: 	1445(1.000000000E+4)						
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_012_1452.txt						
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_012_1452_cccdrive.cfg						
setup_file_path	C:\MagniconData\SQUIDViewerData\Saved Setups\Newest.stp						
time base (Hz): 	60						
integration time (time base multiples):	3						
number of samples per half cycle: 	100						
ignored first samples: 	50						
ignored last samples: 	0						
amplifier gain: 	10000						
delta N1/NA (mTurns): 	-48.339843750						
delta (I2*R2) (V): 	3.0001						
							
N1:	2065						
N2:	1600						

							
Mode:	FLL						
Rf Amp::	OFF						
Amp Gain:	PLUS						
Rf FLL:	11.0 kOhm						
SQUID Gain:	NEG						
I1 Range:	300uA						
I1 Amplitude:	154.966887E-6						
feedin Polarity:	POS						
I1 SQUID feedIn (ON/OFF):	OFF						
I1 SQUID feedin:	-39.5dB						
I2 Range:	300uA						
I2 Amplitude:	200.000000E-6						
I2 SQUID feedIn (ON/OFF):	ON						
I2 SQUID feedin:	-52.0dB						
Screen (+):	ON						
Screen (-):	OFF						
Screen Amplitude:	45.779032E-6						

							
Results							
Standard Pressure Correction:	YES						
Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)				
31.7141	0.0073	1.000031739E+4					

							
#points	bvd(V)	bvdmean(V)	stddrtN-1(V)	Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)

							
1	3.307200E-7	3.307200E-7	NaN	3.170694E+1	3.170694E+1	NaN	1.000031707E+4
2	3.043200E-7	3.175200E-7	1.866762E-8	3.171574E+1	3.171134E+1	6.222529E-3	1.000031711E+4
3	3.134400E-7	3.161600E-7	1.340853E-8	3.171270E+1	3.171180E+1	4.469504E-3	1.000031712E+4
4	3.024000E-7	3.127200E-7	1.293034E-8	3.171638E+1	3.171294E+1	4.310105E-3	1.000031713E+4
5	3.016800E-7	3.105120E-7	1.223812E-8	3.171662E+1	3.171368E+1	4.079365E-3	1.000031714E+4
6	3.192000E-7	3.119600E-7	1.150641E-8	3.171078E+1	3.171320E+1	3.835463E-3	1.000031713E+4
7	3.840000E-7	3.222514E-7	2.918434E-8	3.168918E+1	3.170977E+1	9.728096E-3	1.000031710E+4
8	3.086400E-7	3.205500E-7	2.744466E-8	3.171430E+1	3.171033E+1	9.148205E-3	1.000031710E+4
9	3.086400E-7	3.192267E-7	2.597728E-8	3.171430E+1	3.171078E+1	8.659079E-3	1.000031711E+4
10	3.088800E-7	3.181920E-7	2.470920E-8	3.171422E+1	3.171112E+1	8.236386E-3	1.000031711E+4
11	3.482400E-7	3.209236E-7	2.513106E-8	3.170110E+1	3.171021E+1	8.377007E-3	1.000031710E+4
12	2.961600E-7	3.188600E-7	2.500516E-8	3.171846E+1	3.171090E+1	8.335039E-3	1.000031711E+4
13	2.892000E-7	3.165785E-7	2.531449E-8	3.172078E+1	3.171166E+1	8.438150E-3	1.000031712E+4
14	2.844000E-7	3.142800E-7	2.579710E-8	3.172238E+1	3.171242E+1	8.599019E-3	1.000031712E+4
15	3.096000E-7	3.139680E-7	2.488806E-8	3.171398E+1	3.171253E+1	8.296006E-3	1.000031713E+4
16	3.060000E-7	3.134700E-7	2.412653E-8	3.171518E+1	3.171269E+1	8.042162E-3	1.000031713E+4
17	2.923200E-7	3.122259E-7	2.391698E-8	3.171974E+1	3.171311E+1	7.972312E-3	1.000031713E+4
18	2.877600E-7	3.108667E-7	2.390874E-8	3.172126E+1	3.171356E+1	7.969566E-3	1.000031714E+4
19	2.904000E-7	3.097895E-7	2.370479E-8	3.172038E+1	3.171392E+1	7.901585E-3	1.000031714E+4
20	2.892000E-7	3.087600E-7	2.352741E-8	3.172078E+1	3.171426E+1	7.842456E-3	1.000031714E+4
21	3.177600E-7	3.091886E-7	2.301563E-8	3.171126E+1	3.171412E+1	7.671863E-3	1.000031714E+4
22	3.084000E-7	3.091527E-7	2.246158E-8	3.171438E+1	3.171413E+1	7.487182E-3	1.000031714E+4
23	2.654400E-7	3.072522E-7	2.376275E-8	3.172870E+1	3.171477E+1	7.920903E-3	1.000031715E+4
24	3.168000E-7	3.076500E-7	2.332200E-8	3.171158E+1	3.171463E+1	7.773988E-3	1.000031715E+4
25	3.499200E-7	3.093408E-7	2.434590E-8	3.170054E+1	3.171407E+1	8.115286E-3	1.000031714E+4
26	2.793600E-7	3.081877E-7	2.456797E-8	3.172406E+1	3.171446E+1	8.189308E-3	1.000031714E+4
27	2.923200E-7	3.076000E-7	2.428365E-8	3.171974E+1	3.171465E+1	8.094535E-3	1.000031715E+4
28	3.081600E-7	3.076200E-7	2.382994E-8	3.171446E+1	3.171464E+1	7.943300E-3	1.000031715E+4
29	3.103200E-7	3.077131E-7	2.340591E-8	3.171374E+1	3.171461E+1	7.801956E-3	1.000031715E+4
30	3.242400E-7	3.082640E-7	2.319591E-8	3.170910E+1	3.171443E+1	7.731957E-3	1.000031714E+4
31	2.964000E-7	3.078813E-7	2.290536E-8	3.171838E+1	3.171456E+1	7.635108E-3	1.000031715E+4
32	3.288000E-7	3.085350E-7	2.283432E-8	3.170758E+1	3.171434E+1	7.611426E-3	1.000031714E+4
33	3.127200E-7	3.086618E-7	2.248651E-8	3.171294E+1	3.171430E+1	7.495489E-3	1.000031714E+4
34	3.134400E-7	3.088024E-7	2.215834E-8	3.171270E+1	3.171425E+1	7.386100E-3	1.000031714E+4
35	3.441600E-7	3.098126E-7	2.263338E-8	3.170246E+1	3.171391E+1	7.544447E-3	1.000031714E+4
36	3.364800E-7	3.105533E-7	2.274616E-8	3.170502E+1	3.171367E+1	7.582041E-3	1.000031714E+4
37	2.661600E-7	3.093535E-7	2.358559E-8	3.172846E+1	3.171407E+1	7.861849E-3	1.000031714E+4
38	2.916000E-7	3.088863E-7	2.344226E-8	3.171998E+1	3.171422E+1	7.814075E-3	1.000031714E+4
39	3.196800E-7	3.091631E-7	2.319624E-8	3.171062E+1	3.171413E+1	7.732066E-3	1.000031714E+4
40	2.961600E-7	3.088380E-7	2.298904E-8	3.171846E+1	3.171424E+1	7.663000E-3	1.000031714E+4
41	2.640000E-7	3.077444E-7	2.375539E-8	3.172918E+1	3.171460E+1	7.918451E-3	1.000031715E+4
42	2.870400E-7	3.072514E-7	2.368040E-8	3.172150E+1	3.171477E+1	7.893453E-3	1.000031715E+4
43	3.348000E-7	3.078921E-7	2.377098E-8	3.170558E+1	3.171455E+1	7.923645E-3	1.000031715E+4
44	3.314400E-7	3.084273E-7	2.375965E-8	3.170670E+1	3.171438E+1	7.919868E-3	1.000031714E+4
45	3.170400E-7	3.086187E-7	2.352316E-8	3.171150E+1	3.171431E+1	7.841041E-3	1.000031714E+4
46	3.220800E-7	3.089113E-7	2.334485E-8	3.170982E+1	3.171421E+1	7.781603E-3	1.000031714E+4
47	3.091200E-7	3.089157E-7	2.308973E-8	3.171414E+1	3.171421E+1	7.696563E-3	1.000031714E+4
48	3.331200E-7	3.094200E-7	2.310838E-8	3.170614E+1	3.171404E+1	7.702781E-3	1.000031714E+4
49	2.985600E-7	3.091984E-7	2.291897E-8	3.171766E+1	3.171412E+1	7.639645E-3	1.000031714E+4
50	2.899200E-7	3.088128E-7	2.284715E-8	3.172054E+1	3.171425E+1	7.615705E-3	1.000031714E+4
51	3.172800E-7	3.089788E-7	2.264858E-8	3.171142E+1	3.171419E+1	7.549515E-3	1.000031714E+4
52	3.537600E-7	3.098400E-7	2.326940E-8	3.169926E+1	3.171390E+1	7.756452E-3	1.000031714E+4
53	2.925600E-7	3.095140E-7	2.316648E-8	3.171966E+1	3.171401E+1	7.722148E-3	1.000031714E+4
54	3.110400E-7	3.095422E-7	2.294783E-8	3.171350E+1	3.171400E+1	7.649264E-3	1.000031714E+4
55	3.086400E-7	3.095258E-7	2.273468E-8	3.171430E+1	3.171401E+1	7.578215E-3	1.000031714E+4
56	2.887200E-7	3.091543E-7	2.269798E-8	3.172094E+1	3.171413E+1	7.565981E-3	1.000031714E+4
