start date: 	2016-02-18
start time: 	14.04.21
stop date: 	2016-02-18
stop time: 	14.14.33
com rel. humid (%):	34.7
com temp (°C):	26.09
cn temp (°C):	27.06
nv temp (°C):	31.22
remarks: 	
R1 Info: 	SP036
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_008_1404.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_008_1404_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-48.339843750
delta (I2*R2) (V): 	3.0001

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	-1.728000E-8	-1.728000E-8	NaN
2	-9.600000E-9	-1.344000E-8	3.840000E-9
3	2.976000E-8	9.600000E-10	1.456967E-8
4	9.600000E-10	9.600000E-10	1.030231E-8
5	-3.120000E-8	-5.472000E-9	1.024955E-8
6	8.400000E-9	-3.160000E-9	8.682212E-9
7	-3.480000E-8	-7.680000E-9	8.618227E-9
8	-1.200000E-9	-6.870000E-9	7.507428E-9
9	-1.320000E-8	-7.573333E-9	6.658181E-9
10	1.200000E-9	-6.696000E-9	6.019536E-9
11	2.232000E-8	-4.058182E-9	6.050186E-9
12	-3.864000E-8	-6.940000E-9	6.229674E-9
13	-1.032000E-8	-7.200000E-9	5.736362E-9
14	-2.184000E-8	-8.245714E-9	5.412812E-9
15	-1.680000E-8	-8.816000E-9	5.071221E-9
16	-1.080000E-8	-8.940000E-9	4.745313E-9
17	-2.760000E-8	-1.003765E-8	4.590605E-9
18	-2.760000E-8	-1.101333E-8	4.436677E-9
19	2.400000E-9	-1.030737E-8	4.255640E-9
20	-1.368000E-8	-1.047600E-8	4.040775E-9
21	1.104000E-8	-9.451429E-9	3.977760E-9
22	3.024000E-8	-7.647273E-9	4.199897E-9
23	4.080000E-9	-7.137391E-9	4.045402E-9
24	-1.128000E-8	-7.310000E-9	3.877022E-9
25	-4.080000E-9	-7.180800E-9	3.720953E-9
26	9.120000E-9	-6.553846E-9	3.629535E-9
27	1.032000E-8	-5.928889E-9	3.547996E-9
28	-1.752000E-8	-6.342857E-9	3.443905E-9
29	-1.608000E-8	-6.678621E-9	3.339949E-9
30	-1.512000E-8	-6.960000E-9	3.238942E-9
31	-8.400000E-9	-7.006452E-9	3.133063E-9
32	6.240000E-9	-6.592500E-9	3.061688E-9
33	1.248000E-8	-6.014545E-9	3.023218E-9
34	1.152000E-8	-5.498824E-9	2.977949E-9
35	2.544000E-8	-4.614857E-9	3.023710E-9
36	-3.192000E-8	-5.373333E-9	3.034827E-9
37	-1.920000E-8	-5.747027E-9	2.975227E-9
38	2.352000E-8	-4.976842E-9	2.996542E-9
39	1.344000E-8	-4.504615E-9	2.956652E-9
40	-1.008000E-8	-4.644000E-9	2.885156E-9
41	0.000000E+0	-4.530732E-9	2.816186E-9
42	2.064000E-8	-3.931429E-9	2.812900E-9
43	9.120000E-9	-3.627907E-9	2.763424E-9
44	-1.392000E-8	-3.861818E-9	2.710002E-9
45	2.736000E-8	-3.168000E-9	2.738447E-9
46	1.512000E-8	-2.770435E-9	2.707600E-9
47	-9.840000E-9	-2.920851E-9	2.653632E-9
48	-6.960000E-9	-3.005000E-9	2.599122E-9
49	2.496000E-8	-2.434286E-9	2.608720E-9
50	9.840000E-9	-2.188800E-9	2.567775E-9
51	2.160000E-9	-2.103529E-9	2.518367E-9
52	4.320000E-9	-1.980000E-9	2.472549E-9
53	1.992000E-8	-1.566792E-9	2.460395E-9
54	9.600000E-10	-1.520000E-9	2.414855E-9
55	-1.968000E-8	-1.850182E-9	2.393427E-9
56	-1.488000E-8	-2.082857E-9	2.361788E-9
57	1.584000E-8	-1.768421E-9	2.341194E-9
58	2.880000E-9	-1.688276E-9	2.301870E-9
59	9.600000E-10	-1.643390E-9	2.262964E-9
60	2.520000E-8	-1.196000E-9	2.269464E-9
