start date: 	2016-02-18
start time: 	10.15.58
stop date: 	2016-02-18
stop time: 	10.26.11
com rel. humid (%):	34.6
com temp (°C):	26.68
cn temp (°C):	28.47
nv temp (°C):	32.72
remarks: 	
R1 Info: 	SP036
R2 Info: 	1218
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_005_1015.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_005_1015_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-25.070190430
delta (I2*R2) (V): 	1.0000

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	-1.920000E-8	-1.920000E-8	NaN
2	-1.968000E-8	-1.944000E-8	2.400000E-10
3	-3.120000E-8	-2.336000E-8	3.922448E-9
4	5.280000E-9	-1.620000E-8	7.678437E-9
5	3.840000E-9	-1.219200E-8	7.172106E-9
6	-1.680000E-9	-1.044000E-8	6.112466E-9
7	-5.280000E-9	-9.702857E-9	5.218304E-9
8	1.200000E-8	-6.990000E-9	5.270922E-9
9	-4.320000E-9	-6.693333E-9	4.657973E-9
10	1.344000E-8	-4.680000E-9	4.627189E-9
11	-1.584000E-8	-5.694545E-9	4.306657E-9
12	-2.160000E-8	-7.020000E-9	4.148844E-9
13	-5.448000E-8	-1.067077E-8	5.281372E-9
14	-8.160000E-9	-1.049143E-8	4.892888E-9
15	-1.704000E-8	-1.092800E-8	4.575904E-9
16	-1.200000E-9	-1.032000E-8	4.323332E-9
17	2.112000E-8	-8.470588E-9	4.462349E-9
18	-2.640000E-8	-9.466667E-9	4.323451E-9
19	-1.680000E-9	-9.056842E-9	4.110058E-9
20	-1.344000E-8	-9.276000E-9	3.905298E-9
21	-1.992000E-8	-9.782857E-9	3.749099E-9
22	-2.160000E-8	-1.032000E-8	3.614758E-9
23	-2.112000E-8	-1.078957E-8	3.485792E-9
24	-5.280000E-9	-1.056000E-8	3.345278E-9
25	-9.600000E-10	-1.017600E-8	3.231574E-9
26	1.392000E-8	-9.249231E-9	3.240164E-9
27	-1.008000E-8	-9.280000E-9	3.118001E-9
28	-1.008000E-8	-9.308571E-9	3.004716E-9
29	1.992000E-8	-8.300690E-9	3.069447E-9
30	-8.400000E-9	-8.304000E-9	2.965369E-9
31	1.296000E-8	-7.618065E-9	2.949001E-9
32	-7.920000E-9	-7.627500E-9	2.855373E-9
33	-2.520000E-8	-8.160000E-9	2.818259E-9
34	-6.000000E-9	-8.096471E-9	2.734850E-9
35	1.344000E-8	-7.481143E-9	2.725920E-9
36	-1.488000E-8	-7.686667E-9	2.657079E-9
37	-7.200000E-9	-7.673514E-9	2.584302E-9
38	4.080000E-9	-7.364211E-9	2.534320E-9
39	-2.088000E-8	-7.710769E-9	2.492691E-9
40	4.320000E-9	-7.410000E-9	2.448120E-9
41	-1.008000E-8	-7.475122E-9	2.388552E-9
42	-1.128000E-8	-7.565714E-9	2.332747E-9
43	2.184000E-8	-6.881860E-9	2.378290E-9
44	4.320000E-9	-6.627273E-9	2.337515E-9
45	-3.120000E-8	-7.173333E-9	2.349322E-9
46	8.880000E-9	-6.824348E-9	2.324034E-9
47	-3.408000E-8	-7.404255E-9	2.346826E-9
48	-1.728000E-8	-7.610000E-9	2.306608E-9
49	-2.736000E-8	-8.013061E-9	2.294720E-9
50	-1.752000E-8	-8.203200E-9	2.256382E-9
51	-2.592000E-8	-8.550588E-9	2.238813E-9
52	-1.512000E-8	-8.676923E-9	2.198969E-9
53	-7.440000E-9	-8.653585E-9	2.157206E-9
54	-2.640000E-9	-8.542222E-9	2.119808E-9
55	-2.280000E-8	-8.801455E-9	2.096994E-9
56	-8.160000E-9	-8.790000E-9	2.059239E-9
57	-2.832000E-8	-9.132632E-9	2.051603E-9
58	1.440000E-9	-8.950345E-9	2.024145E-9
59	-1.920000E-9	-8.831186E-9	1.993107E-9
60	-1.560000E-8	-8.944000E-9	1.962851E-9
