start date: 	2016-02-18
start time: 	15.27.50
stop date: 	2016-02-18
stop time: 	15.40.17
com rel. humid (%):	35.2
com temp (°C):	25.79
cn temp (°C):	26.78
nv temp (°C):	30.94
remarks: 	
R1 Info: 	SP036
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_015_1527.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_015_1527_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-48.339843750
delta (I2*R2) (V): 	3.0001

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	2.880000E-8	2.880000E-8	NaN
2	-1.200000E-9	1.380000E-8	1.500000E-8
3	-2.016000E-8	2.480000E-9	1.425280E-8
4	-1.848000E-8	-2.760000E-9	1.135908E-8
5	4.800000E-10	-2.112000E-9	8.822538E-9
6	-1.128000E-8	-3.640000E-9	7.363847E-9
7	2.640000E-9	-2.742857E-9	6.287916E-9
8	-1.896000E-8	-4.770000E-9	5.810570E-9
9	-2.400000E-10	-4.266667E-9	5.149101E-9
10	2.880000E-9	-3.552000E-9	4.660616E-9
11	-4.320000E-9	-3.621818E-9	4.216264E-9
12	-1.584000E-8	-4.640000E-9	3.981302E-9
13	4.320000E-9	-3.950769E-9	3.726557E-9
14	1.656000E-8	-2.485714E-9	3.748296E-9
15	-2.520000E-8	-4.000000E-9	3.803878E-9
16	1.176000E-8	-3.015000E-9	3.692022E-9
17	1.560000E-8	-1.920000E-9	3.636812E-9
18	9.600000E-9	-1.280000E-9	3.488037E-9
19	-2.424000E-8	-2.488421E-9	3.513689E-9
20	3.264000E-8	-7.320000E-10	3.767814E-9
21	3.360000E-9	-5.371429E-10	3.589199E-9
22	-1.944000E-8	-1.396364E-9	3.528383E-9
23	-9.360000E-9	-1.742609E-9	3.389220E-9
24	-2.208000E-8	-2.590000E-9	3.353751E-9
25	-5.280000E-9	-2.697600E-9	3.218604E-9
26	2.592000E-8	-1.596923E-9	3.282381E-9
27	1.440000E-9	-1.484444E-9	3.160475E-9
28	1.032000E-8	-1.062857E-9	3.074551E-9
29	-5.520000E-9	-1.216552E-9	2.970617E-9
30	-3.600000E-8	-2.376000E-9	3.095251E-9
31	-1.848000E-8	-2.895484E-9	3.038477E-9
32	-9.600000E-10	-2.835000E-9	2.942614E-9
33	1.608000E-8	-2.261818E-9	2.909077E-9
34	7.200000E-9	-1.983529E-9	2.835907E-9
35	-1.416000E-8	-2.331429E-9	2.775579E-9
36	1.200000E-9	-2.233333E-9	2.699161E-9
37	1.992000E-8	-1.634595E-9	2.692610E-9
38	-1.440000E-9	-1.629474E-9	2.620799E-9
39	-3.672000E-8	-2.529231E-9	2.706643E-9
40	-3.840000E-9	-2.562000E-9	2.638313E-9
41	-2.472000E-8	-3.102439E-9	2.629301E-9
42	-2.400000E-10	-3.034286E-9	2.566840E-9
43	1.056000E-8	-2.718140E-9	2.526295E-9
44	8.640000E-9	-2.460000E-9	2.481673E-9
45	-1.056000E-8	-2.640000E-9	2.432567E-9
46	-1.680000E-9	-2.619130E-9	2.379189E-9
47	-1.704000E-8	-2.925957E-9	2.348150E-9
48	5.280000E-9	-2.755000E-9	2.305058E-9
49	8.160000E-9	-2.532245E-9	2.268489E-9
50	-8.160000E-9	-2.644800E-9	2.225505E-9
51	-1.464000E-8	-2.880000E-9	2.194074E-9
52	4.080000E-9	-2.746154E-9	2.155626E-9
53	9.600000E-10	-2.676226E-9	2.115718E-9
54	-2.160000E-9	-2.666667E-9	2.076191E-9
55	-9.600000E-10	-2.635636E-9	2.038328E-9
56	1.944000E-8	-2.241429E-9	2.040048E-9
57	1.776000E-8	-1.890526E-9	2.034429E-9
58	3.744000E-8	-1.212414E-9	2.110928E-9
59	5.760000E-9	-1.094237E-9	2.078204E-9
60	-7.440000E-9	-1.200000E-9	2.046009E-9
61	2.424000E-8	-7.829508E-10	2.054953E-9
62	1.200000E-9	-7.509677E-10	2.021790E-9
63	2.256000E-8	-3.809524E-10	2.023556E-9
64	0.000000E+0	-3.750000E-10	1.991696E-9
65	7.920000E-9	-2.473846E-10	1.964964E-9
66	2.400000E-10	-2.400000E-10	1.934977E-9
67	2.736000E-8	1.719403E-10	1.949888E-9
68	-1.512000E-8	-5.294118E-11	1.934117E-9
69	-2.520000E-8	-4.173913E-10	1.940414E-9
70	2.501393E-4	3.573007E-6	3.573425E-6
71	-1.440000E-9	3.522663E-6	3.523095E-6
72	-2.096616E-5	3.182540E-6	3.490430E-6
73	5.827200E-6	3.218768E-6	3.442474E-6
