start date: 	2016-02-18
start time: 	09.37.39
stop date: 	2016-02-18
stop time: 	09.47.51
com rel. humid (%):	34.4
com temp (°C):	26.90
cn temp (°C):	28.97
nv temp (°C):	33.53
remarks: 	
R1 Info: 	SP036
R2 Info: 	1218
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_002_0937.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_002_0937_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-25.070190430
delta (I2*R2) (V): 	1.0000

data(V)	phase	error
4.050000E-5	1	0	
4.053600E-5	1	0	
4.052400E-5	1	0	
4.054800E-5	1	0	
4.060800E-5	1	0	
4.066800E-5	1	0	
4.063200E-5	1	0	
4.062000E-5	1	0	
4.054800E-5	1	0	
4.053600E-5	1	0	
4.052400E-5	1	0	
4.052400E-5	1	0	
4.056000E-5	1	0	
4.057200E-5	1	0	
4.064400E-5	1	0	
4.051200E-5	1	0	
4.051200E-5	1	0	
4.058400E-5	1	0	
4.053600E-5	1	0	
4.056000E-5	1	0	
4.059600E-5	1	0	
4.059600E-5	1	0	
4.065600E-5	1	0	
4.068000E-5	1	0	
4.064400E-5	1	0	
4.060800E-5	1	0	
4.057200E-5	1	0	
4.056000E-5	1	0	
4.058400E-5	1	0	
4.062000E-5	1	0	
4.054800E-5	1	0	
4.060800E-5	1	0	
4.064400E-5	1	0	
4.063200E-5	1	0	
4.063200E-5	1	0	
4.058400E-5	1	0	
4.046400E-5	1	0	
4.050000E-5	1	0	
4.063200E-5	1	0	
4.051200E-5	1	0	
4.059600E-5	1	0	
4.059600E-5	1	0	
4.064400E-5	1	0	
4.065600E-5	1	0	
4.058400E-5	1	0	
4.057200E-5	1	0	
4.056000E-5	1	0	
4.069200E-5	1	0	
4.062000E-5	1	0	
4.058400E-5	1	0	
4.060800E-5	1	0	
4.072800E-5	1	0	
4.070400E-5	1	0	
4.059600E-5	1	0	
4.051200E-5	1	0	
4.052400E-5	1	0	
4.052400E-5	1	0	
4.060800E-5	1	0	
4.058400E-5	1	0	
4.065600E-5	1	0	
4.065600E-5	1	0	
4.068000E-5	1	0	
4.066800E-5	1	0	
4.056000E-5	1	0	
4.062000E-5	1	0	
4.054800E-5	1	0	
4.069200E-5	1	0	
4.065600E-5	1	0	
4.060800E-5	1	0	
4.063200E-5	1	0	
4.058400E-5	1	0	
4.065600E-5	1	0	
4.054800E-5	1	0	
4.063200E-5	1	0	
4.056000E-5	1	0	
4.046400E-5	1	0	
4.051200E-5	1	0	
4.064400E-5	1	0	
4.064400E-5	1	0	
4.060800E-5	1	0	
4.062000E-5	1	0	
4.059600E-5	1	0	
4.051200E-5	1	0	
4.068000E-5	1	0	
4.059600E-5	1	0	
4.057200E-5	1	0	
4.050000E-5	1	0	
4.033200E-5	4	0	
3.957600E-5	4	0	
3.948000E-5	4	0	
3.940800E-5	4	0	
3.937200E-5	4	0	
3.943200E-5	4	0	
3.943200E-5	4	0	
3.952800E-5	4	0	
3.948000E-5	4	0	
3.950400E-5	4	0	
3.950400E-5	4	0	
3.946800E-5	4	0	
3.952800E-5	4	0	
3.945600E-5	4	0	
3.956400E-5	4	0	
3.942000E-5	4	0	
3.945600E-5	4	0	
3.951600E-5	4	0	
3.950400E-5	4	0	
3.955200E-5	4	0	
3.964800E-5	4	0	
4.051200E-5	2	0	
4.070400E-5	2	0	
4.060800E-5	2	0	
4.062000E-5	2	0	
4.052400E-5	2	0	
4.060800E-5	2	0	
4.052400E-5	2	0	
4.044000E-5	2	0	
4.053600E-5	2	0	
4.056000E-5	2	0	
4.059600E-5	2	0	
4.058400E-5	2	0	
4.057200E-5	2	0	
4.060800E-5	2	0	
4.058400E-5	2	0	
4.056000E-5	2	0	
4.062000E-5	2	0	
4.059600E-5	2	0	
4.052400E-5	2	0	
4.059600E-5	2	0	
4.062000E-5	2	0	
4.057200E-5	2	0	
4.050000E-5	2	0	
4.053600E-5	2	0	
4.065600E-5	2	0	
4.063200E-5	2	0	
4.057200E-5	2	0	
4.066800E-5	2	0	
4.063200E-5	2	0	
4.060800E-5	2	0	
4.058400E-5	2	0	
4.060800E-5	2	0	
4.064400E-5	2	0	
4.068000E-5	2	0	
4.060800E-5	2	0	
4.064400E-5	2	0	
4.062000E-5	2	0	
4.052400E-5	2	0	
4.058400E-5	2	0	
4.070400E-5	2	0	
4.063200E-5	2	0	
4.058400E-5	2	0	
4.064400E-5	2	0	
4.062000E-5	2	0	
4.066800E-5	2	0	
4.064400E-5	2	0	
