start date: 	2016-02-18
start time: 	15.04.33
stop date: 	2016-02-18
stop time: 	15.14.45
com rel. humid (%):	34.6
com temp (°C):	26.12
cn temp (°C):	26.87
nv temp (°C):	30.84
remarks: 	
R1 Info: 	SP036
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_013_1504.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-18_CCC\160218_013_1504_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-48.339843750
delta (I2*R2) (V): 	3.0001

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	-1.968000E-8	-1.968000E-8	NaN
2	2.400000E-10	-9.720000E-9	9.960000E-9
3	-2.304000E-8	-1.416000E-8	7.265040E-9
4	3.120000E-9	-9.840000E-9	6.712138E-9
5	1.248000E-8	-5.376000E-9	6.852662E-9
6	6.720000E-9	-3.360000E-9	5.947288E-9
7	8.400000E-9	-1.680000E-9	5.299703E-9
8	-7.440000E-9	-2.400000E-9	4.645809E-9
9	-1.416000E-8	-3.706667E-9	4.300532E-9
10	-1.872000E-8	-5.208000E-9	4.129124E-9
11	1.728000E-8	-3.163636E-9	4.257834E-9
12	-7.200000E-10	-2.960000E-9	3.892183E-9
13	4.800000E-10	-2.695385E-9	3.590053E-9
14	-8.640000E-9	-3.120000E-9	3.350757E-9
15	1.776000E-8	-1.728000E-9	3.415878E-9
16	1.104000E-8	-9.300000E-10	3.293402E-9
17	3.000000E-8	8.894118E-10	3.588969E-9
18	-1.896000E-8	-2.133333E-10	3.558870E-9
19	-1.128000E-8	-7.957895E-10	3.416372E-9
20	-1.200000E-8	-1.356000E-9	3.289114E-9
21	-1.224000E-8	-1.874286E-9	3.171211E-9
22	1.248000E-8	-1.221818E-9	3.093228E-9
23	1.392000E-8	-5.634783E-10	3.028113E-9
24	-5.280000E-9	-7.600000E-10	2.905850E-9
25	1.296000E-8	-2.112000E-10	2.840709E-9
26	-3.888000E-8	-1.698462E-9	3.108188E-9
27	-2.328000E-8	-2.497778E-9	3.095824E-9
28	-1.248000E-8	-2.854286E-9	3.004437E-9
29	9.840000E-9	-2.416552E-9	2.931847E-9
30	4.800000E-9	-2.176000E-9	2.842630E-9
31	3.600000E-9	-1.989677E-9	2.755709E-9
32	1.080000E-8	-1.590000E-9	2.697972E-9
33	-1.056000E-8	-1.861818E-9	2.629027E-9
34	-1.056000E-8	-2.117647E-9	2.563329E-9
35	-1.512000E-8	-2.489143E-9	2.516585E-9
36	-3.216000E-8	-3.313333E-9	2.580823E-9
37	-3.312000E-8	-4.118919E-9	2.636206E-9
38	1.272000E-8	-3.675789E-9	2.603877E-9
39	3.840000E-9	-3.483077E-9	2.543543E-9
40	-1.200000E-8	-3.696000E-9	2.488266E-9
41	-7.440000E-9	-3.787317E-9	2.428535E-9
42	2.784000E-8	-3.034286E-9	2.486764E-9
43	-1.320000E-8	-3.270698E-9	2.439725E-9
44	1.464000E-8	-2.863636E-9	2.418139E-9
45	7.440000E-9	-2.634667E-9	2.374856E-9
46	2.256000E-8	-2.086957E-9	2.386360E-9
47	-2.208000E-8	-2.512340E-9	2.373465E-9
48	1.056000E-8	-2.240000E-9	2.339398E-9
49	1.152000E-8	-1.959184E-9	2.308303E-9
50	8.400000E-9	-1.752000E-9	2.271136E-9
51	4.320000E-9	-1.632941E-9	2.229340E-9
52	-3.480000E-8	-2.270769E-9	2.277197E-9
53	-2.448000E-8	-2.689811E-9	2.272782E-9
54	2.880000E-9	-2.586667E-9	2.232680E-9
55	7.440000E-9	-2.404364E-9	2.199279E-9
56	7.440000E-9	-2.228571E-9	2.166792E-9
57	-5.760000E-9	-2.290526E-9	2.129340E-9
58	1.536000E-8	-1.986207E-9	2.114321E-9
59	4.440000E-8	-1.200000E-9	2.221922E-9
60	-1.272000E-8	-1.392000E-9	2.192997E-9
