start date: 	2023-08-09
start time: 	16.31.38
stop date: 	2023-08-09
stop time: 	16.52.46
com rel. humid (%):	33.5
com temp (°C):	28.96
cn temp (°C):	31.12
nv temp (°C):	35.28
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Yel, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.0e-3 mbar, using 4G power supply
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1215
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-09_CCC\230809_001_1631.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-09_CCC\230809_001_1631_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	24.459551554
delta (I2*R2) (V): 	2.000061037
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+1.327320E-07	1	0	
+1.335360E-07	1	0	
+1.412520E-07	1	0	
+1.524780E-07	1	0	
+1.493340E-07	1	0	
+1.461540E-07	1	0	
+1.370820E-07	1	0	
+1.409820E-07	1	0	
+1.570920E-07	1	0	
+1.465620E-07	1	0	
+1.508220E-07	1	0	
+1.469940E-07	1	0	
+1.370820E-07	1	0	
+1.478100E-07	1	0	
+1.567980E-07	1	0	
+1.468620E-07	1	0	
+1.563960E-07	1	0	
+1.599240E-07	1	0	
+1.505640E-07	1	0	
+1.526220E-07	1	0	
+1.573920E-07	1	0	
+1.639380E-07	1	0	
+1.604520E-07	1	0	
+1.581240E-07	1	0	
+1.607520E-07	1	0	
+1.675980E-07	1	0	
+1.571040E-07	1	0	
+1.579440E-07	1	0	
-2.475606E-06	4	0	
-3.616032E-06	4	8	
-1.138896E-06	4	0	
+1.578720E-07	2	0	
+1.583820E-07	2	0	
+1.601220E-07	2	0	
+1.639560E-07	2	0	
+1.735140E-07	2	0	
+1.771140E-07	2	0	
+1.836600E-07	2	0	
+1.877880E-07	2	0	
+1.761120E-07	2	0	
+1.743960E-07	2	0	
+1.885200E-07	2	0	
+1.866000E-07	2	0	
+1.701900E-07	2	0	
+1.777020E-07	2	0	
+1.788840E-07	2	0	
+1.808100E-07	2	0	
+1.806180E-07	2	0	
+1.774500E-07	2	0	
+1.796460E-07	2	0	
+1.784700E-07	2	0	
+1.909680E-07	2	0	
+1.924920E-07	2	0	
+1.847700E-07	2	0	
+1.790820E-07	2	0	
+1.680180E-07	2	0	
+1.861920E-07	2	0	
+1.803720E-07	2	0	
+2.682102E-06	3	0	
+3.665844E-06	3	8	
+1.441956E-06	3	0	
+1.805040E-07	1	0	
+1.866900E-07	1	0	
+1.781940E-07	1	0	
+1.748760E-07	1	0	
+1.796160E-07	1	0	
+1.673400E-07	1	0	
+1.757820E-07	1	0	
+1.829760E-07	1	0	
+1.809300E-07	1	0	
+1.778220E-07	1	0	
+1.888260E-07	1	0	
+1.836240E-07	1	0	
+1.765980E-07	1	0	
+1.754160E-07	1	0	
+1.760640E-07	1	0	
+1.882440E-07	1	0	
+1.856280E-07	1	0	
+1.710420E-07	1	0	
+1.751100E-07	1	0	
+1.852740E-07	1	0	
+1.790460E-07	1	0	
+1.757040E-07	1	0	
+1.875420E-07	1	0	
+1.799160E-07	1	0	
+1.724520E-07	1	0	
+1.587540E-07	1	0	
+1.699560E-07	1	0	
-2.456502E-06	4	0	
-3.615894E-06	4	8	
-1.128036E-06	4	0	
+1.663500E-07	2	0	
+1.742460E-07	2	0	
+1.793700E-07	2	0	
+1.723320E-07	2	0	
+1.850760E-07	2	0	
+1.809240E-07	2	0	
+1.853280E-07	2	0	
+1.794900E-07	2	0	
+1.747200E-07	2	0	
+1.841700E-07	2	0	
+1.830600E-07	2	0	
+1.819320E-07	2	0	
+1.786260E-07	2	0	
+1.902360E-07	2	0	
+1.867140E-07	2	0	
+1.871700E-07	2	0	
+1.788000E-07	2	0	
+1.750620E-07	2	0	
+1.895160E-07	2	0	
+1.785180E-07	2	0	
+1.789740E-07	2	0	
+1.896240E-07	2	0	
+1.733160E-07	2	0	
+1.869120E-07	2	0	
+1.839540E-07	2	0	
+1.809960E-07	2	0	
+1.878840E-07	2	0	
+2.687706E-06	3	0	
+3.665856E-06	3	8	
+1.442856E-06	3	0	
+2.010000E-07	1	0	
+1.954800E-07	1	0	
+1.856100E-07	1	0	
+1.913520E-07	1	0	
+1.925340E-07	1	0	
+1.881840E-07	1	0	
+1.889820E-07	1	0	
+1.959780E-07	1	0	
+1.954740E-07	1	0	
+1.766220E-07	1	0	
+1.775340E-07	1	0	
+1.796940E-07	1	0	
+1.839840E-07	1	0	
+1.891920E-07	1	0	
+1.842060E-07	1	0	
+1.776000E-07	1	0	
+1.871460E-07	1	0	
+1.763400E-07	1	0	
+1.753800E-07	1	0	
+1.829160E-07	1	0	
+1.887420E-07	1	0	
+1.881180E-07	1	0	
+1.909800E-07	1	0	
+1.962360E-07	1	0	
+1.821600E-07	1	0	
+1.797360E-07	1	0	
+1.975680E-07	1	0	
-2.460930E-06	4	0	
-3.616002E-06	4	8	
-1.127976E-06	4	0	
+1.681560E-07	2	0	
+1.656000E-07	2	0	
+1.687860E-07	2	0	
+1.735140E-07	2	0	
+1.723320E-07	2	0	
+1.795980E-07	2	0	
+1.766040E-07	2	0	
+1.758780E-07	2	0	
+1.794780E-07	2	0	
+1.853700E-07	2	0	
+1.770600E-07	2	0	
+1.809360E-07	2	0	
+1.870320E-07	2	0	
+1.879320E-07	2	0	
+1.775400E-07	2	0	
+1.899180E-07	2	0	
+1.873560E-07	2	0	
+1.927620E-07	2	0	
+1.774680E-07	2	0	
+1.763640E-07	2	0	
+1.890060E-07	2	0	
+1.858680E-07	2	0	
+1.791300E-07	2	0	
+1.887240E-07	2	0	
+1.805880E-07	2	0	
+1.840320E-07	2	0	
+1.798020E-07	2	0	
+2.682978E-06	3	0	
+3.665856E-06	3	8	
+1.442802E-06	3	0	
+1.954140E-07	1	0	
+1.849260E-07	1	0	
+1.847820E-07	1	0	
+1.921920E-07	1	0	
+1.893180E-07	1	0	
+1.907160E-07	1	0	
+1.987140E-07	1	0	
+1.914900E-07	1	0	
+1.849380E-07	1	0	
+1.749960E-07	1	0	
+1.831860E-07	1	0	
+1.904160E-07	1	0	
+1.813560E-07	1	0	
+1.926960E-07	1	0	
+1.854060E-07	1	0	
+1.847760E-07	1	0	
+1.794360E-07	1	0	
+1.854780E-07	1	0	
+1.853160E-07	1	0	
+1.916700E-07	1	0	
+1.875120E-07	1	0	
+1.826280E-07	1	0	
+1.883700E-07	1	0	
+1.748340E-07	1	0	
+1.888440E-07	1	0	
+1.867140E-07	1	0	
+1.993200E-07	1	0	
-2.462742E-06	4	0	
-3.616338E-06	4	8	
-1.179702E-06	4	0	
+1.134960E-07	2	0	
+1.187220E-07	2	0	
+1.349760E-07	2	0	
+1.409820E-07	2	0	
+1.395180E-07	2	0	
+1.285740E-07	2	0	
+9.227400E-08	2	0	
+1.008420E-07	2	0	
+1.015140E-07	2	0	
+1.142160E-07	2	0	
+1.182240E-07	2	0	
+9.461400E-08	2	0	
+1.123140E-07	2	0	
+1.122420E-07	2	0	
+1.261860E-07	2	0	
+1.115940E-07	2	0	
+1.192200E-07	2	0	
+1.160580E-07	2	0	
+1.339680E-07	2	0	
+1.423980E-07	2	0	
+1.542660E-07	2	0	
+1.717620E-07	2	0	
+1.585260E-07	2	0	
+1.650780E-07	2	0	
+1.748700E-07	2	0	
+1.686180E-07	2	0	
+1.690020E-07	2	0	
+2.668626E-06	3	0	
+3.665844E-06	3	8	
+1.427604E-06	3	0	
+1.820280E-07	1	0	
+1.355100E-07	1	0	
+1.340400E-07	1	0	
+4.473600E-08	1	0	
+3.268800E-08	1	0	
+6.885000E-08	1	0	
+7.069800E-08	1	0	
+7.366200E-08	1	0	
+8.067600E-08	1	0	
+7.820400E-08	1	0	
+8.944200E-08	1	0	
+8.053200E-08	1	0	
+7.117200E-08	1	0	
+7.173000E-08	1	0	
+8.284200E-08	1	0	
+7.046400E-08	1	0	
+5.737800E-08	1	0	
+5.323200E-08	1	0	
+6.050400E-08	1	0	
+5.803200E-08	1	0	
+5.640600E-08	1	0	
+6.753000E-08	1	0	
+6.564600E-08	1	0	
+7.512600E-08	1	0	
+7.385400E-08	1	0	
+6.750600E-08	1	0	
+6.940200E-08	1	0	
-2.523498E-06	4	0	
-3.616350E-06	4	8	
-1.197504E-06	4	0	
+6.783000E-08	2	0	
+5.768400E-08	2	0	
+9.118200E-08	2	0	
+1.014120E-07	2	0	
+1.020900E-07	2	0	
+8.262600E-08	2	0	
+9.610200E-08	2	0	
+9.445200E-08	2	0	
+1.050120E-07	2	0	
+1.036800E-07	2	0	
+9.315600E-08	2	0	
+9.903000E-08	2	0	
+9.679800E-08	2	0	
+9.916800E-08	2	0	
+1.021140E-07	2	0	
+8.945400E-08	2	0	
+1.031940E-07	2	0	
+1.087500E-07	2	0	
+1.084920E-07	2	0	
+9.078600E-08	2	0	
+8.116200E-08	2	0	
+9.132000E-08	2	0	
+8.421600E-08	2	0	
+1.036020E-07	2	0	
+9.633600E-08	2	0	
+8.725200E-08	2	0	
+7.448400E-08	2	0	
+2.634144E-06	3	0	
+3.665790E-06	3	8	
+1.369374E-06	3	0	
+1.156380E-07	1	0	
+9.745200E-08	1	0	
+1.090380E-07	1	0	
+9.744600E-08	1	0	
+9.451200E-08	1	0	
+8.892000E-08	1	0	
+1.014120E-07	1	0	
+9.963000E-08	1	0	
+1.170540E-07	1	0	
+1.112100E-07	1	0	
+1.105860E-07	1	0	
+1.181340E-07	1	0	
+1.148220E-07	1	0	
+1.311360E-07	1	0	
+1.301280E-07	1	0	
+1.183680E-07	1	0	
+9.853800E-08	1	0	
+1.008000E-07	1	0	
+1.057020E-07	1	0	
+1.148520E-07	1	0	
+1.236900E-07	1	0	
+1.394280E-07	1	0	
+1.228620E-07	1	0	
+1.291440E-07	1	0	
+1.477560E-07	1	0	
+1.562820E-07	1	0	
+1.479660E-07	1	0	
-2.474772E-06	4	0	
-3.616050E-06	4	8	
-1.133082E-06	4	0	
+1.707420E-07	2	0	
+1.663260E-07	2	0	
