start date: 	2023-05-31
start time: 	22.30.19
stop date: 	2023-05-31
stop time: 	22.46.28
com rel. humid (%):	32.3
com temp (°C):	28.09
cn temp (°C):	30.28
nv temp (°C):	34.53
bvd averages: 	     15
remarks: 	CCC ground via instr gnd, CMag-9T, B=3T, T=1.6K, I+=2, I-=13, V+=15, V-=9
R1 Info: 	NIST-QHREG13k-AF2
R2 Info: 	1215
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-05-31_CCC\230531_009_2230.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-05-31_CCC\230531_009_2230_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	20.935104229
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.613660E-07	1	0	
+2.529480E-07	1	0	
+2.569680E-07	1	0	
+2.586480E-07	1	0	
+2.411400E-07	1	0	
+2.386740E-07	1	0	
+2.507940E-07	1	0	
+2.261520E-07	1	0	
+2.614800E-07	1	0	
+2.425920E-07	1	0	
+2.671740E-07	1	0	
+2.791740E-07	1	0	
+2.425080E-07	1	0	
+2.649600E-07	1	0	
+2.660160E-07	1	0	
+2.694420E-07	1	0	
+2.769960E-07	1	0	
+2.817060E-07	1	0	
+2.658780E-07	1	0	
+2.614140E-07	1	0	
+2.641140E-07	1	0	
+2.545560E-07	1	0	
+2.340720E-07	1	0	
+2.417640E-07	1	0	
+2.347740E-07	1	0	
+2.482440E-07	1	0	
+2.558700E-07	1	0	
+2.363280E-07	1	0	
+2.341800E-07	4	0	
-2.508300E-07	4	0	
-4.176600E-08	4	0	
+1.799520E-07	2	0	
+1.696020E-07	2	0	
+1.798500E-07	2	0	
+1.929720E-07	2	0	
+1.986480E-07	2	0	
+1.987680E-07	2	0	
+1.790280E-07	2	0	
+2.011800E-07	2	0	
+2.065440E-07	2	0	
+1.940460E-07	2	0	
+1.888860E-07	2	0	
+1.670700E-07	2	0	
+2.117880E-07	2	0	
+1.871820E-07	2	0	
+1.943400E-07	2	0	
+1.953240E-07	2	0	
+1.928160E-07	2	0	
+2.107620E-07	2	0	
+1.978320E-07	2	0	
+1.998540E-07	2	0	
+1.977960E-07	2	0	
+1.842960E-07	2	0	
+2.203320E-07	2	0	
+1.961940E-07	2	0	
+1.914240E-07	2	0	
+2.140500E-07	2	0	
+2.053260E-07	2	0	
+2.568060E-07	3	0	
+7.149180E-07	3	0	
+4.724880E-07	3	0	
+2.674920E-07	1	0	
+2.423460E-07	1	0	
+2.469660E-07	1	0	
+2.427060E-07	1	0	
+2.458200E-07	1	0	
+2.545560E-07	1	0	
+2.417400E-07	1	0	
+2.592960E-07	1	0	
+2.592540E-07	1	0	
+2.673540E-07	1	0	
+2.837880E-07	1	0	
+2.699820E-07	1	0	
+2.719680E-07	1	0	
+2.627460E-07	1	0	
+2.778900E-07	1	0	
+2.732820E-07	1	0	
+2.648340E-07	1	0	
+2.846820E-07	1	0	
+2.591760E-07	1	0	
+2.551380E-07	1	0	
+2.621940E-07	1	0	
+2.677980E-07	1	0	
+2.817660E-07	1	0	
+2.713680E-07	1	0	
+2.760420E-07	1	0	
+2.883360E-07	1	0	
+2.721600E-07	1	0	
+2.324640E-07	4	0	
-2.426700E-07	4	0	
-4.299000E-08	4	0	
+1.737720E-07	2	0	
+1.861680E-07	2	0	
+2.204160E-07	2	0	
+1.940400E-07	2	0	
+1.855080E-07	2	0	
+1.902840E-07	2	0	
+1.765980E-07	2	0	
+1.768860E-07	2	0	
