start date: 	2023-05-31
start time: 	11.34.35
stop date: 	2023-05-31
stop time: 	11.50.44
com rel. humid (%):	32.8
com temp (°C):	28.06
cn temp (°C):	30.25
nv temp (°C):	34.44
bvd averages: 	     15
remarks: 	CCC ground via instr gnd, CMag-9T, B=-9T, T=1.6K, I+=13, I-=2, V+=15, V-=9
R1 Info: 	NIST-QHREG13k-AF2
R2 Info: 	1215
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-05-31_CCC\230531_004_1134.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-05-31_CCC\230531_004_1134_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	24.589584209
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.324460E-07	1	0	
+2.415900E-07	1	0	
+1.980360E-07	1	0	
+2.494200E-07	1	0	
+2.133600E-07	1	0	
+2.244480E-07	1	0	
+2.305380E-07	1	0	
+1.833360E-07	1	0	
+2.282400E-07	1	0	
+1.863600E-07	1	0	
+2.120580E-07	1	0	
+2.264280E-07	1	0	
+1.857240E-07	1	0	
+2.308200E-07	1	0	
+1.983960E-07	1	0	
+1.960560E-07	1	0	
+2.187120E-07	1	0	
+2.022540E-07	1	0	
+2.340420E-07	1	0	
+1.812120E-07	1	0	
+1.992960E-07	1	0	
+2.309940E-07	1	0	
+1.971300E-07	1	0	
+2.552220E-07	1	0	
+2.061300E-07	1	0	
+2.098440E-07	1	0	
+2.376960E-07	1	0	
+1.991700E-07	1	0	
-3.086448E-06	4	8	
-3.635958E-06	4	8	
-1.838340E-06	4	0	
+1.801740E-07	2	0	
+1.536780E-07	2	0	
+2.271900E-07	2	0	
+1.742820E-07	2	0	
+2.076360E-07	2	0	
+2.334420E-07	2	0	
+2.138100E-07	2	0	
+2.477760E-07	2	0	
+2.083920E-07	2	0	
+2.260140E-07	2	0	
+2.488860E-07	2	0	
+1.955400E-07	2	0	
+2.599260E-07	2	0	
+2.292540E-07	2	0	
+2.350380E-07	2	0	
+2.544180E-07	2	0	
+2.260800E-07	2	0	
+2.560140E-07	2	0	
+2.187900E-07	2	0	
+2.417340E-07	2	0	
+2.629260E-07	2	0	
+2.219880E-07	2	0	
+2.670180E-07	2	0	
+2.237220E-07	2	0	
+2.451540E-07	2	0	
+2.675100E-07	2	0	
+2.223720E-07	2	0	
+3.243180E-06	3	8	
+3.685518E-06	3	8	
+2.085798E-06	3	0	
+3.085860E-07	1	0	
+2.533500E-07	1	0	
+2.937840E-07	1	0	
+2.529300E-07	1	0	
+2.406420E-07	1	0	
+2.658900E-07	1	0	
+2.297160E-07	1	0	
+2.600940E-07	1	0	
+2.120820E-07	1	0	
+2.316840E-07	1	0	
+2.384040E-07	1	0	
+2.070720E-07	1	0	
+2.508120E-07	1	0	
+2.174220E-07	1	0	
+2.127660E-07	1	0	
+2.399940E-07	1	0	
+2.147520E-07	1	0	
+2.660700E-07	1	0	
+2.180400E-07	1	0	
+2.447520E-07	1	0	
+2.550120E-07	1	0	
+1.990380E-07	1	0	
+2.388660E-07	1	0	
+2.084340E-07	1	0	
+2.274480E-07	1	0	
+2.535840E-07	1	0	
+2.078700E-07	1	0	
-3.083052E-06	4	8	
-3.635934E-06	4	8	
-1.851846E-06	4	0	
+1.792380E-07	2	0	
+1.633980E-07	2	0	
+2.251800E-07	2	0	
+2.010600E-07	2	0	
+2.099520E-07	2	0	
+2.261580E-07	2	0	
+1.989720E-07	2	0	
+2.556300E-07	2	0	
+2.058060E-07	2	0	
+2.282340E-07	2	0	
+2.416020E-07	2	0	
+1.994640E-07	2	0	
+2.556900E-07	2	0	
+2.287140E-07	2	0	
+2.330580E-07	2	0	
+2.429460E-07	2	0	
+2.099880E-07	2	0	
+2.507700E-07	2	0	
+2.107200E-07	2	0	
