start date: 	2023-05-30
start time: 	18.25.03
stop date: 	2023-05-30
stop time: 	18.41.12
com rel. humid (%):	33.4
com temp (°C):	28.40
cn temp (°C):	30.50
nv temp (°C):	34.69
bvd averages: 	     15
remarks: 	CCC ground via instr gnd, CMag-9T, B=9T, T=1.6K, I+=13, I-=2, V+=10, V-=14
R1 Info: 	NIST-QHREG13k-AF2
R2 Info: 	1215
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-05-30_CCC\230530_006_1825.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-05-30_CCC\230530_006_1825_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	24.520919658
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.682300E-07	1	0	
+2.140020E-07	1	0	
+2.489520E-07	1	0	
+2.484240E-07	1	0	
+2.200560E-07	1	0	
+2.670000E-07	1	0	
+2.070240E-07	1	0	
+2.474760E-07	1	0	
+2.412840E-07	1	0	
+2.165700E-07	1	0	
+2.574120E-07	1	0	
+2.131860E-07	1	0	
+2.409780E-07	1	0	
+2.400660E-07	1	0	
+2.197080E-07	1	0	
+2.571060E-07	1	0	
+2.052420E-07	1	0	
+2.492640E-07	1	0	
+2.471940E-07	1	0	
+2.081400E-07	1	0	
+2.622120E-07	1	0	
+2.200740E-07	1	0	
+2.406420E-07	1	0	
+2.455860E-07	1	0	
+2.184240E-07	1	0	
+2.585160E-07	1	0	
+2.135580E-07	1	0	
+2.368860E-07	1	0	
-2.677098E-06	4	0	
-3.617370E-06	4	8	
-1.305300E-06	4	0	
+1.842720E-07	2	0	
+2.271540E-07	2	0	
+2.240580E-07	2	0	
+2.029860E-07	2	0	
+2.581680E-07	2	0	
+2.064180E-07	2	0	
+2.400960E-07	2	0	
+2.399580E-07	2	0	
+2.071440E-07	2	0	
+2.638020E-07	2	0	
+1.977780E-07	2	0	
+2.400840E-07	2	0	
+2.377140E-07	2	0	
+1.973940E-07	2	0	
+2.511540E-07	2	0	
+1.971360E-07	2	0	
+2.347320E-07	2	0	
+2.360760E-07	2	0	
+1.921080E-07	2	0	
+2.491800E-07	2	0	
+1.918740E-07	2	0	
+2.369880E-07	2	0	
+2.380860E-07	2	0	
+2.054760E-07	2	0	
+2.525520E-07	2	0	
+2.020200E-07	2	0	
+2.372040E-07	2	0	
+2.872686E-06	3	0	
+3.666066E-06	3	8	
+1.649730E-06	3	0	
+2.175720E-07	1	0	
+2.442780E-07	1	0	
+2.416680E-07	1	0	
+2.028180E-07	1	0	
+2.466780E-07	1	0	
+2.001300E-07	1	0	
+2.362080E-07	1	0	
+2.340360E-07	1	0	
+2.082720E-07	1	0	
+2.357700E-07	1	0	
+1.977960E-07	1	0	
+2.289300E-07	1	0	
+2.309280E-07	1	0	
+1.973400E-07	1	0	
+2.441280E-07	1	0	
+1.947840E-07	1	0	
+2.261880E-07	1	0	
+2.311740E-07	1	0	
+1.947240E-07	1	0	
+2.503200E-07	1	0	
+1.897680E-07	1	0	
+2.285400E-07	1	0	
+2.337660E-07	1	0	
+1.931880E-07	1	0	
+2.409660E-07	1	0	
+1.903620E-07	1	0	
+2.316480E-07	1	0	
-2.685042E-06	4	0	
-3.617370E-06	4	8	
-1.312932E-06	4	0	
+1.740540E-07	2	0	
+2.152560E-07	2	0	
+2.122920E-07	2	0	
+1.920300E-07	2	0	
+2.298360E-07	2	0	
+1.942320E-07	2	0	
+2.296440E-07	2	0	
+2.218200E-07	2	0	
+1.997580E-07	2	0	
+2.479860E-07	2	0	
+1.915680E-07	2	0	
+2.226480E-07	2	0	
+2.179980E-07	2	0	
+1.967760E-07	2	0	
+2.424780E-07	2	0	
+1.817640E-07	2	0	
+2.254140E-07	2	0	
+2.219580E-07	2	0	
+2.038380E-07	2	0	
+2.393340E-07	2	0	
+1.918920E-07	2	0	
+2.181000E-07	2	0	
+2.175840E-07	2	0	
+1.828020E-07	2	0	
+2.320440E-07	2	0	
+1.889340E-07	2	0	
+2.226960E-07	2	0	
+2.867808E-06	3	0	
+3.666066E-06	3	8	
+1.652178E-06	3	0	
+2.087520E-07	1	0	
+2.426940E-07	1	0	
+2.163120E-07	1	0	
+1.829040E-07	1	0	
+2.349660E-07	1	0	
+1.842300E-07	1	0	
+2.193000E-07	1	0	
+2.051460E-07	1	0	
+1.685940E-07	1	0	
+2.237700E-07	1	0	
+1.791480E-07	1	0	
+2.160720E-07	1	0	
+1.994880E-07	1	0	
+1.877640E-07	1	0	
+2.351220E-07	1	0	
+1.755300E-07	1	0	
+2.097600E-07	1	0	
+2.120100E-07	1	0	
+1.717800E-07	1	0	
+2.177580E-07	1	0	
+1.767120E-07	1	0	
+2.024280E-07	1	0	
+2.049960E-07	1	0	
+1.712040E-07	1	0	
+2.165640E-07	1	0	
+1.646100E-07	1	0	
+2.037060E-07	1	0	
-2.690052E-06	4	0	
-3.617370E-06	4	8	
-1.329888E-06	4	0	
+1.464420E-07	2	0	
+1.876560E-07	2	0	
+1.814340E-07	2	0	
+1.642380E-07	2	0	
+2.151180E-07	2	0	
+1.708980E-07	2	0	
+2.027400E-07	2	0	
+1.989600E-07	2	0	
+1.681500E-07	2	0	
+2.181300E-07	2	0	
+1.603620E-07	2	0	
+2.007000E-07	2	0	
+2.006820E-07	2	0	
+1.761240E-07	2	0	
+2.152140E-07	2	0	
+1.672680E-07	2	0	
+1.899300E-07	2	0	
+1.882140E-07	2	0	
+1.735800E-07	2	0	
+2.262480E-07	2	0	
+1.726200E-07	2	0	
+2.106840E-07	2	0	
+2.083860E-07	2	0	
+1.689420E-07	2	0	
+2.131260E-07	2	0	
+1.818240E-07	2	0	
+2.107620E-07	2	0	
+2.858322E-06	3	0	
+3.666078E-06	3	8	
+1.636584E-06	3	0	
+1.844040E-07	1	0	
+2.254740E-07	1	0	
+2.154540E-07	1	0	
+1.784400E-07	1	0	
+2.188680E-07	1	0	
+1.720560E-07	1	0	
+1.941660E-07	1	0	
+1.895280E-07	1	0	
+1.697100E-07	1	0	
+2.245260E-07	1	0	
+1.568820E-07	1	0	
+2.042340E-07	1	0	
+2.052000E-07	1	0	
+1.757580E-07	1	0	
+2.211780E-07	1	0	
+1.647960E-07	1	0	
+2.048220E-07	1	0	
+1.904820E-07	1	0	
+1.674420E-07	1	0	
+2.215320E-07	1	0	
+1.567140E-07	1	0	
+2.085660E-07	1	0	
+2.028480E-07	1	0	
+1.800420E-07	1	0	
+2.255040E-07	1	0	
+1.708980E-07	1	0	
+2.038080E-07	1	0	
-2.692392E-06	4	0	
-3.617364E-06	4	8	
