start date: 	2016-02-19						
start time: 	15.07.03						
stop date: 	2016-02-19						
stop time: 	15.11.45						
com rel. humid (%):	35.0						
com temp (°C):	26.14						
cn temp (°C):	27.16						
nv temp (°C):	31.31						
remarks: 							
R1 Info: 	QHR(1.290640350E+4)						
R2 Info: 	1445(1.000000000E+4)						
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_023_1507.txt						
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_023_1507_cccdrive.cfg						
setup_file_path	C:\MagniconData\SQUIDViewerData\Saved Setups\Newest.stp						
time base (Hz): 	60						
integration time (time base multiples):	3						
number of samples per half cycle: 	100						
ignored first samples: 	50						
ignored last samples: 	0						
amplifier gain: 	10000						
delta N1/NA (mTurns): 	-41.137695312						
delta (I2*R2) (V): 	3.0000						
							
N1:	2065						
N2:	1600						

							
Mode:	FLL						
Rf Amp::	OFF						
Amp Gain:	PLUS						
Rf FLL:	11.0 kOhm						
SQUID Gain:	NEG						
I1 Range:	300uA						
I1 Amplitude:	116.220588E-6						
feedin Polarity:	POS						
I1 SQUID feedIn (ON/OFF):	OFF						
I1 SQUID feedin:	-37.0dB						
I2 Range:	300uA						
I2 Amplitude:	150.000000E-6						
I2 SQUID feedIn (ON/OFF):	ON						
I2 SQUID feedin:	-52.0dB						
Screen (+):	ON						
Screen (-):	OFF						
Screen Amplitude:	1.499996E+0						

							
Results							
Standard Pressure Correction:	NO						
Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)				
31.8281	0.0136	1.000030547E+4					

							
#points	bvd(V)	bvdmean(V)	stddrtN-1(V)	Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)

							
1	1.920000E-9	1.920000E-9	NaN	3.181486E+1	3.181486E+1	NaN	1.000031815E+4
2	-7.776000E-8	-3.792000E-8	5.634227E-8	3.184142E+1	3.182814E+1	1.878135E-2	1.000031828E+4
3	-6.720000E-9	-2.752000E-8	4.372306E-8	3.181774E+1	3.182467E+1	1.457482E-2	1.000031825E+4
4	-7.920000E-9	-2.262000E-8	3.702041E-8	3.181814E+1	3.182304E+1	1.234053E-2	1.000031823E+4
5	-3.288000E-8	-2.467200E-8	3.238729E-8	3.182646E+1	3.182372E+1	1.079611E-2	1.000031824E+4
6	-1.920000E-8	-2.376000E-8	2.905408E-8	3.182190E+1	3.182342E+1	9.685001E-3	1.000031823E+4
7	-6.072000E-8	-2.904000E-8	2.997663E-8	3.183574E+1	3.182518E+1	9.992528E-3	1.000031825E+4
8	-2.064000E-8	-2.799000E-8	2.791142E-8	3.182238E+1	3.182483E+1	9.304102E-3	1.000031825E+4
9	-9.360000E-9	-2.592000E-8	2.683711E-8	3.181862E+1	3.182414E+1	8.945988E-3	1.000031824E+4
10	-7.296000E-8	-3.062400E-8	2.935100E-8	3.183982E+1	3.182571E+1	9.783977E-3	1.000031826E+4
11	-9.480000E-8	-3.645818E-8	3.390792E-8	3.184710E+1	3.182765E+1	1.130300E-2	1.000031828E+4
12	-7.440000E-9	-3.404000E-8	3.339755E-8	3.181798E+1	3.182685E+1	1.113287E-2	1.000031827E+4
13	-1.632000E-8	-3.267692E-8	3.235120E-8	3.182094E+1	3.182639E+1	1.078408E-2	1.000031826E+4
14	-6.864000E-8	-3.524571E-8	3.253420E-8	3.183838E+1	3.182725E+1	1.084508E-2	1.000031827E+4
15	-5.232000E-8	-3.638400E-8	3.165919E-8	3.183294E+1	3.182763E+1	1.055340E-2	1.000031828E+4
16	-5.256000E-8	-3.739500E-8	3.085187E-8	3.183302E+1	3.182796E+1	1.028428E-2	1.000031828E+4
17	-5.160000E-8	-3.823059E-8	3.007021E-8	3.183270E+1	3.182824E+1	1.002372E-2	1.000031828E+4
18	-1.058400E-7	-4.198667E-8	3.324116E-8	3.185078E+1	3.182949E+1	1.108074E-2	1.000031829E+4
19	8.400000E-9	-3.933474E-8	3.431048E-8	3.181270E+1	3.182861E+1	1.143719E-2	1.000031829E+4
20	-4.320000E-9	-3.758400E-8	3.430091E-8	3.181694E+1	3.182803E+1	1.143400E-2	1.000031828E+4
21	-3.360000E-8	-3.739429E-8	3.344369E-8	3.182670E+1	3.182796E+1	1.114825E-2	1.000031828E+4
22	-1.416000E-8	-3.633818E-8	3.301147E-8	3.182022E+1	3.182761E+1	1.100417E-2	1.000031828E+4
23	3.384000E-8	-3.328696E-8	3.541684E-8	3.180422E+1	3.182659E+1	1.180599E-2	1.000031827E+4
24	-2.544000E-8	-3.296000E-8	3.467536E-8	3.182398E+1	3.182649E+1	1.155882E-2	1.000031826E+4
25	-8.112000E-8	-3.488640E-8	3.528537E-8	3.184254E+1	3.182713E+1	1.176216E-2	1.000031827E+4
26	-9.600000E-10	-3.358154E-8	3.520687E-8	3.181582E+1	3.182669E+1	1.173600E-2	1.000031827E+4
27	-1.452000E-7	-3.771556E-8	4.066058E-8	3.186390E+1	3.182807E+1	1.355396E-2	1.000031828E+4
