start date: 	2016-02-19
start time: 	12.19.54
stop date: 	2016-02-19
stop time: 	12.28.13
com rel. humid (%):	34.8
com temp (°C):	26.64
cn temp (°C):	28.28
nv temp (°C):	32.34
remarks: 	
R1 Info: 	QHR
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_003_1219.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_003_1219_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-41.137695312
delta (I2*R2) (V): 	3.0000

data(V)	phase	error
7.488000E-5	1	0	
7.472400E-5	1	0	
7.455600E-5	1	0	
7.462800E-5	1	0	
7.432800E-5	1	0	
7.442400E-5	1	0	
7.413600E-5	1	0	
7.436400E-5	1	0	
7.406400E-5	1	0	
7.434000E-5	1	0	
7.414800E-5	1	0	
7.425600E-5	1	0	
7.408800E-5	1	0	
7.422000E-5	1	0	
7.408800E-5	1	0	
7.411200E-5	1	0	
7.418400E-5	1	0	
7.420800E-5	1	0	
7.418400E-5	1	0	
7.408800E-5	1	0	
7.417200E-5	1	0	
7.408800E-5	1	0	
7.418400E-5	1	0	
7.406400E-5	1	0	
7.414800E-5	1	0	
7.390800E-5	1	0	
7.419600E-5	1	0	
7.396800E-5	1	0	
7.413600E-5	1	0	
7.395600E-5	1	0	
7.411200E-5	1	0	
7.398000E-5	1	0	
7.410000E-5	1	0	
7.405200E-5	1	0	
7.405200E-5	1	0	
7.393200E-5	1	0	
7.406400E-5	1	0	
7.410000E-5	1	0	
7.401600E-5	1	0	
7.413600E-5	1	0	
7.407600E-5	1	0	
7.416000E-5	1	0	
7.394400E-5	1	0	
7.416000E-5	1	0	
7.387200E-5	1	0	
7.407600E-5	1	0	
7.390800E-5	1	0	
7.412400E-5	1	0	
7.400400E-5	1	0	
7.418400E-5	1	0	
7.399200E-5	1	0	
7.412400E-5	1	0	
7.394400E-5	1	0	
7.413600E-5	1	0	
7.396800E-5	1	0	
7.402800E-5	1	0	
7.408800E-5	1	0	
7.398000E-5	1	0	
7.410000E-5	1	0	
7.393200E-5	1	0	
7.405200E-5	1	0	
7.392000E-5	1	0	
7.402800E-5	1	0	
7.387200E-5	1	0	
7.405200E-5	1	0	
7.383600E-5	1	0	
7.393200E-5	1	0	
7.388400E-5	1	0	
7.416000E-5	1	0	
7.384800E-5	1	0	
7.413600E-5	1	0	
7.395600E-5	1	0	
7.407600E-5	1	0	
7.394400E-5	1	0	
7.411200E-5	1	0	
7.394400E-5	1	0	
7.406400E-5	1	0	
7.393200E-5	1	0	
7.401600E-5	1	0	
7.396800E-5	1	0	
7.390800E-5	1	0	
7.412400E-5	1	0	
7.395600E-5	1	0	
7.412400E-5	1	0	
7.389600E-5	1	0	
7.390800E-5	1	0	
7.381200E-5	1	0	
2.409600E-5	4	0	
-1.302360E-4	4	0	
-1.449600E-4	4	0	
-1.451880E-4	4	0	
-1.451520E-4	4	0	
-1.454640E-4	4	0	
-1.453800E-4	4	0	
-1.455120E-4	4	0	
-1.455720E-4	4	0	
-1.455840E-4	4	0	
-1.422600E-4	4	0	
-1.435440E-4	4	0	
-1.456560E-4	4	0	
-1.458120E-4	4	0	
-1.459200E-4	4	0	
-1.458840E-4	4	0	
-1.460880E-4	4	0	
-1.461360E-4	4	0	
-1.463760E-4	4	0	
-1.462200E-4	4	0	
-1.205160E-4	4	0	
4.236000E-5	2	0	
7.293600E-5	2	0	
7.291200E-5	2	0	
7.296000E-5	2	0	
7.327200E-5	2	0	
7.315200E-5	2	0	
7.342800E-5	2	0	
7.330800E-5	2	0	
7.346400E-5	2	0	
7.342800E-5	2	0	
7.348800E-5	2	0	
7.347600E-5	2	0	
7.347600E-5	2	0	
7.364400E-5	2	0	
7.357200E-5	2	0	
7.368000E-5	2	0	
7.366800E-5	2	0	
7.376400E-5	2	0	
7.360800E-5	2	0	
7.383600E-5	2	0	
7.357200E-5	2	0	
7.382400E-5	2	0	
7.364400E-5	2	0	
7.381200E-5	2	0	
7.370400E-5	2	0	
7.384800E-5	2	0	
7.360800E-5	2	0	
7.382400E-5	2	0	
7.376400E-5	2	0	
7.377600E-5	2	0	
7.376400E-5	2	0	
7.378800E-5	2	0	
7.372800E-5	2	0	
7.371600E-5	2	0	
7.381200E-5	2	0	
7.372800E-5	2	0	
7.383600E-5	2	0	
7.374000E-5	2	0	
7.389600E-5	2	0	
7.376400E-5	2	0	
7.393200E-5	2	0	
7.374000E-5	2	0	
7.396800E-5	2	0	
7.380000E-5	2	0	
7.396800E-5	2	0	
7.383600E-5	2	0	
7.396800E-5	2	0	
7.366800E-5	2	0	
7.394400E-5	2	0	
7.377600E-5	2	0	
7.392000E-5	2	0	
7.383600E-5	2	0	
7.381200E-5	2	0	
7.394400E-5	2	0	
7.387200E-5	2	0	
7.392000E-5	2	0	
7.386000E-5	2	0	
7.383600E-5	2	0	
7.382400E-5	2	0	
7.388400E-5	2	0	
7.380000E-5	2	0	
7.412400E-5	2	0	
7.394400E-5	2	0	
7.399200E-5	2	0	
7.374000E-5	2	0	
7.410000E-5	2	0	
7.372800E-5	2	0	
7.395600E-5	2	0	
7.380000E-5	2	0	
7.401600E-5	2	0	
7.390800E-5	2	0	
7.398000E-5	2	0	
7.395600E-5	2	0	
7.395600E-5	2	0	
7.390800E-5	2	0	
7.393200E-5	2	0	
7.398000E-5	2	0	
7.392000E-5	2	0	
7.406400E-5	2	0	
1.237800E-4	3	0	
2.782920E-4	3	0	
2.929920E-4	3	0	
2.931840E-4	3	0	
2.933160E-4	3	0	
2.936400E-4	3	0	
2.934120E-4	3	0	
2.937000E-4	3	0	
2.935680E-4	3	0	
2.937240E-4	3	0	
2.902080E-4	3	0	
2.916000E-4	3	0	
2.937840E-4	3	0	
2.939760E-4	3	0	
2.940120E-4	3	0	
2.941200E-4	3	0	
2.942280E-4	3	0	
2.942160E-4	3	0	
2.943360E-4	3	0	
2.943000E-4	3	0	
2.683800E-4	3	0	
1.056120E-4	1	0	
7.509600E-5	1	0	
7.513200E-5	1	0	
7.498800E-5	1	0	
7.471200E-5	1	0	
7.480800E-5	1	0	
7.449600E-5	1	0	
7.465200E-5	1	0	
7.440000E-5	1	0	
7.455600E-5	1	0	
7.440000E-5	1	0	
7.448400E-5	1	0	
7.448400E-5	1	0	
7.449600E-5	1	0	
7.436400E-5	1	0	
7.430400E-5	1	0	
7.422000E-5	1	0	
7.429200E-5	1	0	
7.436400E-5	1	0	
7.437600E-5	1	0	
7.442400E-5	1	0	
7.426800E-5	1	0	
7.438800E-5	1	0	
7.413600E-5	1	0	
7.440000E-5	1	0	
7.416000E-5	1	0	
7.422000E-5	1	0	
7.405200E-5	1	0	
7.437600E-5	1	0	
7.418400E-5	1	0	
7.429200E-5	1	0	
7.410000E-5	1	0	
7.423200E-5	1	0	
7.412400E-5	1	0	
7.418400E-5	1	0	
7.410000E-5	1	0	
7.410000E-5	1	0	
7.413600E-5	1	0	
7.422000E-5	1	0	
7.418400E-5	1	0	
7.410000E-5	1	0	
7.412400E-5	1	0	
7.402800E-5	1	0	
7.417200E-5	1	0	
7.402800E-5	1	0	
7.419600E-5	1	0	
7.395600E-5	1	0	
7.404000E-5	1	0	
7.395600E-5	1	0	
7.417200E-5	1	0	
7.406400E-5	1	0	
7.426800E-5	1	0	
7.408800E-5	1	0	
7.422000E-5	1	0	
7.399200E-5	1	0	
7.412400E-5	1	0	
7.398000E-5	1	0	
7.413600E-5	1	0	
7.407600E-5	1	0	
7.406400E-5	1	0	
7.406400E-5	1	0	
7.407600E-5	1	0	
7.418400E-5	1	0	
7.406400E-5	1	0	
7.414800E-5	1	0	
7.402800E-5	1	0	
7.413600E-5	1	0	
7.399200E-5	1	0	
7.412400E-5	1	0	
7.401600E-5	1	0	
7.426800E-5	1	0	
7.392000E-5	1	0	
7.423200E-5	1	0	
7.407600E-5	1	0	
7.410000E-5	1	0	
7.396800E-5	1	0	
7.407600E-5	1	0	
7.392000E-5	1	0	
7.411200E-5	1	0	
2.410800E-5	4	0	
-1.302000E-4	4	0	
-1.450320E-4	4	0	
-1.451400E-4	4	0	
-1.452720E-4	4	0	
-1.455600E-4	4	0	
-1.455480E-4	4	0	
-1.457880E-4	4	0	
-1.456800E-4	4	0	
-1.456920E-4	4	0	
-1.421880E-4	4	0	
