start date: 	2016-02-19						
start time: 	16.10.12						
stop date: 	2016-02-19						
stop time: 	16.16.39						
com rel. humid (%):	35.0						
com temp (°C):	26.13						
cn temp (°C):	26.94						
nv temp (°C):	31.06						
remarks: 							
R1 Info: 	QHR(1.290640350E+4)						
R2 Info: 	1445(1.000000000E+4)						
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_031_1610.txt						
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_031_1610_cccdrive.cfg						
setup_file_path	C:\MagniconData\SQUIDViewerData\Saved Setups\Newest.stp						
time base (Hz): 	60						
integration time (time base multiples):	3						
number of samples per half cycle: 	100						
ignored first samples: 	50						
ignored last samples: 	0						
amplifier gain: 	10000						
delta N1/NA (mTurns): 	-41.137695312						
delta (I2*R2) (V): 	3.0000						
							
N1:	2065						
N2:	1600						

							
Mode:	FLL						
Rf Amp::	OFF						
Amp Gain:	PLUS						
Rf FLL:	11.0 kOhm						
SQUID Gain:	NEG						
I1 Range:	300uA						
I1 Amplitude:	116.220588E-6						
feedin Polarity:	POS						
I1 SQUID feedIn (ON/OFF):	OFF						
I1 SQUID feedin:	-37.0dB						
I2 Range:	300uA						
I2 Amplitude:	150.000000E-6						
I2 SQUID feedIn (ON/OFF):	ON						
I2 SQUID feedin:	-52.0dB						
Screen (+):	ON						
Screen (-):	OFF						
Screen Amplitude:	1.499996E+0						

							
Results							
Standard Pressure Correction:	NO						
Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)				
31.7988	0.0200	1.000031800E+4					

							
#points	bvd(V)	bvdmean(V)	stddrtN-1(V)	Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)

							
1	7.800000E-8	7.800000E-8	NaN	3.178950E+1	3.178950E+1	NaN	1.000031789E+4
2	3.336000E-8	5.568000E-8	3.156525E-8	3.180438E+1	3.179694E+1	1.052208E-2	1.000031797E+4
3	6.768000E-8	5.968000E-8	2.337055E-8	3.179294E+1	3.179560E+1	7.790429E-3	1.000031796E+4
4	7.128000E-8	6.258000E-8	1.994396E-8	3.179174E+1	3.179464E+1	6.648198E-3	1.000031795E+4
5	6.360000E-8	6.278400E-8	1.727800E-8	3.179430E+1	3.179457E+1	5.759516E-3	1.000031795E+4
6	1.084800E-7	7.040000E-8	2.422487E-8	3.177934E+1	3.179203E+1	8.075212E-3	1.000031792E+4
7	-8.232000E-8	4.858286E-8	6.181384E-8	3.184294E+1	3.179930E+1	2.060527E-2	1.000031799E+4
8	2.220000E-7	7.026000E-8	8.387067E-8	3.174150E+1	3.179208E+1	2.795778E-2	1.000031792E+4
9	-7.680000E-8	5.392000E-8	9.250926E-8	3.184110E+1	3.179752E+1	3.083740E-2	1.000031798E+4
10	-2.544000E-8	4.598400E-8	9.075726E-8	3.182398E+1	3.180017E+1	3.025338E-2	1.000031800E+4
11	6.864000E-8	4.804364E-8	8.637045E-8	3.179262E+1	3.179948E+1	2.879106E-2	1.000031799E+4
12	1.512000E-8	4.530000E-8	8.289763E-8	3.181046E+1	3.180040E+1	2.763342E-2	1.000031800E+4
13	1.080000E-7	5.012308E-8	8.125119E-8	3.177950E+1	3.179879E+1	2.708459E-2	1.000031799E+4
14	-1.368000E-8	4.556571E-8	7.990433E-8	3.182006E+1	3.180031E+1	2.663562E-2	1.000031800E+4
15	7.704000E-8	4.766400E-8	7.742541E-8	3.178982E+1	3.179961E+1	2.580929E-2	1.000031800E+4
16	1.435200E-7	5.365500E-8	7.854502E-8	3.176766E+1	3.179761E+1	2.618251E-2	1.000031798E+4
17	2.424000E-8	5.192471E-8	7.638478E-8	3.180742E+1	3.179819E+1	2.546240E-2	1.000031798E+4
18	2.472000E-8	5.041333E-8	7.438103E-8	3.180726E+1	3.179869E+1	2.479446E-2	1.000031799E+4
19	-7.920000E-9	4.734316E-8	7.351373E-8	3.181814E+1	3.179972E+1	2.450535E-2	1.000031800E+4
20	4.344000E-8	4.714800E-8	7.155833E-8	3.180102E+1	3.179978E+1	2.385353E-2	1.000031800E+4
21	5.256000E-8	4.740571E-8	6.975643E-8	3.179798E+1	3.179970E+1	2.325288E-2	1.000031800E+4
22	8.856000E-8	4.927636E-8	6.863842E-8	3.178598E+1	3.179907E+1	2.288020E-2	1.000031799E+4
23	3.264000E-8	4.855304E-8	6.714997E-8	3.180462E+1	3.179931E+1	2.238404E-2	1.000031799E+4
24	5.880000E-8	4.898000E-8	6.570727E-8	3.179590E+1	3.179917E+1	2.190312E-2	1.000031799E+4
25	-2.616000E-8	4.597440E-8	6.605598E-8	3.182422E+1	3.180017E+1	2.201936E-2	1.000031800E+4
26	1.464000E-7	4.983692E-8	6.765170E-8	3.176670E+1	3.179889E+1	2.255128E-2	1.000031799E+4
27	4.344000E-8	4.960000E-8	6.634937E-8	3.180102E+1	3.179896E+1	2.211716E-2	1.000031799E+4
28	5.448000E-8	4.977429E-8	6.511562E-8	3.179734E+1	3.179891E+1	2.170590E-2	1.000031799E+4
29	3.096000E-8	4.912552E-8	6.403765E-8	3.180518E+1	3.179912E+1	2.134656E-2	1.000031799E+4
30	1.154400E-7	5.133600E-8	6.407807E-8	3.177702E+1	3.179839E+1	2.136004E-2	1.000031798E+4
31	5.328000E-8	5.139871E-8	6.300202E-8	3.179774E+1	3.179836E+1	2.100134E-2	1.000031798E+4
32	-1.008000E-8	4.947750E-8	6.292319E-8	3.181886E+1	3.179901E+1	2.097506E-2	1.000031799E+4
33	8.376000E-8	5.051636E-8	6.221908E-8	3.178758E+1	3.179866E+1	2.074035E-2	1.000031799E+4
34	4.656000E-8	5.040000E-8	6.127287E-8	3.179998E+1	3.179870E+1	2.042494E-2	1.000031799E+4
35	1.440000E-8	4.937143E-8	6.067100E-8	3.181070E+1	3.179904E+1	2.022431E-2	1.000031799E+4
36	7.896000E-8	5.019333E-8	6.000099E-8	3.178918E+1	3.179877E+1	2.000097E-2	1.000031799E+4
