start date: 	2016-02-19
start time: 	14.49.36
stop date: 	2016-02-19
stop time: 	14.58.13
com rel. humid (%):	34.9
com temp (°C):	26.24
cn temp (°C):	27.25
nv temp (°C):	31.31
remarks: 	
R1 Info: 	QHR
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_021_1449.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_021_1449_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-41.137695312
delta (I2*R2) (V): 	3.0000

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	6.552000E-8	6.552000E-8	NaN
2	4.896000E-8	5.724000E-8	8.280000E-9
3	3.384000E-8	4.944000E-8	9.148377E-9
4	2.136000E-8	4.242000E-8	9.546036E-9
5	2.064000E-8	3.806400E-8	8.582005E-9
6	3.192000E-8	3.704000E-8	7.081604E-9
7	3.432000E-8	3.665143E-8	5.997649E-9
8	7.440000E-8	4.137000E-8	7.017390E-9
9	3.696000E-8	4.088000E-8	6.208124E-9
10	5.712000E-8	4.250400E-8	5.785328E-9
11	2.952000E-8	4.132364E-8	5.364496E-9
12	6.240000E-9	3.840000E-8	5.703434E-9
13	4.080000E-8	3.858462E-8	5.249644E-9
14	5.400000E-8	3.968571E-8	4.983394E-9
15	1.608000E-8	3.811200E-8	4.898935E-9
16	7.872000E-8	4.065000E-8	5.238422E-9
17	2.832000E-8	3.992471E-8	4.973807E-9
18	9.000000E-8	4.270667E-8	5.452459E-9
19	3.168000E-8	4.212632E-8	5.190059E-9
20	6.288000E-8	4.316400E-8	5.031881E-9
21	4.416000E-8	4.321143E-8	4.786509E-9
22	6.168000E-8	4.405091E-8	4.640324E-9
23	4.104000E-8	4.392000E-8	4.435915E-9
24	8.880000E-8	4.579000E-8	4.640524E-9
25	3.144000E-8	4.521600E-8	4.487893E-9
26	6.144000E-8	4.584000E-8	4.356746E-9
27	1.608000E-8	4.473778E-8	4.334757E-9
28	4.104000E-8	4.460571E-8	4.179163E-9
29	5.376000E-8	4.492138E-8	4.044816E-9
30	4.320000E-8	4.486400E-8	3.908085E-9
31	2.256000E-8	4.414452E-8	3.847781E-9
32	8.544000E-8	4.543500E-8	3.942770E-9
33	8.712000E-8	4.669818E-8	4.024787E-9
34	6.408000E-8	4.720941E-8	3.937943E-9
35	1.416000E-8	4.626514E-8	3.938642E-9
36	5.568000E-8	4.652667E-8	3.836596E-9
37	4.440000E-8	4.646919E-8	3.731906E-9
38	2.304000E-8	4.585263E-8	3.684326E-9
39	2.976000E-8	4.544000E-8	3.612258E-9
40	6.648000E-8	4.596600E-8	3.559868E-9
41	7.104000E-8	4.657756E-8	3.525407E-9
42	4.464000E-8	4.653143E-8	3.440754E-9
43	1.224000E-8	4.573395E-8	3.453131E-9
44	5.160000E-8	4.586727E-8	3.376371E-9
45	3.840000E-8	4.570133E-8	3.304657E-9
46	1.608000E-8	4.505739E-8	3.295543E-9
47	8.304000E-8	4.586553E-8	3.324386E-9
48	2.448000E-8	4.542000E-8	3.284746E-9
49	3.216000E-8	4.514939E-8	3.228374E-9
50	6.192000E-8	4.548480E-8	3.180881E-9
