start date: 	2016-02-19
start time: 	12.40.20
stop date: 	2016-02-19
stop time: 	12.47.24
com rel. humid (%):	34.9
com temp (°C):	26.50
cn temp (°C):	28.09
nv temp (°C):	32.19
remarks: 	
R1 Info: 	QHR
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_007_1240.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-19_CCC\160219_007_1240_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-41.137695312
delta (I2*R2) (V): 	3.0000

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	1.632000E-7	1.632000E-7	NaN
2	1.440000E-7	1.536000E-7	9.600000E-9
3	1.300800E-7	1.457600E-7	9.601333E-9
4	1.440000E-7	1.453200E-7	6.803411E-9
5	1.329600E-7	1.428480E-7	5.820878E-9
6	1.634400E-7	1.462800E-7	5.862341E-9
7	1.257600E-7	1.433486E-7	5.756836E-9
8	1.459200E-7	1.436700E-7	4.995917E-9
9	1.564800E-7	1.450933E-7	4.630181E-9
10	1.101600E-7	1.416000E-7	5.417955E-9
11	1.574400E-7	1.430400E-7	5.107906E-9
12	1.449600E-7	1.432000E-7	4.665603E-9
13	1.262400E-7	1.418954E-7	4.485641E-9
14	9.768000E-8	1.387371E-7	5.217379E-9
15	1.876800E-7	1.420000E-7	5.851308E-9
16	1.521600E-7	1.426350E-7	5.510109E-9
17	1.243200E-7	1.415576E-7	5.286783E-9
18	1.668000E-7	1.429600E-7	5.177944E-9
19	1.382400E-7	1.427116E-7	4.904141E-9
20	1.466400E-7	1.429080E-7	4.656621E-9
21	1.598400E-7	1.437143E-7	4.502117E-9
22	1.507200E-7	1.440327E-7	4.304396E-9
23	1.600800E-7	1.447304E-7	4.171751E-9
24	1.704000E-7	1.458000E-7	4.134874E-9
25	1.632000E-7	1.464960E-7	4.026639E-9
26	1.473600E-7	1.465292E-7	3.868813E-9
27	1.771200E-7	1.476622E-7	3.891357E-9
28	1.579200E-7	1.480286E-7	3.767659E-9
29	1.850400E-7	1.493048E-7	3.852934E-9
30	1.528800E-7	1.494240E-7	3.724195E-9
31	1.632000E-7	1.498684E-7	3.629366E-9
32	1.552800E-7	1.500375E-7	3.518185E-9
33	1.946400E-7	1.513891E-7	3.668006E-9
34	1.548000E-7	1.514894E-7	3.559902E-9
35	-1.220510E-4	-3.340011E-6	3.491503E-6
36	-5.280000E-9	-3.247380E-6	3.394395E-6
37	-9.600000E-10	-3.159639E-6	3.302546E-6
38	1.200000E-9	-3.076459E-6	3.215538E-6
39	2.400000E-10	-2.997569E-6	3.132997E-6
40	-1.440000E-9	-2.922666E-6	3.054586E-6
41	1.200000E-9	-2.851352E-6	2.980006E-6
