tau (s)	adev [BVD]	adev err [BVD]
21.0	2.225182798082353e-09	2.2363928579370685e-10
42.0	1.3009646078626477e-09	1.858520868375211e-10
63.0	1.2867856371747552e-09	2.2747371249493043e-10
84.0	9.489073647773703e-10	1.9369490473946537e-10
105.0	1.1479832931559327e-09	2.633654296705125e-10
126.0	8.550853186080906e-10	2.2078207990370653e-10
147.0	6.034146937115075e-10	1.6735712450347987e-10
168.0	9.074270017737778e-10	2.7359953541098046e-10
189.0	5.819448403305981e-10	1.8402711680277049e-10
210.0	5.644037258271726e-10	1.881345752757242e-10
231.0	7.171780353071173e-10	2.535607260418539e-10
252.0	3.0660171475831307e-10	1.158845555423512e-10
273.0	5.59738275224253e-10	2.2851219396749258e-10
294.0	5.984038105737594e-10	2.442973326737986e-10
315.0	1.539234250181045e-10	6.883664833401469e-11
336.0	2.954387218698054e-10	1.3212421305730772e-10
357.0	3.531192056379686e-10	1.765596028189843e-10
378.0	3.3544798213800314e-10	1.6772399106900157e-10
399.0	4.5710774064493463e-10	2.2855387032246731e-10
420.0	4.5539484247162474e-10	2.2769742123581237e-10
441.0	7.155722322912899e-11	4.131358209379977e-11
462.0	3.97478143227087e-10	2.2948411298915133e-10
483.0	4.1492667231180607e-10	2.395580259531769e-10
504.0	2.469092110670321e-10	1.4255309947494912e-10
525.0	2.3023238249447527e-10	1.3292472800935418e-10
546.0	3.3394062591364164e-10	2.3613168109721613e-10
567.0	3.6634738439005694e-10	2.59046719772164e-10
588.0	3.9049364482076414e-10	2.7612070426301347e-10
609.0	1.9155198574350414e-10	1.3544770806898064e-10
630.0	2.13545638349345e-10	1.509995689696319e-10
651.0	2.7944992201752335e-10	1.9760093486064263e-10
672.0	2.0750708293592136e-10	1.467296654882293e-10
693.0	1.463775293155084e-10	1.0350454359232864e-10

tau (s)	adev [BV <I->]	adev err [BV <I->]
1.4285714285714286	4.0628506972789415e-09	2.86571392721375e-10
2.857142857142857	5.672203893679555e-09	5.672203893679555e-10
5.714285714285714	9.217480563823802e-09	1.3167829376891146e-09
7.142857142857143	1.038168328467037e-08	1.6623997777633992e-09
10.0	1.3081753887808625e-08	2.5175847095329143e-09
11.428571428571429	1.3580470265648224e-08	2.7721018848231058e-09
12.857142857142858	1.5064399641309324e-08	3.287321507398361e-09
14.285714285714286	1.4854666878631519e-08	3.4078943033639765e-09
15.714285714285715	1.5399643480713e-08	3.734962156931417e-09
18.571428571428573	1.5532861241044692e-08	4.151331785734966e-09
20.0	1.782725477689313e-08	4.944390861449886e-09
21.42857142857143	1.7301298322432812e-08	4.994454621893303e-09
22.857142857142858	1.5675953588930983e-08	4.7264778441372e-09
25.714285714285715	1.86734759369384e-08	5.9050715793072095e-09
27.142857142857146	1.8171499231825e-08	6.0571664106083335e-09
28.571428571428573	1.490756303164775e-08	4.969187677215917e-09
30.000000000000004	1.8818755927543696e-08	6.653434964930342e-09
31.42857142857143	1.631934851589688e-08	5.7697610000686515e-09
32.85714285714286	1.3117239987133313e-08	4.957850699072405e-09
35.714285714285715	1.8906693063529433e-08	7.146058280104114e-09
37.142857142857146	1.4237207609002354e-08	5.8123156673543145e-09
40.0	1.1946679372057617e-08	4.877211430362419e-09
41.42857142857143	1.8066776205001548e-08	8.079707945731826e-09
42.85714285714286	1.9493583871197783e-08	8.717795732218349e-09
45.714285714285715	1.5614770474181188e-08	6.9831376466651515e-09
47.142857142857146	1.2041222507776348e-08	5.38499841191768e-09
50.0	1.3903120143356497e-08	6.9515600716782486e-09
51.42857142857143	1.4304486969771656e-08	7.152243484885828e-09
52.85714285714286	1.5168083773235732e-08	7.584041886617866e-09
54.28571428571429	1.5700347710991415e-08	7.850173855495708e-09
55.714285714285715	1.6262710365250823e-08	8.131355182625411e-09
57.142857142857146	1.5920219648795987e-08	7.960109824397993e-09
60.00000000000001	1.71951409514104e-08	9.927619257050353e-09
61.42857142857143	1.7354558846102988e-08	1.0019659221464761e-08
62.85714285714286	1.7130364992208997e-08	9.890220839568407e-09
64.28571428571429	1.6688045022268448e-08	9.634847285855284e-09
65.71428571428572	1.607798376812083e-08	9.282628256550997e-09
67.14285714285715	1.5448268360000212e-08	8.919061896159702e-09
70.0	1.4616086741539215e-08	8.438601614726587e-09
71.42857142857143	1.3918185931751085e-08	8.035668394327751e-09
72.85714285714286	1.2834790016852963e-08	9.075567056022131e-09
74.28571428571429	1.2073048806837285e-08	8.5369346809108e-09
75.71428571428572	1.154244359147949e-08	8.161740134998355e-09
77.14285714285715	1.0952786011603584e-08	7.744789261690053e-09
80.0	9.55198442512034e-09	6.754272960790878e-09
81.42857142857143	8.89382040122099e-09	6.2888807163586225e-09
82.85714285714286	8.200233797147056e-09	5.798440925277795e-09
84.28571428571429	7.375031611278718e-09	5.214934863800331e-09
85.71428571428572	6.595200235651936e-09	4.6635108099126e-09
87.14285714285715	6.292908663272641e-09	4.449758389187657e-09
88.57142857142858	6.138825393302371e-09	4.340805064124281e-09
91.42857142857143	6.953942825236879e-09	4.917180127708535e-09
92.85714285714286	8.19528594148703e-09	5.794942262988258e-09
94.28571428571429	9.564269492684216e-09	6.76295981537263e-09
95.71428571428572	1.0734814000190281e-08	7.590659774310836e-09

tau (s)	adev [BV <I+>]	adev err [BV <I+>]
1.4285714285714286	3.953905561599447e-09	2.802849338995777e-10
2.857142857142857	5.698027045020996e-09	5.726732652615806e-10
5.714285714285714	8.78467400111527e-09	1.2549534287307528e-09
7.142857142857143	1.0300759305198933e-08	1.6494415703320772e-09
10.0	1.264558721279249e-08	2.433644393788878e-09
11.428571428571429	1.2835286580170382e-08	2.619991901984161e-09
12.857142857142858	1.4584613554881872e-08	3.1826235998535793e-09
14.285714285714286	1.4792494365412625e-08	3.393630950617287e-09
15.714285714285715	1.495802318985923e-08	3.6278535036604714e-09
18.571428571428573	1.5305284586442465e-08	4.0905093663957e-09
20.0	1.8131229191563802e-08	5.028698195182522e-09
21.42857142857143	1.6549322619608877e-08	4.777377934668574e-09
22.857142857142858	1.4299158525588844e-08	4.3113585133808845e-09
25.714285714285715	1.845245135009315e-08	5.835177467974341e-09
27.142857142857146	1.7964074299763317e-08	5.988024766587772e-09
28.571428571428573	1.4910748423983062e-08	4.970249474661021e-09
30.000000000000004	1.8628229970880093e-08	6.586073866955898e-09
31.42857142857143	1.554125631284519e-08	5.494663863485536e-09
32.85714285714286	1.3769404079054116e-08	5.204345556390792e-09
35.714285714285715	1.8279605973089418e-08	6.909041638435064e-09
37.142857142857146	1.3460366003494767e-08	5.495171409944639e-09
40.0	1.4030570178632539e-08	5.727956289659992e-09
41.42857142857143	1.9566283618592994e-08	8.7503080476429e-09
42.85714285714286	1.984588969093438e-08	8.875351684578312e-09
45.714285714285715	1.4777736726128313e-08	6.60880477464362e-09
