tau (s)	adev [BVD]	adev err [BVD]
21.0	2.552645598926578e-09	2.565505355876211e-10
42.0	1.366671986411177e-09	1.9523885520159672e-10
63.0	1.2459028831886731e-09	2.2024659435064543e-10
84.0	9.49569597918927e-10	1.938300825134299e-10
105.0	7.662611636805931e-10	1.757923672022939e-10
126.0	6.936909705003212e-10	1.7911023841081363e-10
147.0	5.366861099126085e-10	1.4884994523993942e-10
168.0	7.950865492051707e-10	2.3972761450654523e-10
189.0	8.20880425808891e-10	2.5958518322049626e-10
210.0	3.6328009495492385e-10	1.2109336498497462e-10
231.0	4.6162582234544843e-10	1.6320937467564152e-10
252.0	5.934765512046299e-10	2.243130519193916e-10
273.0	4.666705812778601e-10	1.9051746701646366e-10
294.0	4.4393432421111146e-10	1.8123542893741658e-10
315.0	3.66480524169037e-10	1.6389507289434426e-10
336.0	2.446076851421804e-10	1.0939188235935612e-10
357.0	3.560190369561754e-10	1.780095184780877e-10
378.0	5.712246408160593e-10	2.8561232040802964e-10
399.0	6.846324912430048e-10	3.423162456215024e-10
420.0	1.77254680653367e-10	8.86273403266835e-11
441.0	2.0226351675194765e-10	1.1677689584397737e-10
462.0	2.9520807505211467e-10	1.7043846159828965e-10
483.0	3.924792298648144e-10	2.2659798901378762e-10
504.0	4.6097655686905926e-10	2.661449391984582e-10
525.0	2.4770203668210305e-10	1.4301083755723075e-10
546.0	1.4979081686424778e-10	1.0591810236418186e-10
567.0	1.1214410265391258e-10	7.929785545666188e-11
588.0	2.2520291255128043e-11	1.5924250660797145e-11
609.0	8.409769933202908e-11	5.946605347986515e-11
630.0	1.6414635612264412e-10	1.1606900152138362e-10
651.0	2.4603145795000146e-10	1.7397051230165895e-10
672.0	2.3539192479704477e-10	1.6644722626054418e-10
693.0	3.2553466783858423e-10	2.301877711399732e-10

tau (s)	adev [BV <I->]	adev err [BV <I->]
1.4285714285714286	3.680575365399696e-09	2.596077697821834e-10
2.857142857142857	5.023416568743949e-09	5.02341656874395e-10
5.714285714285714	6.995680725642558e-09	9.993829608060797e-10
7.142857142857143	7.808456692795784e-09	1.2503537542843653e-09
