tau (s)	adev [BVD]	adev err [BVD]
10.0	8.798571978648916e-09	1.69328596678575e-09
11.428571428571429	9.823011166743693e-09	2.005113758015275e-09
12.857142857142858	1.0502372177996453e-08	2.29180549915557e-09
14.285714285714286	1.137672144666209e-08	2.6099988997269422e-09
15.714285714285715	1.1194675124659772e-08	2.7151075284380465e-09
18.571428571428573	1.219794804441462e-08	3.2600387431334797e-09
20.0	1.0855128957233422e-08	3.010671081313773e-09
21.42857142857143	1.0645468171507111e-08	3.073081957234612e-09
22.857142857142858	1.14378458855887e-08	3.4486402920370907e-09
25.714285714285715	1.3329711000723014e-08	4.215224731408708e-09
27.142857142857146	9.44177477226944e-09	3.147258257423147e-09
28.571428571428573	1.306217208615293e-08	4.3540573620509765e-09
30.000000000000004	1.165352401542882e-08	4.120142928015001e-09
31.42857142857143	1.1773885128882622e-08	4.162697007772175e-09
32.85714285714286	1.032715621142019e-08	3.9032981551333995e-09
35.714285714285715	1.2855091943350626e-08	4.8587680518536815e-09
37.142857142857146	9.90286412237117e-09	4.0428273486539536e-09
40.0	1.2185715117998323e-08	4.974797365002466e-09
41.42857142857143	1.2381597704589422e-08	5.537218827503461e-09
42.85714285714286	1.1793533232675626e-08	5.274228400633108e-09
45.714285714285715	9.93060964004101e-09	4.441103642629283e-09
47.142857142857146	1.046559714992511e-08	4.6803573304721204e-09
50.0	1.0582994113227094e-08	5.291497056613547e-09
51.42857142857143	1.2084259654325728e-08	6.042129827162864e-09
52.85714285714286	1.2215131841384797e-08	6.107565920692398e-09
54.28571428571429	1.1760262213187894e-08	5.880131106593947e-09
55.714285714285715	1.1592162026389599e-08	5.796081013194799e-09
57.142857142857146	1.2829810577153414e-08	6.414905288576707e-09
60.00000000000001	6.458975811585028e-09	3.729091423507898e-09
61.42857142857143	6.230406659769774e-09	3.5971269621789162e-09
62.85714285714286	6.627246431597478e-09	3.826242511268791e-09
64.28571428571429	7.609968662630923e-09	4.39361745589458e-09
65.71428571428572	9.230214439749864e-09	5.329066791467555e-09
67.14285714285715	1.1144848477955674e-08	6.4344812688253e-09
70.0	1.4778999374497295e-08	8.532659267219324e-09
71.42857142857143	1.621742288441543e-08	9.363133467879247e-09
72.85714285714286	1.1099263764248377e-08	7.848364673878153e-09
74.28571428571429	1.043439669784737e-08	7.378232662638394e-09
75.71428571428572	9.963360719043123e-09	7.045159927843067e-09
77.14285714285715	9.7178071278181e-09	6.871527318343145e-09
80.0	8.90501457565444e-09	6.2967961930103e-09
81.42857142857143	8.657799254153489e-09	6.121988562763765e-09
82.85714285714286	8.648255433590143e-09	6.115240062524995e-09
84.28571428571429	8.70963665414978e-09	6.158643139820223e-09
85.71428571428572	8.588908178093553e-09	6.073275215718546e-09
87.14285714285715	8.398319521506682e-09	5.938508684228735e-09
88.57142857142858	8.225461444556392e-09	5.816279565834319e-09
91.42857142857143	7.845738000874775e-09	5.54777454383154e-09
92.85714285714286	8.192176278538116e-09	5.792743399229876e-09
94.28571428571429	9.280118751293019e-09	6.562034899255729e-09
95.71428571428572	1.12166846449376e-08	7.931393774866398e-09

tau (s)	adev [BV <I+>]	adev err [BV <I+>]
1.4285714285714286	3.825603093231929e-09	2.7118981306138666e-10
2.857142857142857	5.04988050043209e-09	5.075320865474364e-10
5.714285714285714	7.302233269776779e-09	1.0431761813966827e-09
7.142857142857143	8.200368630864219e-09	1.3131098893814374e-09
10.0	8.744299624506359e-09	1.6828412473611633e-09
11.428571428571429	9.96036732664737e-09	2.0331514667479534e-09
12.857142857142858	1.0014397353430781e-08	2.1853206624505706e-09
14.285714285714286	1.1048921056517357e-08	2.534796332658832e-09
15.714285714285715	1.1078787376527373e-08	2.687000621010702e-09
18.571428571428573	1.1839879157816181e-08	3.164340807810982e-09
20.0	1.1380568119014574e-08	3.1564016843859854e-09
21.42857142857143	1.0709718556206234e-08	3.0916294456853997e-09
22.857142857142858	1.1580084568397835e-08	3.491526868541843e-09
25.714285714285715	1.3502664774200775e-08	4.269917516819762e-09
27.142857142857146	9.224340510617913e-09	3.074780170205971e-09
28.571428571428573	1.3821032458425913e-08	4.6070108194753046e-09
30.000000000000004	1.1581481874435428e-08	4.094672184801189e-09
31.42857142857143	1.2357382526213503e-08	4.368994491000858e-09
32.85714285714286	1.0321688371437291e-08	3.901231505875764e-09
35.714285714285715	1.3302797966893261e-08	5.02798502310503e-09
37.142857142857146	9.448825127931667e-09	3.8574667053700955e-09
40.0	1.2093619245811405e-08	4.9371993826233785e-09
41.42857142857143	1.1823132261169068e-08	5.2874654885889665e-09
42.85714285714286	1.1188277482780961e-08	5.003549800525692e-09
45.714285714285715	9.795208985014649e-09	4.3805506288618944e-09
47.142857142857146	1.063912105847732e-08	4.75795958152096e-09
50.0	1.0572591457420011e-08	5.286295728710006e-09
51.42857142857143	1.173762621160092e-08	5.86881310580046e-09
52.85714285714286	1.1633970894868543e-08	5.8169854474342714e-09
54.28571428571429	1.112284889658184e-08	5.56142444829092e-09
55.714285714285715	1.1484585658747272e-08	5.742292829373636e-09
57.142857142857146	1.3176244631739412e-08	6.588122315869706e-09
60.00000000000001	6.37630762481726e-09	3.681362923624108e-09
61.42857142857143	6.291425002947092e-09	3.632355919037846e-09
62.85714285714286	6.803504437691004e-09	3.928005118533715e-09
64.28571428571429	8.065874483397647e-09	4.656834804239365e-09
65.71428571428572	9.695386184077123e-09	5.597633823274306e-09
67.14285714285715	1.165209052328868e-08	6.727337600242607e-09
70.0	1.4916356237760408e-08	8.611962289199325e-09
71.42857142857143	1.6353189116654997e-08	9.441518138609621e-09
72.85714285714286	1.0733100863915655e-08	7.589448404033951e-09
74.28571428571429	1.0163070165888904e-08	7.186375831974734e-09
75.71428571428572	9.929751871509523e-09	7.021394883844195e-09
77.14285714285715	9.68488455298418e-09	6.8482475424239585e-09
80.0	8.72224689123332e-09	6.167559923974362e-09
81.42857142857143	8.599623143887773e-09	6.080851840691821e-09
82.85714285714286	8.717252078970199e-09	6.164028058352357e-09
84.28571428571429	8.715198875071924e-09	6.162576223952728e-09
85.71428571428572	8.543138564641432e-09	6.040911211674265e-09
87.14285714285715	8.291440599674431e-09	5.862933873835244e-09
88.57142857142858	8.028568762656285e-09	5.677055415296748e-09
91.42857142857143	7.731945319739633e-09	5.4673109673514824e-09
92.85714285714286	8.310709119779831e-09	5.8765587750652015e-09
94.28571428571429	9.780921576660578e-09	6.916155973110512e-09

tau (s)	adev [BV I-]	adev err [BV I-]
0.7	5.8949612953662575e-09	2.0751246561999713e-10
1.4	3.720551232415759e-09	1.8533385791833705e-10
2.8	3.6805753653997037e-09	2.5960776978218395e-10
3.5	3.6516966887884844e-09	2.8869197151666667e-10
4.2	4.032582043476415e-09	3.4966920928223474e-10
5.6	5.023416568743949e-09	5.02341656874395e-10
6.3	4.920987076496412e-09	5.245789849428681e-10
7.0	5.253950691854158e-09	5.911156355467026e-10
7.7	5.8024403217840655e-09	6.838241498272943e-10
9.1	6.374335025911319e-09	8.161499683646609e-10
10.5	6.572361297873302e-09	9.114225253983556e-10
11.2	6.995680725642553e-09	9.993829608060789e-10
11.9	6.911811767914489e-09	1.01909104763575e-09
12.6	7.0876809191148465e-09	1.0808612071386956e-09
13.299999999999999	7.465458457637229e-09	1.1659087315523168e-09
14.0	7.808456692795782e-09	1.2503537542843651e-09
14.7	7.84720671339827e-09	1.2900728368584767e-09
15.4	8.438126672540394e-09	1.426303731847139e-09
16.099999999999998	8.226536331267182e-09	1.410839341435767e-09
17.5	8.649464602477213e-09	1.5534897022978185e-09
18.2	9.060953928930317e-09	1.6542962864633988e-09
18.9	9.13509821319727e-09	1.7263712910193196e-09
19.599999999999998	8.798571978648912e-09	1.6932859667857491e-09
21.0	9.654676576052066e-09	1.930935315210413e-09
21.7	9.789362844604005e-09	1.957872568920801e-09
22.4	9.823011166743693e-09	2.005113758015275e-09
23.099999999999998	9.812081037133994e-09	2.045960328138529e-09
23.8	1.0435295145759546e-08	2.2248124004581595e-09
24.5	1.0363205522440241e-08	2.2094428411246774e-09
25.2	1.0502372177996451e-08	2.2918054991555698e-09
25.9	1.081835594225933e-08	2.419057929168065e-09
26.599999999999998	1.0405704612700003e-08	2.3267862867780325e-09
27.3	1.066283639219943e-08	2.446222436058165e-09
28.0	1.1376721446662086e-08	2.6099988997269414e-09
28.7	1.0660254008209237e-08	2.5126459661252755e-09
29.4	1.0858046948415803e-08	2.559266209222238e-09
30.099999999999998	1.0716397983809636e-08	2.5991082831413684e-09
30.8	1.119467512465977e-08	2.715107528438046e-09
31.5	1.0635415527516893e-08	2.6588538818792233e-09
32.9	1.2347870889818668e-08	3.086967722454667e-09
34.3	1.1038772501067158e-08	2.8501988039470333e-09
35.0	1.1266333034675502e-08	2.9089546810749792e-09
36.4	1.2197948044414619e-08	3.2600387431334793e-09
37.8	9.687617136871237e-09	2.686861563388684e-09
38.5	1.0308671255132687e-08	2.8591109840217404e-09
39.9	1.2439682265145518e-08	3.450147096727861e-09
41.3	1.0449497976217505e-08	3.016510234732813e-09
42.0	1.0645468171507113e-08	3.0730819572346123e-09
43.4	1.2261202048171124e-08	3.5395041515499947e-09
44.8	1.14378458855887e-08	3.4486402920370907e-09
45.5	1.193805958233258e-08	3.5994603963185516e-09
46.199999999999996	1.1715758540037571e-08	3.532434110155145e-09
46.9	1.2495912883143583e-08	3.76765949512322e-09
47.6	8.143819493398063e-09	2.575301845241646e-09
48.3	8.75722233531694e-09	2.769276855610032e-09
49.0	1.0339397913374518e-08	3.2696047041055793e-09
49.699999999999996	1.1875048978519524e-08	3.755220209817762e-09
50.4	1.3329711000723012e-08	4.215224731408707e-09
51.1	1.4172647930936256e-08	4.481784793743132e-09
51.8	1.1363153264233714e-08	3.7877177547445714e-09
52.5	1.0445635016631374e-08	3.4818783388771247e-09
53.199999999999996	9.441774772269437e-09	3.1472582574231457e-09
53.9	9.271934602012786e-09	3.0906448673375955e-09
54.6	1.0258830128779728e-08	3.419610042926576e-09
55.3	1.175327472655637e-08	3.917758242185457e-09
56.0	1.3062172086152924e-08	4.354057362050975e-09
56.699999999999996	1.1037826367433124e-08	3.902460936985819e-09
57.4	1.1553184518182335e-08	4.084667558553082e-09
58.1	1.1703526839407534e-08	4.137821595971915e-09
58.8	1.1653524015428823e-08	4.1201429280150025e-09
60.199999999999996	1.1430916739195205e-08	4.041439370731873e-09
60.9	1.1321678165554482e-08	4.002817702637623e-09
61.6	1.1773885128882617e-08	4.162697007772173e-09
62.3	1.271058128274323e-08	4.493869108925271e-09
63.699999999999996	1.0042087884528553e-08	3.7955524551881795e-09
65.1	1.066264289627785e-08	4.030100203177238e-09
65.8	1.1207960919256843e-08	4.236211042354926e-09
66.5	1.1796555908740016e-08	4.458679037370806e-09
67.2	1.2222029017261942e-08	4.619492756612893e-09
68.6	1.2180934452950264e-08	4.603960471269286e-09
69.3	1.2410234470699567e-08	4.690627731638907e-09
70.0	1.2855091943350623e-08	4.858768051853681e-09
70.7	1.3751533959404311e-08	5.197591286034742e-09
72.1	1.0145741723967544e-08	4.1419817142976365e-09
72.8	9.902864122371173e-09	4.042827348653955e-09
73.5	9.560696004868965e-09	3.90313779963244e-09
74.2	9.487354887092336e-09	3.873196413679422e-09
75.6	1.014058658011907e-08	4.139877135634401e-09
76.3	1.0669556525599352e-08	4.35582821158349e-09
77.0	1.1260273987981882e-08	4.596987605748309e-09
77.7	1.1765409790132987e-08	4.80320843342859e-09
79.1	1.2605407311984734e-08	5.146135985718447e-09
79.8	1.3082133542174451e-08	5.340758654212681e-09
80.5	1.3802793311108782e-08	5.634966772886204e-09
81.2	1.2381597704589422e-08	5.537218827503461e-09
82.6	1.1987975976669503e-08	5.361185839293488e-09
83.3	1.1922343649189999e-08	5.3318341701403485e-09
84.0	1.1793533232675629e-08	5.27422840063311e-09
84.7	1.147175844994472e-08	5.130326343106802e-09
86.1	1.0417319058169396e-08	4.658766711474171e-09
86.8	9.989895198542855e-09	4.467616950408116e-09
87.5	9.712800772658516e-09	4.343696555915384e-09
88.2	9.610567633090146e-09	4.297976505989764e-09
89.6	9.930609640041009e-09	4.441103642629282e-09
90.3	1.0040905224416936e-08	4.490429327485809e-09
91.0	1.0089152014926084e-08	4.512005948140739e-09
91.7	1.0244751269160963e-08	4.581592050084232e-09
92.39999999999999	1.046559714992511e-08	4.6803573304721204e-09
93.1	1.0928738994912633e-08	4.887480660195475e-09
93.8	1.1609486189953603e-08	5.191920060916258e-09
94.5	8.355136622543155e-09	4.177568311271577e-09
95.2	8.876720026172166e-09	4.438360013086083e-09
95.89999999999999	9.259539277059646e-09	4.629769638529823e-09
96.6	9.759423914616554e-09	4.879711957308277e-09
97.3	1.0201843656185263e-08	5.100921828092631e-09
98.0	1.0582994113227095e-08	5.291497056613548e-09
98.7	1.0852722220400943e-08	5.426361110200471e-09
99.39999999999999	1.1267340951187083e-08	5.6336704755935416e-09
100.1	1.1652610559494181e-08	5.826305279747091e-09
100.8	1.2084259654325738e-08	6.042129827162869e-09
101.5	1.219855852496046e-08	6.09927926248023e-09
102.2	1.221905614736709e-08	6.109528073683545e-09
102.89999999999999	1.2191101662506334e-08	6.095550831253167e-09
103.6	1.2215131841384803e-08	6.107565920692402e-09
104.3	1.2108737463562166e-08	6.054368731781083e-09
105.0	1.2004528408644013e-08	6.002264204322007e-09
105.7	1.1868888544268913e-08	5.934444272134456e-09
106.39999999999999	1.17602622131879e-08	5.88013110659395e-09
107.1	1.1672264434076215e-08	5.8361322170381075e-09
107.8	1.1597336448348554e-08	5.798668224174277e-09
108.5	1.1526248560550082e-08	5.763124280275041e-09
109.2	1.15921620263896e-08	5.7960810131948e-09
109.89999999999999	1.1669673811373546e-08	5.834836905686773e-09
110.6	1.1900735352196733e-08	5.9503676760983665e-09
111.3	1.2303184127013489e-08	6.1515920635067445e-09
112.0	1.2829810577153413e-08	6.414905288576706e-09
112.7	1.3415050209349433e-08	6.7075251046747165e-09
113.39999999999999	6.940008350836477e-09	4.006815689533691e-09
114.1	6.913618414078188e-09	3.991579452442396e-09
114.8	6.908209819144933e-09	3.988456798701743e-09
116.2	6.6735172508265436e-09	3.852956981206316e-09
116.89999999999999	6.584005878831606e-09	3.801277566489507e-09
117.6	6.45897581158503e-09	3.729091423507899e-09
118.3	6.39595036069956e-09	3.6927036624733755e-09
119.7	6.239106766163886e-09	3.602149970947535e-09
120.39999999999999	6.230406659769778e-09	3.5971269621789187e-09
121.1	6.2468816161923756e-09	3.6066387827043928e-09
121.8	6.306515264000226e-09	3.6410682853190144e-09
123.2	6.627246431597483e-09	3.826242511268794e-09
123.89999999999999	6.865367433361454e-09	3.963721735736926e-09
124.6	7.084032293389926e-09	4.089967951536676e-09
125.3	7.3446253165154925e-09	4.24042140358716e-09
126.7	7.987104714444813e-09	4.611357056930442e-09
127.39999999999999	8.37883336685123e-09	4.837521699846576e-09
128.1	8.771078683342326e-09	5.0639846389110805e-09
129.5	9.739379865613401e-09	5.623033587151919e-09
130.2	1.0180153515858897e-08	5.877514372772849e-09
130.9	1.0678020606609603e-08	6.164958071638425e-09
131.6	1.1144848477955678e-08	6.434481268825302e-09
133.0	1.2336763591492534e-08	7.122633780476989e-09
133.7	1.287706885328983e-08	7.434579168820229e-09
135.1	1.3843739333285848e-08	7.992686630663595e-09
136.5	1.4509646434189451e-08	8.377148274625573e-09
137.2	1.4778999374497305e-08	8.53265926721933e-09
138.6	1.547278812835333e-08	8.93321839101884e-09
140.0	1.6217422884415437e-08	9.36313346787925e-09
140.7	1.651569139929972e-08	9.53533887523848e-09
142.1	1.1216881617279258e-08	7.93153305534489e-09
143.5	1.0910869060673425e-08	7.715149501440675e-09
144.2	1.0716664896721268e-08	7.57782642017544e-09
145.6	1.0434396697847372e-08	7.378232662638395e-09
147.0	1.0194066358193196e-08	7.208293449744061e-09
147.7	1.0059710407332449e-08	7.1132894457976605e-09
149.1	9.916180991107604e-09	7.011798822285326e-09
150.5	9.792480341169883e-09	6.92432925387718e-09
151.2	9.717807127818098e-09	6.871527318343144e-09
152.6	9.598995880274268e-09	6.787515079523667e-09
154.0	9.400732560710476e-09	6.647321741799555e-09
154.7	9.24962177137863e-09	6.540470277952554e-09
156.1	9.01852997972432e-09	6.377063704997243e-09
157.5	8.834473503100932e-09	6.246916122255542e-09
158.2	8.768189193702127e-09	6.20004603759338e-09
159.6	8.657799254153486e-09	6.121988562763763e-09
161.0	8.64927371155616e-09	6.115960093779898e-09
161.7	8.63950117189632e-09	6.109049864717012e-09
163.1	8.681870052356441e-09	6.1390091874016456e-09
164.5	8.730238004604528e-09	6.173210494428375e-09
165.2	8.70963665414978e-09	6.158643139820223e-09
166.6	8.640512675351356e-09	6.109765105669261e-09
168.0	8.58890817809355e-09	6.0732752157185435e-09
168.7	8.534921148133153e-09	6.035100620737426e-09
170.1	8.440781135288217e-09	5.9685335792737835e-09
171.5	8.368360884074217e-09	5.9173247285451305e-09
172.2	8.316598831705737e-09	5.880723430307245e-09
173.6	8.225461444556389e-09	5.816279565834317e-09
175.0	8.11710801245943e-09	5.739662119233721e-09
175.7	8.060802483323869e-09	5.699848097763669e-09
177.1	7.876059076038536e-09	5.569214781692702e-09
178.5	7.83980823136495e-09	5.543581563600269e-09
179.2	7.845738000874775e-09	5.54777454383154e-09
179.9	7.889909895705048e-09	5.579008790203885e-09
180.6	7.959615097362676e-09	5.62829781097997e-09
181.29999999999998	8.049896421597642e-09	5.692136347561015e-09
182.0	8.192176278538116e-09	5.792743399229876e-09
182.7	8.407742124366465e-09	5.945171470607315e-09
183.4	8.676093685238695e-09	6.134924679042064e-09
184.1	8.948813975149711e-09	6.327767045405304e-09
184.79999999999998	9.280118751293019e-09	6.562034899255729e-09
185.5	9.713354990996374e-09	6.868379182205732e-09
186.2	1.0171734074318748e-08	7.192502140377056e-09
186.9	1.0680143086609097e-08	7.552001600583916e-09
187.6	1.1216684644937598e-08	7.931393774866398e-09
188.29999999999998	1.1694059160611245e-08	8.268948532064877e-09

tau (s)	adev [BV I+]	adev err [BV I+]
0.7	4.981148928966147e-09	1.7622038146659154e-10
1.4	3.466380154354371e-09	1.735360635419297e-10
2.8	3.825603093231924e-09	2.711898130613863e-10
3.5	3.705955362962319e-09	2.939013777197927e-10
4.2	4.016483905505011e-09	3.4959005172704946e-10
5.6	5.0498805004320915e-09	5.075320865474366e-10
6.3	4.892235919395029e-09	5.245027452567114e-10
7.0	5.503104775662808e-09	6.191476600626447e-10
7.7	5.722773593105701e-09	6.79168273429398e-10
9.1	6.2269313836665245e-09	8.038933848972252e-10
10.5	6.806146800223795e-09	9.438427414054635e-10
11.2	7.30223326977678e-09	1.0431761813966827e-09
11.9	7.21024467363382e-09	1.0630925790359981e-09
12.6	7.145027834516335e-09	1.0896065297504073e-09
13.299999999999999	7.92045142413478e-09	1.236966694763096e-09
14.0	8.20036863086422e-09	1.3131098893814376e-09
14.7	7.523502305143886e-09	1.236856159955176e-09
15.4	8.24319036441469e-09	1.3933534818044372e-09
16.099999999999998	8.07607650144157e-09	1.4058644666898414e-09
17.5	8.28384595768532e-09	1.4878226551733503e-09
18.2	8.570779450559273e-09	1.591553788512531e-09
18.9	9.251892552209792e-09	1.748443346416984e-09
19.599999999999998	8.744299624506359e-09	1.6828412473611633e-09
21.0	9.293218511815307e-09	1.8586437023630613e-09
21.7	9.3540465627032e-09	1.9093867590714776e-09
22.4	9.960367326647368e-09	2.033151466747953e-09
23.099999999999998	9.743244151054339e-09	2.0316068451721165e-09
23.8	1.0000702672737058e-08	2.1321569738870087e-09
24.5	1.0256975931062195e-08	2.2382556478777457e-09
25.2	1.0014397353430776e-08	2.18532066245057e-09
25.9	1.056450533524207e-08	2.3622952078260473e-09
26.599999999999998	1.0063665714347131e-08	2.2503040640114164e-09
27.3	1.07872920633919e-08	2.474774525199139e-09
28.0	1.1048921056517352e-08	2.5347963326588306e-09
28.7	1.0321746614029347e-08	2.4328590081564793e-09
29.4	1.0696767401484414e-08	2.5212522554549448e-09
30.099999999999998	1.0738864768742712e-08	2.604557278867669e-09
30.8	1.1078787376527378e-08	2.6870006210107032e-09
31.5	1.0449249047253318e-08	2.6123122618133294e-09
32.9	1.2248268120235957e-08	3.0620670300589893e-09
34.3	1.0712408329719135e-08	2.7659319372517215e-09
35.0	1.1341342595647325e-08	2.9283220664383257e-09
36.4	1.1839879157816181e-08	3.164340807810982e-09
37.8	9.702980250184981e-09	2.691122524373566e-09
38.5	1.030862458229336e-08	2.859098039305174e-09
39.9	1.277004201348305e-08	3.541772405341734e-09
41.3	1.0419576504516686e-08	3.0078726498623045e-09
42.0	1.070971855620623e-08	3.091629445685399e-09
43.4	8.807223363898969e-09	2.6554777584458723e-09
44.8	1.1580084568397832e-08	3.4915268685418416e-09
45.5	1.1951510687672514e-08	3.603516057175652e-09
46.199999999999996	1.2223233742254137e-08	3.6854436407153343e-09
46.9	8.58120318278767e-09	2.713614712229524e-09
47.6	8.388883069254898e-09	2.652797752366951e-09
48.3	9.461033068332997e-09	2.991841351410373e-09
49.0	1.1298035839722218e-08	3.5727526339735267e-09
49.699999999999996	1.257005969506958e-08	3.975001896070148e-09
50.4	1.3502664774200769e-08	4.26991751681976e-09
51.1	1.1532203032945312e-08	3.844067677648437e-09
51.8	1.1066682693502469e-08	3.6888942311674894e-09
52.5	1.0056041520255596e-08	3.352013840085199e-09
53.199999999999996	9.224340510617912e-09	3.0747801702059706e-09
53.9	9.818126058089726e-09	3.2727086860299087e-09
54.6	1.114194761855434e-08	3.7139825395181137e-09
55.3	1.2490186645995235e-08	4.163395548665079e-09
56.0	1.3821032458425911e-08	4.607010819475304e-09
56.699999999999996	1.1183961244123341e-08	3.9541274181235755e-09
57.4	1.1474226363604606e-08	4.056751635287138e-09
58.1	1.1572015934436491e-08	4.091325469619413e-09
58.8	1.1581481874435422e-08	4.094672184801187e-09
60.199999999999996	1.132362483897262e-08	4.003505955624983e-09
60.9	1.1449678627556771e-08	4.0480726999760375e-09
61.6	1.2357382526213505e-08	4.368994491000859e-09
62.3	9.827117768606706e-09	3.7143013886110464e-09
63.699999999999996	9.913184650927075e-09	3.746831612430812e-09
65.1	1.0909139817027867e-08	4.123267281926915e-09
65.8	1.1419670337606241e-08	4.316229681092447e-09
66.5	1.1789449415457714e-08	4.455993035382416e-09
67.2	1.1938980455286905e-08	4.512510456049978e-09
68.6	1.2078138701944864e-08	4.565107329412942e-09
69.3	1.2558830781562309e-08	4.746791857965259e-09
70.0	1.3302797966893261e-08	5.02798502310503e-09
70.7	1.0454696142591358e-08	4.2681118275320654e-09
72.1	9.78393421007076e-09	3.994274415272293e-09
72.8	9.448825127931664e-09	3.857466705370094e-09
73.5	9.389239906483047e-09	3.8331411405767856e-09
74.2	9.585124768046151e-09	3.9131108004376735e-09
75.6	1.0493639928198275e-08	4.28401056143028e-09
76.3	1.089589879104888e-08	4.448232054512977e-09
77.0	1.1357639811293762e-08	4.636737036664991e-09
77.7	1.1720600218038746e-08	4.784915002224699e-09
79.1	1.2508639890685385e-08	5.106630851400391e-09
79.8	1.3040616856464751e-08	5.32380953824597e-09
80.5	1.1901368194956911e-08	5.322453661835525e-09
81.2	1.1823132261169067e-08	5.287465488588966e-09
82.6	1.1587251054949989e-08	5.181976206244865e-09
83.3	1.1406077330880776e-08	5.100952853693755e-09
84.0	1.1188277482780957e-08	5.00354980052569e-09
84.7	1.0494572482989039e-08	4.693315493352449e-09
86.1	9.470092588359006e-09	4.235154156157534e-09
86.8	9.329022576952625e-09	4.172065729139266e-09
87.5	9.260182138139975e-09	4.141279348982066e-09
88.2	9.44686654869397e-09	4.224767155449708e-09
89.6	9.79520898501465e-09	4.380550628861895e-09
90.3	9.908571080490024e-09	4.431247699172846e-09
91.0	1.002376211954261e-08	4.482762697916929e-09
91.7	1.0223678053028083e-08	4.572167821328698e-09
92.39999999999999	1.0639121058477322e-08	4.757959581520961e-09
93.1	1.1268280151925575e-08	5.0393280818434484e-09
93.8	8.200228827261477e-09	4.100114413630738e-09
94.5	8.588904217722516e-09	4.294452108861258e-09
95.2	9.048720596807178e-09	4.524360298403589e-09
95.89999999999999	9.471744312458463e-09	4.735872156229232e-09
96.6	9.811139043966033e-09	4.905569521983017e-09
97.3	1.0192043406581244e-08	5.096021703290622e-09
98.0	1.057259145742002e-08	5.28629572871001e-09
98.7	1.0901051833744085e-08	5.450525916872042e-09
99.39999999999999	1.1158628083697562e-08	5.579314041848781e-09
100.1	1.1547454687511447e-08	5.773727343755724e-09
100.8	1.1737626211600929e-08	5.8688131058004645e-09
101.5	1.1816611131546183e-08	5.9083055657730915e-09
102.2	1.1799276128157566e-08	5.899638064078783e-09
102.89999999999999	1.1758697588830045e-08	5.8793487944150225e-09
103.6	1.1633970894868548e-08	5.816985447434274e-09
104.3	1.1570299764671445e-08	5.785149882335723e-09
105.0	1.1465648981298114e-08	5.732824490649057e-09
105.7	1.130054830933451e-08	5.650274154667255e-09
106.39999999999999	1.1122848896581843e-08	5.561424448290921e-09
107.1	1.1165933874468873e-08	5.5829669372344364e-09
107.8	1.1135922005638193e-08	5.567961002819097e-09
108.5	1.1354504844566446e-08	5.677252422283223e-09
109.2	1.1484585658747276e-08	5.742292829373638e-09
109.89999999999999	1.1802965329618969e-08	5.9014826648094845e-09
110.6	1.2191014051263808e-08	6.095507025631904e-09
111.3	1.26811575772155e-08	6.34057878860775e-09
112.0	1.3176244631739413e-08	6.588122315869707e-09
112.7	6.9889511695754094e-09	4.035072839107512e-09
113.39999999999999	6.925659757000292e-09	3.998531525019877e-09
114.1	6.859216724793996e-09	3.960170622489797e-09
114.8	6.814399202819828e-09	3.934295214113599e-09
