tau (s)	adev [BVD]	adev err [BVD]
21.0	7.259523121356731e-09	7.296095257712104e-10
42.0	4.914550097410398e-09	7.020785853443426e-10
63.0	3.134370244904765e-09	5.540836137303747e-10
84.0	3.049553080474028e-09	6.224874158911646e-10
105.0	1.4613659178861992e-09	3.3526033450528947e-10
126.0	1.6843167716312592e-09	4.3488872041771387e-10
147.0	1.934878728616725e-09	5.366388052178596e-10
168.0	1.3620438375573732e-09	4.1067166883578065e-10
189.0	1.2193836866921549e-09	3.8560297916003596e-10
210.0	1.1770762136345513e-09	3.9235873787818376e-10
231.0	8.805194390144935e-10	3.113106331468615e-10
252.0	1.4336643822857789e-09	5.418742027227437e-10
273.0	1.3166431902469856e-09	5.375173315692187e-10
294.0	1.4685643774313133e-09	5.99538896522461e-10
315.0	9.526904791946766e-10	4.2605613459922916e-10
336.0	7.235074755113318e-10	3.2356237949452044e-10
357.0	1.6221897087787323e-09	8.110948543893661e-10
378.0	1.3828132084484626e-09	6.914066042242313e-10
399.0	8.785659131477689e-10	4.3928295657388445e-10
420.0	9.042231069286742e-10	4.521115534643371e-10
441.0	1.4168202239409815e-09	8.180015376856316e-10
462.0	1.2232343407914045e-09	7.062346759379119e-10
483.0	1.5701047723470116e-09	9.065004129704633e-10
504.0	1.3337889112422116e-09	7.700633869478288e-10
525.0	1.2051582450479764e-09	6.957984371945462e-10
546.0	1.364946677232336e-09	9.651630514290306e-10
567.0	1.1982398367701764e-09	8.472835140680535e-10
588.0	9.192762617254628e-10	6.500264784498942e-10
609.0	1.2422051895110625e-09	8.783717131283926e-10
630.0	1.424441648819712e-09	1.007232349284965e-09
651.0	1.4448662557077564e-09	1.0216747273185706e-09
672.0	1.2350229525175871e-09	8.732931046462173e-10
693.0	1.2305987795709203e-09	8.701647419544871e-10

tau (s)	adev [BV <I->]	adev err [BV <I->]
1.4285714285714286	6.3231886437166165e-09	4.4600333880923913e-10
2.857142857142857	6.8589206118452346e-09	6.858920611845234e-10
5.714285714285714	8.023066239837281e-09	1.1461523199767544e-09
7.142857142857143	8.742447775818942e-09	1.3999120220792774e-09
10.0	1.0451149434940839e-08	2.0113246465346996e-09
11.428571428571429	1.1156219202441e-08	2.27725370871833e-09
