tau (s)	adev [BVD]	adev err [BVD]
21.0	2.006862607063192e-09	2.016972810128197e-10
42.0	1.3577106837171162e-09	1.9395866910244518e-10
63.0	1.1184153119589057e-09	1.9770976281725255e-10
84.0	9.426931157732746e-10	1.9242642647324594e-10
105.0	1.0556576947189913e-09	2.4218448475006284e-10
126.0	7.737493590831406e-10	1.997812254578444e-10
147.0	8.288999466033168e-10	2.298954815159709e-10
168.0	6.210528839840618e-10	1.8725449010393232e-10
189.0	9.01323086368604e-10	2.850233860617451e-10
210.0	5.664097780173634e-10	1.8880325933912113e-10
231.0	5.280456078756063e-10	1.8669231505230687e-10
252.0	5.942553106556035e-10	2.2460739532487978e-10
273.0	5.619004962271654e-10	2.293949169955366e-10
294.0	7.782648424498932e-10	3.1772529145829663e-10
315.0	7.714692146892167e-10	3.4501152131869353e-10
336.0	6.421471840288941e-10	2.8717695100973487e-10
357.0	7.118641447143605e-10	3.5593207235718025e-10
378.0	5.181588690527391e-10	2.5907943452636953e-10
399.0	5.662992610500279e-10	2.8314963052501397e-10
420.0	6.804007647841733e-10	3.4020038239208666e-10
441.0	6.135536455240902e-10	3.5423536240560973e-10
462.0	6.982453573519218e-10	4.031321450275385e-10
483.0	4.533287501727617e-10	2.617294759436406e-10
504.0	3.982801528235411e-10	2.2994715344555675e-10
525.0	4.1285099392339994e-10	2.3835963247687954e-10
546.0	4.6408779667967667e-10	3.2815962809812306e-10
567.0	5.3387779316202e-10	3.7750860786977333e-10
588.0	5.433477993096844e-10	3.842049134346651e-10
609.0	6.556098127844093e-10	4.635861444322987e-10
630.0	6.691089239227034e-10	4.731314574581773e-10
651.0	5.399558289995758e-10	3.818064282268039e-10
672.0	5.122962236446494e-10	3.622481337153917e-10
693.0	5.3880704557286e-10	3.809941156756584e-10

tau (s)	adev [BV <I->]	adev err [BV <I->]
1.4285714285714286	3.1595936410682627e-09	2.2286055226222047e-10
2.857142857142857	4.212695635884833e-09	4.212695635884833e-10
5.714285714285714	6.8161318499945905e-09	9.737331214277987e-10
7.142857142857143	7.579611928813221e-09	1.2137092647198766e-09
10.0	9.189963804143353e-09	1.768609358721694e-09
11.428571428571429	9.781918925393308e-09	1.9967258393739633e-09
12.857142857142858	1.0283390693088347e-08	2.2440198215181787e-09
14.285714285714286	1.0486015856512293e-08	2.405657023100115e-09
15.714285714285715	1.0990422923699244e-08	2.665569093213038e-09
18.571428571428573	1.2225862120870993e-08	3.2674990938740483e-09
20.0	1.2760273521598865e-08	3.539063113159243e-09
21.42857142857143	1.1765269045160105e-08	3.3963406251557793e-09
22.857142857142858	1.4013249281635313e-08	4.225153632809244e-09
25.714285714285715	1.372757454617586e-08	4.3410402315668e-09
27.142857142857146	1.1779889943142073e-08	3.926629981047358e-09
