28	9.010714E-9	9.183730E-9	4.444725E-10	2.134900E+1	1.000021349E+2	2.134909E+1	1.154740E-3	2.222299E-4
29	1.148571E-8	9.265943E-9	4.361235E-10	2.135024E+1	1.000021349E+2	2.134913E+1	1.153841E-3	2.180555E-4
30	5.367857E-9	9.131527E-9	4.417625E-10	2.134718E+1	1.000021349E+2	2.134906E+1	1.189448E-3	2.208749E-4
31	8.153571E-9	9.098928E-9	4.280263E-10	2.134857E+1	1.000021349E+2	2.134904E+1	1.172165E-3	2.140070E-4
32	6.096429E-9	9.002073E-9	4.251677E-10	2.134754E+1	1.000021349E+2	2.134899E+1	1.183583E-3	2.125778E-4
33	9.771429E-9	9.026116E-9	4.123683E-10	2.134938E+1	1.000021349E+2	2.134901E+1	1.166320E-3	2.061782E-4
34	9.321429E-9	9.035065E-9	3.997772E-10	2.134915E+1	1.000021349E+2	2.134901E+1	1.148240E-3	1.998829E-4
35	4.596429E-9	8.904516E-9	4.092228E-10	2.134679E+1	1.000021349E+2	2.134895E+1	1.193045E-3	2.046055E-4
36	8.389286E-9	8.889796E-9	3.976313E-10	2.134869E+1	1.000021349E+2	2.134894E+1	1.176176E-3	1.988100E-4
37	7.596429E-9	8.853869E-9	3.880947E-10	2.134829E+1	1.000021349E+2	2.134892E+1	1.164251E-3	1.940418E-4
38	5.142857E-9	8.753571E-9	3.905581E-10	2.134707E+1	1.000021349E+2	2.134887E+1	1.187802E-3	1.952735E-4
39	8.228571E-9	8.739755E-9	3.803923E-10	2.134861E+1	1.000021349E+2	2.134886E+1	1.172414E-3	1.901907E-4
40	1.103571E-8	8.798626E-9	3.751581E-10	2.135001E+1	1.000021349E+2	2.134889E+1	1.171397E-3	1.875737E-4
41	5.528571E-9	8.716875E-9	3.746862E-10	2.134726E+1	1.000021349E+2	2.134885E+1	1.184828E-3	1.873377E-4
42	7.778571E-9	8.693989E-9	3.661492E-10	2.134838E+1	1.000021349E+2	2.134884E+1	1.172216E-3	1.830693E-4
43	8.325000E-9	8.685204E-9	3.574330E-10	2.134866E+1	1.000021349E+2	2.134884E+1	1.158182E-3	1.787114E-4
