start date: 	2018-03-09
start time: 	11.22.54
stop date: 	2018-03-09
stop time: 	11.58.19
com rel. humid (%):	33.6
com temp (°C):	28.47
cn temp (°C):	30.69
nv temp (°C):	35.28
remarks: 	QHR Red
R1 Info: 	GaAs 8
R2 Info: 	1218
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2018-03-09_CCC\180309_001_1122.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2018-03-09_CCC\180309_001_1122_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	42
number of samples per half cycle: 	15
ignored first samples: 	7
ignored last samples: 	0
amplifier gain: 	100000
delta N1/NA (mTurns): 	-99.914550781
delta (I2*R2) (V): 	1.0000

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	-1.158214E-8	-1.158214E-8	NaN
2	-7.467857E-9	-9.525000E-9	2.057143E-9
3	-1.102500E-8	-1.002500E-8	1.288647E-9
4	-2.065714E-8	-1.268304E-8	2.809886E-9
5	-1.557857E-8	-1.326214E-8	2.252252E-9
6	-8.142857E-10	-1.118750E-8	2.772346E-9
7	-1.999286E-8	-1.244541E-8	2.659373E-9
8	-2.056071E-8	-1.345982E-8	2.516591E-9
9	-1.270714E-8	-1.337619E-8	2.221000E-9
10	-1.638214E-8	-1.367679E-8	2.009137E-9
11	-6.889286E-9	-1.305974E-8	1.919230E-9
12	-1.768929E-8	-1.344554E-8	1.793983E-9
13	-1.217143E-8	-1.334753E-8	1.653132E-9
14	-1.158214E-8	-1.322143E-8	1.535689E-9
15	-6.514286E-9	-1.277429E-8	1.497942E-9
16	-6.921429E-9	-1.240848E-8	1.448159E-9
17	-1.804286E-8	-1.273992E-8	1.400103E-9
18	-2.349643E-8	-1.333750E-8	1.448994E-9
19	-4.285714E-11	-1.263778E-8	1.538890E-9
20	-1.266429E-8	-1.263911E-8	1.459919E-9
21	-2.379643E-8	-1.317041E-8	1.486828E-9
22	4.071429E-10	-1.255325E-8	1.546149E-9
23	-2.291786E-8	-1.300388E-8	1.544595E-9
24	-8.700000E-9	-1.282455E-8	1.489670E-9
25	-1.164643E-8	-1.277743E-8	1.429618E-9
26	-7.928571E-9	-1.259093E-8	1.386136E-9
27	-7.853571E-9	-1.241548E-8	1.345301E-9
28	-2.485714E-9	-1.206084E-8	1.343996E-9
29	-2.355000E-8	-1.245702E-8	1.355990E-9
30	-1.127143E-8	-1.241750E-8	1.310607E-9
31	-3.610714E-9	-1.213341E-8	1.299068E-9
32	-1.410000E-8	-1.219487E-8	1.259318E-9
33	-5.314286E-9	-1.198636E-8	1.238241E-9
34	-2.482500E-8	-1.236397E-8	1.259221E-9
35	-4.328571E-9	-1.213439E-8	1.244081E-9
36	-2.967857E-9	-1.187976E-8	1.235551E-9
37	-1.039286E-8	-1.183958E-8	1.202366E-9
38	-1.398214E-8	-1.189596E-8	1.171654E-9
39	-1.246071E-8	-1.191044E-8	1.141308E-9
40	-1.301786E-8	-1.193812E-8	1.112754E-9
41	-1.650000E-9	-1.168720E-8	1.113906E-9
42	-1.348929E-8	-1.173010E-8	1.087908E-9
43	-1.516071E-8	-1.180988E-8	1.065298E-9
44	-7.339286E-9	-1.170828E-8	1.045753E-9
45	-1.389643E-8	-1.175690E-8	1.023405E-9
46	-4.157143E-9	-1.159169E-8	1.014454E-9
47	-1.131429E-8	-1.158579E-8	9.926524E-10
48	-1.301786E-8	-1.161563E-8	9.722100E-10
49	-1.434643E-8	-1.167136E-8	9.537919E-10
50	-3.525000E-9	-1.150843E-8	9.486176E-10
51	-1.775357E-8	-1.163088E-8	9.378599E-10
52	-8.475000E-9	-1.157019E-8	9.216476E-10
53	3.750000E-10	-1.134481E-8	9.317601E-10
54	-4.821429E-9	-1.122401E-8	9.222882E-10
55	-5.089286E-9	-1.111247E-8	9.122091E-10
56	-1.275000E-8	-1.114171E-8	8.962487E-10
57	-8.357143E-9	-1.109286E-8	8.817390E-10
58	-1.852500E-8	-1.122100E-8	8.758279E-10
59	-2.571429E-9	-1.107439E-8	8.732493E-10
60	-9.321429E-9	-1.104518E-8	8.590687E-10
61	-2.464286E-10	-1.086815E-8	8.632158E-10
62	-9.878571E-9	-1.085219E-8	8.493288E-10
63	-1.243929E-8	-1.087738E-8	8.361183E-10
64	-1.628571E-8	-1.096189E-8	8.272776E-10
65	-4.060714E-9	-1.085571E-8	8.213420E-10
66	-7.500000E-9	-1.080487E-8	8.103982E-10
67	-6.600000E-9	-1.074211E-8	8.006745E-10
68	-8.367857E-9	-1.070720E-8	7.895844E-10
69	-1.208571E-8	-1.072717E-8	7.783134E-10
70	-7.403571E-9	-1.067969E-8	7.685820E-10
71	-6.535714E-9	-1.062133E-8	7.599243E-10
72	-1.512857E-8	-1.068393E-8	7.519060E-10
73	-7.564286E-9	-1.064119E-8	7.427647E-10
74	-1.400357E-8	-1.068663E-8	7.340662E-10
75	-1.503214E-8	-1.074457E-8	7.265266E-10
76	-1.532143E-8	-1.080479E-8	7.194282E-10
77	-1.125000E-9	-1.067908E-8	7.210665E-10
78	-6.525000E-9	-1.062582E-8	7.137517E-10
79	-9.675000E-9	-1.061379E-8	7.047617E-10
80	-1.789286E-8	-1.070478E-8	7.018196E-10
81	-1.372500E-8	-1.074206E-8	6.941032E-10
82	-1.414286E-8	-1.078354E-8	6.868396E-10
83	-8.185714E-9	-1.075224E-8	6.792354E-10
84	-1.863214E-8	-1.084605E-8	6.776253E-10
85	-1.130357E-8	-1.085143E-8	6.696274E-10
86	-1.176429E-8	-1.086204E-8	6.618804E-10
87	9.321429E-10	-1.072648E-8	6.681262E-10
88	-1.363929E-8	-1.075958E-8	6.613191E-10
89	-1.796786E-8	-1.084057E-8	6.588435E-10
90	-1.099286E-8	-1.084226E-8	6.514841E-10
91	-1.335000E-8	-1.086982E-8	6.448742E-10
92	-1.151786E-8	-1.087686E-8	6.378651E-10
93	-1.027500E-8	-1.087039E-8	6.310022E-10
94	-7.778571E-9	-1.083750E-8	6.251193E-10
95	-1.018929E-8	-1.083068E-8	6.185417E-10
96	1.148571E-8	-1.059821E-8	6.547228E-10
97	-1.625357E-8	-1.065652E-8	6.505557E-10
98	1.596429E-9	-1.053149E-8	6.559101E-10
99	-2.132143E-8	-1.064048E-8	6.583353E-10
100	-1.055357E-8	-1.063961E-8	6.517193E-10
