start date: 	2018-03-09
start time: 	14.14.47
stop date: 	2018-03-09
stop time: 	14.50.14
com rel. humid (%):	33.6
com temp (°C):	28.57
cn temp (°C):	31.28
nv temp (°C):	35.31
remarks: 	QHR Red, Squid Feedin on I1, low resistor on I1, Ramp time = 2.02s
R1 Info: 	1218
R2 Info: 	GaAs 8
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2018-03-09_CCC\180309_002_1414.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2018-03-09_CCC\180309_002_1414_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	42
number of samples per half cycle: 	15
ignored first samples: 	7
ignored last samples: 	0
amplifier gain: 	100000
delta N1/NA (mTurns): 	0.777244568
delta (I2*R2) (V): 	1.0000

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	1.506429E-8	1.506429E-8	NaN
2	1.527857E-8	1.517143E-8	1.071429E-10
3	1.271786E-8	1.435357E-8	8.201932E-10
4	1.294286E-8	1.400089E-8	6.787788E-10
5	1.434643E-8	1.407000E-8	5.303019E-10
6	1.255714E-8	1.381786E-8	5.010550E-10
7	1.479643E-8	1.395765E-8	4.459470E-10
8	1.178571E-8	1.368616E-8	4.720801E-10
9	1.018929E-8	1.329762E-8	5.694733E-10
10	1.680000E-8	1.364786E-8	6.181477E-10
11	1.644643E-8	1.390227E-8	6.142963E-10
12	1.600714E-8	1.407768E-8	5.875661E-10
13	1.398214E-8	1.407033E-8	5.405321E-10
14	1.697143E-8	1.427755E-8	5.416423E-10
15	1.260000E-8	1.416571E-8	5.164949E-10
16	1.093929E-8	1.396406E-8	5.235309E-10
17	1.486071E-8	1.401681E-8	4.945920E-10
18	1.257857E-8	1.393690E-8	4.731019E-10
19	1.427143E-8	1.395451E-8	4.478559E-10
20	9.450000E-9	1.372929E-8	4.808783E-10
21	1.163571E-8	1.362959E-8	4.681448E-10
22	1.300714E-8	1.360130E-8	4.472544E-10
23	1.362857E-8	1.360248E-8	4.273680E-10
24	1.327500E-8	1.358884E-8	4.094012E-10
25	1.383214E-8	1.359857E-8	3.928044E-10
26	6.439286E-9	1.332321E-8	4.671702E-10
27	1.301786E-8	1.331190E-8	4.496769E-10
28	1.373571E-8	1.332704E-8	4.335838E-10
29	1.089643E-8	1.324323E-8	4.266786E-10
30	1.340357E-8	1.324857E-8	4.122453E-10
31	1.621071E-8	1.334412E-8	4.100150E-10
32	1.220357E-8	1.330848E-8	3.985921E-10
33	1.702500E-8	1.342110E-8	4.024059E-10
34	1.144286E-8	1.336292E-8	3.947031E-10
35	1.534286E-8	1.341949E-8	3.874123E-10
36	1.308214E-8	1.341012E-8	3.766137E-10
37	1.192500E-8	1.336998E-8	3.684862E-10
38	1.252500E-8	1.334774E-8	3.593467E-10
39	1.178571E-8	1.330769E-8	3.522956E-10
40	1.141071E-8	1.326027E-8	3.466348E-10
41	1.377857E-8	1.327291E-8	3.383108E-10
42	1.458214E-8	1.330408E-8	3.316259E-10
43	1.142143E-8	1.326030E-8	3.267683E-10
44	1.216071E-8	1.323531E-8	3.202320E-10
45	1.431429E-8	1.325929E-8	3.139517E-10
46	1.311429E-8	1.325613E-8	3.070670E-10
47	1.372500E-8	1.326611E-8	3.006282E-10
48	1.700357E-8	1.334397E-8	3.044247E-10
49	1.278214E-8	1.333251E-8	2.983676E-10
50	1.315714E-8	1.332900E-8	2.923604E-10
51	1.347857E-8	1.333193E-8	2.865855E-10
52	1.419643E-8	1.334856E-8	2.815115E-10
53	1.081071E-8	1.330067E-8	2.802697E-10
54	1.323214E-8	1.329940E-8	2.750335E-10
55	1.221429E-8	1.327968E-8	2.707065E-10
56	1.271786E-8	1.326964E-8	2.660177E-10
57	1.561071E-8	1.331071E-8	2.645171E-10
58	1.068214E-8	1.326539E-8	2.638380E-10
59	1.597500E-8	1.331132E-8	2.633628E-10
60	1.325357E-8	1.331036E-8	2.589380E-10
61	1.203214E-8	1.328940E-8	2.555184E-10
62	1.224643E-8	1.327258E-8	2.519256E-10
63	1.198929E-8	1.325221E-8	2.487300E-10
64	1.204286E-8	1.323331E-8	2.455409E-10
65	1.418571E-8	1.324797E-8	2.421775E-10
66	1.222500E-8	1.323247E-8	2.389831E-10
67	1.332857E-8	1.323390E-8	2.353935E-10
68	1.230000E-8	1.322017E-8	2.323123E-10
69	9.589286E-9	1.316755E-8	2.348909E-10
70	1.156071E-8	1.314459E-8	2.326462E-10
71	1.393929E-8	1.315578E-8	2.296190E-10
72	1.339286E-8	1.315908E-8	2.264314E-10
73	1.331786E-8	1.316125E-8	2.233186E-10
74	1.030714E-8	1.312268E-8	2.236312E-10
75	1.123929E-8	1.309757E-8	2.220538E-10
76	1.298571E-8	1.309610E-8	2.191175E-10
77	1.108929E-8	1.307004E-8	2.178180E-10
78	1.135714E-8	1.304808E-8	2.161259E-10
79	8.400000E-9	1.298924E-8	2.213359E-10
80	1.000714E-8	1.295196E-8	2.217078E-10
81	1.193571E-8	1.293942E-8	2.193127E-10
82	1.234286E-8	1.293214E-8	2.167438E-10
83	6.235714E-9	1.285146E-8	2.288124E-10
84	1.611429E-8	1.289031E-8	2.293847E-10
85	1.191429E-8	1.287882E-8	2.269607E-10
86	9.825000E-9	1.284331E-8	2.270994E-10
87	1.220357E-8	1.283596E-8	2.245943E-10
88	1.451786E-8	1.285507E-8	2.228485E-10
89	1.380000E-8	1.286569E-8	2.205860E-10
90	1.476429E-8	1.288679E-8	2.191391E-10
91	1.497857E-8	1.290977E-8	2.179332E-10
92	1.267500E-8	1.290722E-8	2.155665E-10
93	1.148571E-8	1.289194E-8	2.137831E-10
94	1.287857E-8	1.289179E-8	2.114966E-10
95	1.091786E-8	1.287102E-8	2.102875E-10
96	1.281429E-8	1.287042E-8	2.080864E-10
97	1.405714E-8	1.288266E-8	2.062931E-10
98	1.323214E-8	1.288622E-8	2.042083E-10
99	7.628571E-9	1.283312E-8	2.089952E-10
100	9.139286E-9	1.279618E-8	2.101663E-10
