start date: 	2018-03-09
start time: 	15.20.43
stop date: 	2018-03-09
stop time: 	15.56.12
com rel. humid (%):	33.6
com temp (°C):	28.56
cn temp (°C):	31.53
nv temp (°C):	35.22
remarks: 	QHR Red, Squid Feedin on I1, low resistor on I1, Ramp time = 2.02s
R1 Info: 	1218
R2 Info: 	GaAs 8
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2018-03-09_CCC\180309_003_1520.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2018-03-09_CCC\180309_003_1520_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	42
number of samples per half cycle: 	15
ignored first samples: 	7
ignored last samples: 	0
amplifier gain: 	100000
delta N1/NA (mTurns): 	0.777244568
delta (I2*R2) (V): 	2.0001

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	1.398214E-8	1.398214E-8	NaN
2	1.477500E-8	1.437857E-8	3.964286E-10
3	1.057500E-8	1.311071E-8	1.288350E-9
4	1.745357E-8	1.419643E-8	1.417286E-9
5	9.825000E-9	1.332214E-8	1.403423E-9
6	6.792857E-9	1.223393E-8	1.580276E-9
7	9.107143E-9	1.178724E-8	1.408294E-9
8	8.207143E-9	1.133973E-8	1.299130E-9
9	1.248214E-8	1.146667E-8	1.152735E-9
10	9.492857E-9	1.126929E-8	1.049760E-9
11	9.042857E-9	1.106688E-8	9.708762E-10
12	1.020000E-8	1.099464E-8	8.892239E-10
13	1.119643E-8	1.101016E-8	8.181143E-10
14	7.135714E-9	1.073342E-8	8.064017E-10
15	9.042857E-9	1.062071E-8	7.591321E-10
16	8.003571E-9	1.045714E-8	7.286988E-10
17	7.339286E-9	1.027374E-8	7.086381E-10
18	1.127143E-8	1.032917E-8	6.704056E-10
19	5.807143E-9	1.009117E-8	6.773318E-10
20	9.975000E-9	1.008536E-8	6.425996E-10
21	8.957143E-9	1.003163E-8	6.135907E-10
22	9.053571E-9	9.987175E-9	5.867225E-10
23	5.967857E-9	9.812422E-9	5.872373E-10
