start date: 	2018-03-09
start time: 	16.04.08
stop date: 	2018-03-09
stop time: 	16.39.36
com rel. humid (%):	33.6
com temp (°C):	28.63
cn temp (°C):	31.59
nv temp (°C):	35.31
remarks: 	QHR Red, Squid Feedin on I1, low resistor on I1, Ramp time = 2.02s
R1 Info: 	1216
R2 Info: 	GaAs 8
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2018-03-09_CCC\180309_004_1604.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2018-03-09_CCC\180309_004_1604_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	42
number of samples per half cycle: 	15
ignored first samples: 	7
ignored last samples: 	0
amplifier gain: 	100000
delta N1/NA (mTurns): 	0.157356262
delta (I2*R2) (V): 	2.0001

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	6.728571E-9	6.728571E-9	Inf
2	5.475000E-9	6.101786E-9	6.267857E-10
3	6.867857E-9	6.357143E-9	4.429003E-10
4	7.071429E-9	6.535714E-9	3.605109E-10
5	4.939286E-9	6.216429E-9	4.241748E-10
6	5.025000E-9	6.017857E-9	3.992244E-10
7	5.603571E-9	5.958673E-9	3.425575E-10
8	5.914286E-9	5.953125E-9	2.967154E-10
9	2.614286E-9	5.582143E-9	4.539860E-10
10	2.957143E-9	5.319643E-9	4.835172E-10
11	2.453571E-9	5.059091E-9	5.090866E-10
12	-2.496429E-9	4.429464E-9	7.825624E-10
13	2.153571E-9	4.254396E-9	7.408354E-10
14	-3.107143E-9	3.728571E-9	8.642470E-10
15	-1.178571E-9	3.401429E-9	8.685364E-10
16	7.500000E-10	3.235714E-9	8.291697E-10
17	4.189286E-9	3.291807E-9	7.808865E-10
18	6.000000E-10	3.142262E-9	7.512613E-10
19	8.260714E-9	3.411654E-9	7.599710E-10
20	1.135714E-9	3.297857E-9	7.298973E-10
21	1.660714E-9	3.219898E-9	6.986341E-10
22	5.389286E-9	3.318506E-9	6.733806E-10
23	-1.050000E-9	3.128571E-9	6.708853E-10
24	2.635714E-9	3.108036E-9	6.426520E-10
25	-1.960714E-9	2.905286E-9	6.488983E-10
26	8.239286E-9	3.110440E-9	6.563286E-10
27	-3.835714E-9	2.853175E-9	6.819412E-10
28	5.357143E-10	2.770408E-9	6.623267E-10
29	6.085714E-9	2.884729E-9	6.492244E-10
30	-1.082143E-9	2.752500E-9	6.409972E-10
31	1.564286E-9	2.714171E-9	6.211588E-10
32	1.896429E-9	2.688616E-9	6.019771E-10
33	-2.785714E-10	2.598701E-9	5.903380E-10
34	2.989286E-9	2.610189E-9	5.728271E-10
35	-1.060714E-9	2.505306E-9	5.660221E-10
36	6.792857E-9	2.624405E-9	5.628202E-10
37	7.392857E-10	2.573456E-9	5.497635E-10
38	3.428571E-10	2.514756E-9	5.383105E-10
39	2.357143E-9	2.510714E-9	5.243416E-10
40	1.714286E-10	2.452232E-9	5.144002E-10
