tau (s)	adev [BVD]	adev err [BVD]
21.0	2.144064527862569e-09	2.1548659288577702e-10
42.0	1.4073270248170496e-09	2.0104671783100708e-10
63.0	9.340431025060654e-10	1.6511705292564007e-10
84.0	1.1010987792575006e-09	2.2476084713186056e-10
105.0	1.0750389036257052e-09	2.4663083901469526e-10
126.0	7.955994870557765e-10	2.0542290424121238e-10
147.0	8.262148203118331e-10	2.2915076147558312e-10
168.0	7.043408189756256e-10	2.123667473703441e-10
189.0	8.067251345065469e-10	2.551088870746384e-10
210.0	1.118356148143793e-09	3.7278538271459766e-10
231.0	7.243291994795477e-10	2.560890443817058e-10
252.0	9.847227281566303e-10	3.721902070079293e-10
273.0	9.740166681368914e-10	3.9764063965019374e-10
294.0	9.720561501241425e-10	3.968402615230654e-10
315.0	9.770747046478423e-10	4.36961091737621e-10
336.0	8.783891306587254e-10	3.928275613699709e-10
357.0	9.328924877430183e-10	4.664462438715091e-10
378.0	1.0429321225333829e-09	5.214660612666914e-10
399.0	9.294247496255605e-10	4.6471237481278026e-10
420.0	1.0779809981209841e-09	5.389904990604921e-10
441.0	1.0646359342063596e-09	6.146678432029905e-10
462.0	1.0959053470897637e-09	6.327212471486253e-10
483.0	1.1114014084765771e-09	6.416679023616811e-10
504.0	1.157837276664099e-09	6.684776633598008e-10
525.0	1.150020934692436e-09	6.639648962183829e-10
546.0	1.1201191894889264e-09	7.920438746247992e-10
567.0	1.169733648796041e-09	8.27126595245764e-10
588.0	1.2495422613146486e-09	8.83559806354761e-10
609.0	1.342936970131357e-09	9.495998382859985e-10
630.0	1.2886929911046432e-09	9.112435528776682e-10
651.0	1.30756277203351e-09	9.245865029319746e-10
672.0	1.3244264117295158e-09	9.36510896916507e-10
693.0	1.4373793392439997e-09	1.016380677916871e-09

tau (s)	adev [BV <I->]	adev err [BV <I->]
1.4285714285714286	4.767519390444245e-09	3.362748900570705e-10
2.857142857142857	5.617656652990915e-09	5.617656652990915e-10
5.714285714285714	8.814303908914426e-09	1.2591862727020607e-09
7.142857142857143	1.025285758418012e-08	1.6417711561812483e-09
10.0	1.2567770872947045e-08	2.4186686322031713e-09
11.428571428571429	1.3933404849204916e-08	2.8441443550144034e-09
12.857142857142858	1.4760139697541245e-08	3.220926544385969e-09
14.285714285714286	1.6618198848480818e-08	3.812476284431151e-09
15.714285714285715	1.6400975542070108e-08	3.977820854301583e-09
18.571428571428573	1.8214265022469192e-08	4.867967090427148e-09
20.0	1.723423676965136e-08	4.779917258958834e-09
21.42857142857143	1.533605149300022e-08	4.4271367288948195e-09
22.857142857142858	1.8821955130140137e-08	5.675032998870889e-09
25.714285714285715	1.7448335537043872e-08	5.517648167591588e-09
27.142857142857146	1.599779190491018e-08	5.332597301636727e-09
28.571428571428573	1.882738277186943e-08	6.27579425728981e-09
30.000000000000004	1.4440016453471025e-08	5.1053167773473406e-09
31.42857142857143	8.674946717686262e-09	3.067056825253969e-09
32.85714285714286	1.6814397741469072e-08	6.355244981321898e-09
35.714285714285715	1.5325098086174192e-08	5.792342621955545e-09
37.142857142857146	1.3092795902965449e-08	5.3451115447779145e-09
40.0	1.6183418176378095e-08	6.606852804368166e-09
41.42857142857143	1.6573437916206216e-08	7.411866760301913e-09
42.85714285714286	1.203228996214801e-08	5.381003656070264e-09
45.714285714285715	8.423371992128905e-09	3.76704647483361e-09
47.142857142857146	1.0389361866376662e-08	4.6462638752124605e-09
50.0	1.5521123893221293e-08	7.760561946610647e-09
51.42857142857143	1.5541361507717484e-08	7.770680753858742e-09
52.85714285714286	1.3545236892670722e-08	6.772618446335361e-09
54.28571428571429	1.1329725122501112e-08	5.664862561250556e-09
55.714285714285715	1.0506341555608553e-08	5.2531707778042765e-09
57.142857142857146	1.1015380056292991e-08	5.5076900281464954e-09
60.00000000000001	1.1511970733368742e-08	6.646439401813537e-09
61.42857142857143	1.2508703586226473e-08	7.221903382721092e-09
62.85714285714286	1.3517533330146123e-08	7.804351506939603e-09
64.28571428571429	1.480485984955311e-08	8.547589819454171e-09
65.71428571428572	1.570331841352816e-08	9.06631511322089e-09
67.14285714285715	1.58924267101121e-08	9.175496839159621e-09
70.0	1.5647860962030167e-08	9.034296738669954e-09
71.42857142857143	1.5430528653914623e-08	8.908819872075841e-09
