start date: 	2023-08-08
start time: 	15.06.02
stop date: 	2023-08-08
stop time: 	15.27.12
com rel. humid (%):	33.6
com temp (°C):	29.16
cn temp (°C):	31.12
nv temp (°C):	35.34
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Red, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.3e-3 mbar
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1215
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-08_CCC\230808_003_1506.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-08_CCC\230808_003_1506_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	24.459551554
delta (I2*R2) (V): 	2.000061037
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+1.539540E-07	0	0	
+1.536060E-07	0	0	
-3.047736E-06	3	8	
-1.594806E-06	3	0	
+1.617960E-07	1	0	
+1.486980E-07	1	0	
+1.453980E-07	1	0	
+1.530000E-07	1	0	
+1.662180E-07	1	0	
+1.397340E-07	1	0	
+1.384620E-07	1	0	
+1.420560E-07	1	0	
+1.470000E-07	1	0	
+1.688100E-07	1	0	
+1.664280E-07	1	0	
+1.531380E-07	1	0	
+1.522320E-07	1	0	
+1.475340E-07	1	0	
+1.392540E-07	1	0	
+1.673340E-07	1	0	
+1.527000E-07	1	0	
+1.581660E-07	1	0	
+1.591380E-07	1	0	
+1.536900E-07	1	0	
+1.758780E-07	1	0	
+1.742400E-07	1	0	
+1.461840E-07	1	0	
+1.440360E-07	1	0	
+1.539780E-07	1	0	
+1.707060E-07	1	0	
+1.446540E-07	1	0	
+1.359300E-07	1	0	
+3.153546E-06	4	8	
+3.673134E-06	4	8	
+1.820526E-06	4	0	
+1.096320E-07	2	0	
+1.329360E-07	2	0	
+1.385340E-07	2	0	
+1.411740E-07	2	0	
+1.479540E-07	2	0	
+1.447740E-07	2	0	
+1.519020E-07	2	0	
+1.359240E-07	2	0	
+1.440840E-07	2	0	
+1.394400E-07	2	0	
+1.519500E-07	2	0	
+1.466880E-07	2	0	
+1.592640E-07	2	0	
+1.614000E-07	2	0	
+1.577040E-07	2	0	
+1.742460E-07	2	0	
+1.607940E-07	2	0	
+1.643700E-07	2	0	
+2.153880E-07	2	0	
+1.800540E-07	2	0	
+1.811220E-07	2	0	
+1.761540E-07	2	0	
+1.509300E-07	2	0	
+1.623180E-07	2	0	
+1.660620E-07	2	0	
+1.760820E-07	2	0	
+1.857180E-07	2	0	
-3.046998E-06	3	8	
-3.623766E-06	3	8	
-1.626516E-06	3	0	
+1.839360E-07	1	0	
+1.662780E-07	1	0	
+1.460700E-07	1	0	
+1.363920E-07	1	0	
+1.426740E-07	1	0	
+1.537920E-07	1	0	
+1.591380E-07	1	0	
+1.541280E-07	1	0	
+1.490160E-07	1	0	
+1.572780E-07	1	0	
+1.427640E-07	1	0	
+1.500840E-07	1	0	
+1.461720E-07	1	0	
+1.537260E-07	1	0	
+1.596240E-07	1	0	
+1.634280E-07	1	0	
+1.564920E-07	1	0	
+1.794540E-07	1	0	
+1.701120E-07	1	0	
+1.687260E-07	1	0	
+1.570920E-07	1	0	
+1.575240E-07	1	0	
+1.775820E-07	1	0	
+1.481160E-07	1	0	
+1.532760E-07	1	0	
+1.679700E-07	1	0	
+1.605780E-07	1	0	
+3.154998E-06	4	8	
+3.673254E-06	4	8	
+1.821684E-06	4	0	
+1.070040E-07	2	0	
+1.290000E-07	2	0	
+1.588440E-07	2	0	
+1.588200E-07	2	0	
+1.405020E-07	2	0	
+1.435320E-07	2	0	
+1.546500E-07	2	0	
+1.432200E-07	2	0	
+1.576560E-07	2	0	
+1.429740E-07	2	0	
+1.477800E-07	2	0	
+1.393680E-07	2	0	
+1.466160E-07	2	0	
+1.675020E-07	2	0	
+1.396380E-07	2	0	
+1.368240E-07	2	0	
+1.418400E-07	2	0	
+1.675020E-07	2	0	
+1.605660E-07	2	0	
+1.748340E-07	2	0	
+1.765920E-07	2	0	
