start date: 	2024-05-09
start time: 	02.48.41
stop date: 	2024-05-09
stop time: 	14.56.56
com rel. humid (%):	37.0
com temp (°C):	27.21
cn temp (°C):	31.47
nv temp (°C):	33.41
bvd averages: 	      1
remarks: 	input shorted via Rin =100 kohm, 100 ohm still connected
R1 Info: 	F058A
R2 Info: 	short
data filepath: 	W:\68internal\Calibrations\MDSS Data\resist\MagniconData\CCCViewerData\CCC2019-01_Data\2024-05-09_CCC\240509_001_0248.txt
config filepath: 	W:\68internal\Calibrations\MDSS Data\resist\MagniconData\CCCViewerData\CCC2019-01_Data\2024-05-09_CCC\240509_001_0248_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	10922
ignored first samples: 	240
ignored last samples: 	0
amplifier gain: 	300000
delta N1/NA (mTurns): 	-0.000000000
delta (I2*R2) (V): 	0.000000000
N1 (Turns):	0
N2 (Turns):	0
NA (Turns):	0
R1 (Ohm): 	100.000000
R2 (Ohm): 	0.000000

data(V)	phase	error
-2.860800E-07	1	0	
-2.863600E-07	1	0	
-2.845800E-07	1	0	
-2.867600E-07	1	0	
-2.870400E-07	1	0	
-2.867600E-07	1	0	
-2.869400E-07	1	0	
-2.858800E-07	1	0	
-2.849800E-07	1	0	
-2.851600E-07	1	0	
-2.851800E-07	1	0	
-2.850200E-07	1	0	
-2.855400E-07	1	0	
-2.844000E-07	1	0	
-2.840000E-07	1	0	
-2.872200E-07	1	0	
-2.859800E-07	1	0	
-2.851000E-07	1	0	
-2.832800E-07	1	0	
-2.847800E-07	1	0	
-2.859200E-07	1	0	
-2.842200E-07	1	0	
-2.832400E-07	1	0	
-2.886400E-07	1	0	
-2.839000E-07	1	0	
-2.874200E-07	1	0	
-2.872600E-07	1	0	
-2.834200E-07	1	0	
-2.846600E-07	1	0	
-2.857200E-07	1	0	
-2.856400E-07	1	0	
-2.854600E-07	1	0	
-2.850200E-07	1	0	
-2.848000E-07	1	0	
-2.862800E-07	1	0	
-2.853800E-07	1	0	
-2.866200E-07	1	0	
-2.858600E-07	1	0	
-2.860200E-07	1	0	
-2.848400E-07	1	0	
-2.824400E-07	1	0	
-2.856400E-07	1	0	
-2.872200E-07	1	0	
-2.859600E-07	1	0	
-2.848400E-07	1	0	
-2.853400E-07	1	0	
-2.862800E-07	1	0	
-2.863800E-07	1	0	
-2.863800E-07	1	0	
-2.854000E-07	1	0	
-2.867600E-07	1	0	
-2.856600E-07	1	0	
-2.849600E-07	1	0	
-2.865600E-07	1	0	
-2.857600E-07	1	0	
-2.862400E-07	1	0	
-2.865400E-07	1	0	
-2.858600E-07	1	0	
-2.864000E-07	1	0	
-2.847400E-07	1	0	
-2.852600E-07	1	0	
-2.870200E-07	1	0	
-2.847200E-07	1	0	
-2.837600E-07	1	0	
-2.863800E-07	1	0	
-2.858400E-07	1	0	
-2.878800E-07	1	0	
-2.864000E-07	1	0	
-2.853400E-07	1	0	
-2.864400E-07	1	0	
-2.865800E-07	1	0	
-2.891000E-07	1	0	
-2.855000E-07	1	0	
-2.870400E-07	1	0	
-2.851200E-07	1	0	
-2.863400E-07	1	0	
-2.865200E-07	1	0	
-2.869200E-07	1	0	
-2.880600E-07	1	0	
-2.853800E-07	1	0	
-2.872200E-07	1	0	
-2.874200E-07	1	0	
-2.876600E-07	1	0	
-2.861400E-07	1	0	
-2.863400E-07	1	0	
-2.877200E-07	1	0	
-2.876800E-07	1	0	
-2.899800E-07	1	0	
-2.905600E-07	1	0	
-2.875200E-07	1	0	
-2.873600E-07	1	0	
-2.858600E-07	1	0	
-2.888200E-07	1	0	
-2.878400E-07	1	0	
-2.876600E-07	1	0	
-2.873600E-07	1	0	
-2.888200E-07	1	0	
-2.878800E-07	1	0	
-2.895000E-07	1	0	
-2.888800E-07	1	0	
-2.903000E-07	1	0	
-2.894400E-07	1	0	
-2.886000E-07	1	0	
-2.879600E-07	1	0	
-2.893800E-07	1	0	
-2.885800E-07	1	0	
-2.882000E-07	1	0	
-2.904600E-07	1	0	
-2.897600E-07	1	0	
-2.888000E-07	1	0	
-2.892000E-07	1	0	
-2.872200E-07	1	0	
-2.875400E-07	1	0	
-2.892200E-07	1	0	
-2.905000E-07	1	0	
-2.887600E-07	1	0	
-2.908800E-07	1	0	
-2.877600E-07	1	0	
-2.869000E-07	1	0	
-2.880600E-07	1	0	
-2.882800E-07	1	0	
-2.886200E-07	1	0	
-2.885800E-07	1	0	
-2.897800E-07	1	0	
-2.898200E-07	1	0	
-2.873600E-07	1	0	
-2.884200E-07	1	0	
-2.875200E-07	1	0	
-2.870000E-07	1	0	
-2.878400E-07	1	0	
-2.876600E-07	1	0	
-2.872400E-07	1	0	
-2.873000E-07	1	0	
-2.877000E-07	1	0	
-2.871200E-07	1	0	
-2.884400E-07	1	0	
-2.869400E-07	1	0	
-2.873400E-07	1	0	
-2.897800E-07	1	0	
-2.894400E-07	1	0	
-2.893200E-07	1	0	
-2.883400E-07	1	0	
-2.891200E-07	1	0	
-2.887000E-07	1	0	
-2.888800E-07	1	0	
-2.889000E-07	1	0	
-2.892200E-07	1	0	
-2.918200E-07	1	0	
-2.907600E-07	1	0	
-2.891400E-07	1	0	
-2.883800E-07	1	0	
-2.892200E-07	1	0	
-2.905200E-07	1	0	
-2.904800E-07	1	0	
-2.893600E-07	1	0	
-2.898800E-07	1	0	
-2.894000E-07	1	0	
-2.903800E-07	1	0	
-2.901600E-07	1	0	
-2.916600E-07	1	0	
-2.904200E-07	1	0	
-2.892400E-07	1	0	
-2.911000E-07	1	0	
-2.910400E-07	1	0	
-2.896800E-07	1	0	
-2.906200E-07	1	0	
-2.883600E-07	1	0	
-2.893800E-07	1	0	
-2.891200E-07	1	0	
-2.892000E-07	1	0	
-2.887000E-07	1	0	
-2.884200E-07	1	0	
-2.899800E-07	1	0	
-2.886800E-07	1	0	
-2.860600E-07	1	0	
-2.879800E-07	1	0	
-2.884000E-07	1	0	
-2.886000E-07	1	0	
-2.888200E-07	1	0	
-2.883000E-07	1	0	
-2.875400E-07	1	0	
-2.895000E-07	1	0	
-2.879600E-07	1	0	
-2.874600E-07	1	0	
-2.876800E-07	1	0	
-2.882200E-07	1	0	
-2.890600E-07	1	0	
-2.896600E-07	1	0	
-2.862400E-07	1	0	
-2.888400E-07	1	0	
-2.893400E-07	1	0	
-2.901600E-07	1	0	
-2.900600E-07	1	0	
-2.892800E-07	1	0	
-2.878400E-07	1	0	
-2.884200E-07	1	0	
-2.893600E-07	1	0	
-2.883600E-07	1	0	
-2.879000E-07	1	0	
-2.881800E-07	1	0	
-2.877200E-07	1	0	
-2.885800E-07	1	0	
-2.877000E-07	1	0	
-2.885400E-07	1	0	
-2.896600E-07	1	0	
-2.885400E-07	1	0	
-2.900800E-07	1	0	
-2.881600E-07	1	0	
-2.884000E-07	1	0	
-2.907200E-07	1	0	
-2.907400E-07	1	0	
-2.893200E-07	1	0	
-2.894000E-07	1	0	
-2.897800E-07	1	0	
-2.895600E-07	1	0	
-2.901600E-07	1	0	
