start date: 	2023-08-10
start time: 	20.43.53
stop date: 	2023-08-10
stop time: 	21.05.02
com rel. humid (%):	34.0
com temp (°C):	29.04
cn temp (°C):	31.16
nv temp (°C):	35.31
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Red, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.0 - 4.0e-3 mbar, using 4G power supply, turned off magnet ps
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1216
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-10_CCC\230810_013_2043.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-10_CCC\230810_013_2043_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	21.323870402
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.174580E-07	1	0	
+2.030880E-07	1	0	
+1.969980E-07	1	0	
+2.091300E-07	1	0	
+1.925760E-07	1	0	
+1.898760E-07	1	0	
+1.956480E-07	1	0	
+1.890360E-07	1	0	
+1.866600E-07	1	0	
+1.882140E-07	1	0	
+1.918560E-07	1	0	
+1.838040E-07	1	0	
+1.812900E-07	1	0	
+1.778040E-07	1	0	
+1.780740E-07	1	0	
+1.872960E-07	1	0	
+1.856580E-07	1	0	
+1.865160E-07	1	0	
+1.842600E-07	1	0	
+2.020740E-07	1	0	
+1.883160E-07	1	0	
+1.965540E-07	1	0	
+1.964940E-07	1	0	
+1.781940E-07	1	0	
+1.820820E-07	1	0	
+1.868400E-07	1	0	
+1.896240E-07	1	0	
+1.897560E-07	1	0	
+1.045362E-06	4	0	
+1.434198E-06	4	0	
+5.941860E-07	4	0	
+1.887000E-07	2	0	
+1.930800E-07	2	0	
+2.017380E-07	2	0	
+2.012760E-07	2	0	
+2.007000E-07	2	0	
+1.998420E-07	2	0	
+2.159220E-07	2	0	
+1.936020E-07	2	0	
+2.015220E-07	2	0	
+2.090580E-07	2	0	
+2.060640E-07	2	0	
+2.139780E-07	2	0	
+2.083620E-07	2	0	
+1.916880E-07	2	0	
+2.073780E-07	2	0	
+1.989780E-07	2	0	
+2.074680E-07	2	0	
+2.167740E-07	2	0	
+2.050740E-07	2	0	
+2.042640E-07	2	0	
+2.154840E-07	2	0	
+2.103060E-07	2	0	
+2.069400E-07	2	0	
+2.053020E-07	2	0	
+2.051160E-07	2	0	
+2.078340E-07	2	0	
+2.135400E-07	2	0	
-6.433380E-07	3	0	
-1.023468E-06	3	0	
-2.079000E-07	3	0	
+1.850160E-07	1	0	
+2.013060E-07	1	0	
