start date: 	2023-08-11
start time: 	17.53.21
stop date: 	2023-08-11
stop time: 	18.14.30
com rel. humid (%):	33.5
com temp (°C):	29.02
cn temp (°C):	31.06
nv temp (°C):	35.16
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Yel, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.0 - 4.0e-3 mbar, using 4G power supply
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1642_002
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-11_CCC\230811_008_1753.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-11_CCC\230811_008_1753_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	43.454732746
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2062
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+1.681800E-07	1	0	
+1.671240E-07	1	0	
+1.681980E-07	1	0	
+1.625880E-07	1	0	
+1.632360E-07	1	0	
+1.615740E-07	1	0	
+1.708860E-07	1	0	
+1.699140E-07	1	0	
+1.666200E-07	1	0	
+1.714200E-07	1	0	
+1.699380E-07	1	0	
+1.639680E-07	1	0	
+1.569420E-07	1	0	
+1.617600E-07	1	0	
+1.653420E-07	1	0	
+1.688100E-07	1	0	
+1.624860E-07	1	0	
+1.572300E-07	1	0	
+1.523340E-07	1	0	
+1.534260E-07	1	0	
+1.580280E-07	1	0	
+1.515480E-07	1	0	
+1.550340E-07	1	0	
+1.591740E-07	1	0	
+1.591200E-07	1	0	
+1.693620E-07	1	0	
+1.555500E-07	1	0	
+1.563000E-07	1	0	
-1.082586E-06	4	0	
-1.646496E-06	4	0	
-4.493880E-07	4	0	
+1.503060E-07	2	0	
+1.438920E-07	2	0	
+1.477740E-07	2	0	
+1.519740E-07	2	0	
+1.563480E-07	2	0	
+1.501260E-07	2	0	
+1.481760E-07	2	0	
+1.529640E-07	2	0	
+1.505280E-07	2	0	
+1.473540E-07	2	0	
+1.463040E-07	2	0	
+1.443840E-07	2	0	
+1.510380E-07	2	0	
+1.455060E-07	2	0	
+1.497780E-07	2	0	
+1.440300E-07	2	0	
+1.418220E-07	2	0	
+1.399560E-07	2	0	
+1.429920E-07	2	0	
+1.346280E-07	2	0	
+1.504260E-07	2	0	
+1.518600E-07	2	0	
+1.339500E-07	2	0	
+1.449480E-07	2	0	
+1.489320E-07	2	0	
+1.324680E-07	2	0	
+1.444980E-07	2	0	
+1.389948E-06	3	0	
+1.958592E-06	3	0	
+7.545720E-07	3	0	
+1.412220E-07	1	0	
+1.487880E-07	1	0	
+1.469580E-07	1	0	
+1.473240E-07	1	0	
+1.386360E-07	1	0	
+1.394460E-07	1	0	
+1.469940E-07	1	0	
+1.412160E-07	1	0	
+1.438500E-07	1	0	
+1.600860E-07	1	0	
+1.483680E-07	1	0	
+1.473660E-07	1	0	
+1.421820E-07	1	0	
+1.310700E-07	1	0	
+1.370700E-07	1	0	
+1.469700E-07	1	0	
+1.420380E-07	1	0	
+1.475640E-07	1	0	
+1.405260E-07	1	0	
+1.573620E-07	1	0	
+1.497540E-07	1	0	
+1.560480E-07	1	0	
+1.521540E-07	1	0	
+1.521300E-07	1	0	
+1.453680E-07	1	0	
+1.628280E-07	1	0	
+1.515420E-07	1	0	
-1.086198E-06	4	0	
-1.645668E-06	4	0	
-4.404780E-07	4	0	
+1.641060E-07	2	0	
+1.525380E-07	2	0	
+1.576200E-07	2	0	
+1.651920E-07	2	0	
+1.589640E-07	2	0	
+1.571700E-07	2	0	
+1.584720E-07	2	0	
+1.590000E-07	2	0	
+1.576680E-07	2	0	
+1.542120E-07	2	0	
+1.569060E-07	2	0	
+1.637160E-07	2	0	
+1.712460E-07	2	0	
+1.623360E-07	2	0	
+1.614720E-07	2	0	
+1.606740E-07	2	0	
+1.617480E-07	2	0	
+1.668420E-07	2	0	
+1.657140E-07	2	0	
+1.633680E-07	2	0	
+1.693860E-07	2	0	
+1.586340E-07	2	0	
+1.621320E-07	2	0	
+1.624620E-07	2	0	
+1.724820E-07	2	0	
+1.753200E-07	2	0	
+1.677720E-07	2	0	
+1.408674E-06	3	0	
+1.979100E-06	3	0	
+7.632120E-07	3	0	
+1.620300E-07	1	0	
+1.626540E-07	1	0	
+1.647300E-07	1	0	
+1.762320E-07	1	0	
+1.626480E-07	1	0	
+1.611480E-07	1	0	
+1.681440E-07	1	0	
+1.661940E-07	1	0	
+1.754940E-07	1	0	
