start date: 	2023-08-11
start time: 	16.06.54
stop date: 	2023-08-11
stop time: 	16.28.03
com rel. humid (%):	33.6
com temp (°C):	28.98
cn temp (°C):	31.09
nv temp (°C):	35.31
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Yel, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.0 - 4.0e-3 mbar, using 4G power supply
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1214
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-11_CCC\230811_005_1606.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-11_CCC\230811_005_1606_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	19.683550578
delta (I2*R2) (V): 	2.000061037
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.209680E-07	1	0	
+2.037780E-07	1	0	
+2.249280E-07	1	0	
+2.185500E-07	1	0	
+2.132520E-07	1	0	
+2.052540E-07	1	0	
+2.125980E-07	1	0	
+2.109000E-07	1	0	
+2.070540E-07	1	0	
+2.178060E-07	1	0	
+2.190960E-07	1	0	
+1.930200E-07	1	0	
+2.003640E-07	1	0	
+2.062620E-07	1	0	
+2.082840E-07	1	0	
+2.128380E-07	1	0	
+2.099460E-07	1	0	
+2.020860E-07	1	0	
+2.077140E-07	1	0	
+2.028420E-07	1	0	
+2.047380E-07	1	0	
+1.981140E-07	1	0	
+2.129160E-07	1	0	
+2.078280E-07	1	0	
+2.086320E-07	1	0	
+2.041320E-07	1	0	
+2.027220E-07	1	0	
+2.208780E-07	1	0	
-2.442702E-06	4	0	
-3.615516E-06	4	8	
-1.098102E-06	4	0	
+1.914480E-07	2	0	
+2.116080E-07	2	0	
+2.031420E-07	2	0	
+2.135040E-07	2	0	
+2.257800E-07	2	0	
+2.202540E-07	2	0	
+2.185200E-07	2	0	
+2.073900E-07	2	0	
+2.029080E-07	2	0	
+2.127960E-07	2	0	
+2.197020E-07	2	0	
+2.146740E-07	2	0	
+2.090100E-07	2	0	
+2.185380E-07	2	0	
+2.256000E-07	2	0	
+2.139840E-07	2	0	
+2.068620E-07	2	0	
+2.010060E-07	2	0	
+2.021520E-07	2	0	
+2.104020E-07	2	0	
+2.178480E-07	2	0	
+2.138220E-07	2	0	
+2.072160E-07	2	0	
+2.095500E-07	2	0	
+2.296020E-07	2	0	
+2.132820E-07	2	0	
+2.137680E-07	2	0	
+2.688072E-06	3	0	
+3.665856E-06	3	8	
+1.457178E-06	3	0	
+2.140080E-07	1	0	
+2.083440E-07	1	0	
+2.107560E-07	1	0	
+2.060880E-07	1	0	
+2.038860E-07	1	0	
+2.084100E-07	1	0	
+2.088780E-07	1	0	
+2.018580E-07	1	0	
+2.008500E-07	1	0	
+2.175600E-07	1	0	
+2.084520E-07	1	0	
+2.087460E-07	1	0	
+1.995840E-07	1	0	
+2.072460E-07	1	0	
+2.140980E-07	1	0	
+2.022900E-07	1	0	
+2.038920E-07	1	0	
+2.071740E-07	1	0	
+2.097180E-07	1	0	
+2.072100E-07	1	0	
+2.115240E-07	1	0	
+2.150580E-07	1	0	
+2.121600E-07	1	0	
+2.113080E-07	1	0	
+2.076180E-07	1	0	
+2.064240E-07	1	0	
+2.087640E-07	1	0	
-2.442252E-06	4	0	
-3.615456E-06	4	8	
-1.096572E-06	4	0	
+2.045220E-07	2	0	
+2.110260E-07	2	0	
+2.183460E-07	2	0	
+2.141100E-07	2	0	
+1.965900E-07	2	0	
+2.187600E-07	2	0	
+2.146560E-07	2	0	
+2.156040E-07	2	0	
+2.120040E-07	2	0	
+1.987740E-07	2	0	
+2.117220E-07	2	0	
+2.109060E-07	2	0	
+2.056020E-07	2	0	
+2.209320E-07	2	0	
+2.077500E-07	2	0	
+2.104080E-07	2	0	
+2.158500E-07	2	0	
+1.955220E-07	2	0	
+2.013240E-07	2	0	
+2.168280E-07	2	0	
+2.108820E-07	2	0	
+2.065500E-07	2	0	
+2.140380E-07	2	0	
+2.095740E-07	2	0	
+2.093340E-07	2	0	
+1.997940E-07	2	0	
+2.069400E-07	2	0	
+2.692224E-06	3	0	
+3.665868E-06	3	8	
+1.454994E-06	3	0	
+2.095740E-07	1	0	
+2.090700E-07	1	0	
+2.088600E-07	1	0	
+1.977840E-07	1	0	
+2.013900E-07	1	0	
+2.075640E-07	1	0	
+1.980720E-07	1	0	
+1.983600E-07	1	0	
+1.916160E-07	1	0	
+2.026020E-07	1	0	
+1.894320E-07	1	0	
+1.988880E-07	1	0	
+2.039580E-07	1	0	
+2.052780E-07	1	0	
+2.082720E-07	1	0	
+1.963560E-07	1	0	
+1.941240E-07	1	0	
+1.878540E-07	1	0	
+1.966860E-07	1	0	
+2.033880E-07	1	0	
+2.008800E-07	1	0	
+1.967940E-07	1	0	
+1.882260E-07	1	0	
+1.961700E-07	1	0	
+1.929120E-07	1	0	
+1.950240E-07	1	0	
+1.982760E-07	1	0	
-2.450952E-06	4	0	
-3.615648E-06	4	8	
-1.107384E-06	4	0	
+1.971600E-07	2	0	
+1.889760E-07	2	0	
+1.902300E-07	2	0	
+2.011020E-07	2	0	
+2.125560E-07	2	0	
+1.905780E-07	2	0	
+1.941480E-07	2	0	
+1.920420E-07	2	0	
+1.929240E-07	2	0	
+2.003760E-07	2	0	
+2.021220E-07	2	0	
+1.964520E-07	2	0	
+1.920360E-07	2	0	
