start date: 	2024-05-07
start time: 	18.34.13
stop date: 	2024-05-08
stop time: 	07.55.19
com rel. humid (%):	37.9
com temp (°C):	27.42
cn temp (°C):	31.41
nv temp (°C):	33.59
bvd averages: 	    800
remarks: 	I1 Source Stability: 0.3 uA Range, I1 = 50.0076 nA
R1 Info: 	F058A
R2 Info: 	short
data filepath: 	W:\68internal\Calibrations\MDSS Data\resist\MagniconData\CCCViewerData\CCC2019-01_Data\2024-05-07_CCC\240507_001_1834.txt
config filepath: 	W:\68internal\Calibrations\MDSS Data\resist\MagniconData\CCCViewerData\CCC2019-01_Data\2024-05-07_CCC\240507_001_1834_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	300000
delta N1/NA (mTurns): 	-0.000000000
delta (I2*R2) (V): 	0.000000000
N1 (Turns):	0
N2 (Turns):	0
NA (Turns):	0
R1 (Ohm): 	100.000000
R2 (Ohm): 	0.000000

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	+1.000261E-05	+1.000261E-05	+Inf0
2	+1.000045E-05	+1.000153E-05	+1.077500E-09
3	+9.999151E-06	+1.000074E-05	+1.007173E-09
4	+1.000076E-05	+1.000074E-05	+7.122084E-10
5	+1.000081E-05	+1.000076E-05	+5.518424E-10
6	+9.999437E-06	+1.000054E-05	+5.012719E-10
7	+1.000060E-05	+1.000055E-05	+4.237591E-10
8	+1.000017E-05	+1.000050E-05	+3.699734E-10
9	+1.000010E-05	+1.000045E-05	+3.293507E-10
10	+1.000095E-05	+1.000050E-05	+2.988166E-10
11	+1.000100E-05	+1.000055E-05	+2.740289E-10
12	+1.000050E-05	+1.000054E-05	+2.501845E-10
13	+1.000009E-05	+1.000051E-05	+2.327238E-10
14	+9.999612E-06	+1.000045E-05	+2.248011E-10
15	+9.999615E-06	+1.000039E-05	+2.164897E-10
16	+1.000106E-05	+1.000043E-05	+2.068140E-10
17	+9.999563E-06	+1.000038E-05	+2.008991E-10
18	+1.000054E-05	+1.000039E-05	+1.896238E-10
19	+1.000053E-05	+1.000040E-05	+1.795109E-10
20	+1.000083E-05	+1.000042E-05	+1.716491E-10
21	+1.000068E-05	+1.000043E-05	+1.637606E-10
22	+1.000101E-05	+1.000046E-05	+1.583731E-10
23	+1.000139E-05	+1.000050E-05	+1.566856E-10
24	+1.000146E-05	+1.000054E-05	+1.552534E-10
25	+9.999204E-06	+1.000049E-05	+1.582024E-10
26	+1.000009E-05	+1.000047E-05	+1.527749E-10
27	+1.000023E-05	+1.000046E-05	+1.472656E-10
28	+1.000067E-05	+1.000047E-05	+1.421039E-10
29	+9.999441E-06	+1.000043E-05	+1.416215E-10
30	+1.000023E-05	+1.000043E-05	+1.369895E-10
31	+1.000037E-05	+1.000042E-05	+1.325083E-10
32	+1.000045E-05	+1.000043E-05	+1.283024E-10
33	+1.000260E-05	+1.000049E-05	+1.406789E-10
34	+9.999335E-06	+1.000046E-05	+1.406525E-10
35	+9.999304E-06	+1.000042E-05	+1.404956E-10
36	+1.000155E-05	+1.000046E-05	+1.401026E-10
37	+9.999445E-06	+1.000043E-05	+1.389750E-10
38	+1.000122E-05	+1.000045E-05	+1.368676E-10
39	+1.000152E-05	+1.000048E-05	+1.360964E-10
40	+1.000038E-05	+1.000047E-05	+1.326730E-10
41	+1.000025E-05	+1.000047E-05	+1.295084E-10
42	+9.999445E-06	+1.000044E-05	+1.287169E-10
43	+1.000036E-05	+1.000044E-05	+1.257051E-10
44	+1.000092E-05	+1.000045E-05	+1.232886E-10
45	+1.000165E-05	+1.000048E-05	+1.234352E-10
46	+1.000204E-05	+1.000051E-05	+1.253954E-10
47	+1.000136E-05	+1.000053E-05	+1.240045E-10
48	+1.000064E-05	+1.000053E-05	+1.214145E-10
49	+1.000035E-05	+1.000053E-05	+1.189718E-10
50	+1.000056E-05	+1.000053E-05	+1.165699E-10
51	+1.000044E-05	+1.000053E-05	+1.142764E-10
52	+1.000140E-05	+1.000055E-05	+1.133092E-10
53	+1.000149E-05	+1.000056E-05	+1.125619E-10
54	+9.999947E-06	+1.000055E-05	+1.110454E-10
55	+1.000102E-05	+1.000056E-05	+1.093444E-10
56	+1.000047E-05	+1.000056E-05	+1.073866E-10
57	+1.000197E-05	+1.000058E-05	+1.083560E-10
58	+1.000219E-05	+1.000061E-05	+1.099974E-10
59	+1.000022E-05	+1.000060E-05	+1.083178E-10
60	+1.000002E-05	+1.000060E-05	+1.069368E-10
61	+1.000020E-05	+1.000059E-05	+1.053697E-10
62	+1.000049E-05	+1.000059E-05	+1.036685E-10
63	+1.000129E-05	+1.000060E-05	+1.026158E-10
64	+1.000163E-05	+1.000061E-05	+1.022720E-10
65	+1.000008E-05	+1.000061E-05	+1.010198E-10
66	+1.000126E-05	+1.000062E-05	+9.997327E-11
67	+9.999559E-06	+1.000060E-05	+9.972641E-11
68	+1.000113E-05	+1.000061E-05	+9.856011E-11
69	+1.000163E-05	+1.000062E-05	+9.824656E-11
70	+1.000051E-05	+1.000062E-05	+9.684631E-11
71	+1.000023E-05	+1.000062E-05	+9.562850E-11
72	+1.000167E-05	+1.000063E-05	+9.541280E-11
73	+1.000045E-05	+1.000063E-05	+9.413008E-11
74	+1.000163E-05	+1.000064E-05	+9.383885E-11
75	+1.000154E-05	+1.000065E-05	+9.335099E-11
76	+9.999801E-06	+1.000064E-05	+9.279464E-11
77	+1.000173E-05	+1.000066E-05	+9.267198E-11
78	+1.000096E-05	+1.000066E-05	+9.155887E-11
79	+1.000047E-05	+1.000066E-05	+9.042587E-11
80	+9.999470E-06	+1.000064E-05	+9.051474E-11
81	+9.999169E-06	+1.000062E-05	+9.122461E-11
82	+1.000133E-05	+1.000063E-05	+9.051172E-11
83	+9.999419E-06	+1.000062E-05	+9.060437E-11
84	+1.000035E-05	+1.000062E-05	+8.957537E-11
85	+1.000097E-05	+1.000062E-05	+8.861477E-11
86	+1.000160E-05	+1.000063E-05	+8.831490E-11
87	+9.999886E-06	+1.000062E-05	+8.771287E-11
88	+1.000185E-05	+1.000064E-05	+8.782038E-11
89	+1.000010E-05	+1.000063E-05	+8.703419E-11
90	+1.000304E-05	+1.000066E-05	+9.011703E-11
91	+9.999650E-06	+1.000065E-05	+8.980607E-11
92	+1.000244E-05	+1.000067E-05	+9.094503E-11
93	+1.000131E-05	+1.000067E-05	+9.022914E-11
94	+1.000178E-05	+1.000068E-05	+9.004319E-11
95	+1.000014E-05	+1.000068E-05	+8.927201E-11
96	+1.000066E-05	+1.000068E-05	+8.833745E-11
97	+1.000133E-05	+1.000069E-05	+8.768250E-11
98	+1.000050E-05	+1.000068E-05	+8.680463E-11
99	+9.999185E-06	+1.000067E-05	+8.724632E-11
100	+1.000091E-05	+1.000067E-05	+8.640325E-11
101	+1.000248E-05	+1.000069E-05	+8.739389E-11
102	+1.000017E-05	+1.000068E-05	+8.668427E-11
103	+9.999826E-06	+1.000068E-05	+8.624111E-11
104	+1.000017E-05	+1.000067E-05	+8.554383E-11
105	+1.000135E-05	+1.000068E-05	+8.497028E-11
106	+1.000066E-05	+1.000068E-05	+8.416497E-11
107	+9.999647E-06	+1.000067E-05	+8.392766E-11
108	+9.999666E-06	+1.000066E-05	+8.366173E-11
109	+1.000085E-05	+1.000066E-05	+8.290914E-11
110	+1.000010E-05	+1.000065E-05	+8.231001E-11
111	+9.999950E-06	+1.000065E-05	+8.181164E-11
112	+1.000024E-05	+1.000064E-05	+8.115873E-11
113	+1.000131E-05	+1.000065E-05	+8.065424E-11
114	+1.000070E-05	+1.000065E-05	+7.994499E-11
115	+1.000206E-05	+1.000066E-05	+8.018849E-11
116	+1.000048E-05	+1.000066E-05	+7.950924E-11
117	+1.000068E-05	+1.000066E-05	+7.882700E-11
118	+9.999014E-06	+1.000065E-05	+7.939419E-11
119	+1.000178E-05	+1.000066E-05	+7.929450E-11
120	+1.000015E-05	+1.000065E-05	+7.874338E-11
121	+1.000102E-05	+1.000066E-05	+7.814955E-11
122	+1.000020E-05	+1.000065E-05	+7.759795E-11
123	+1.000194E-05	+1.000066E-05	+7.767729E-11
124	+1.000031E-05	+1.000066E-05	+7.709974E-11
125	+1.000014E-05	+1.000066E-05	+7.659572E-11
126	+1.000027E-05	+1.000065E-05	+7.604588E-11
127	+1.000121E-05	+1.000066E-05	+7.557103E-11
128	+1.000081E-05	+1.000066E-05	+7.498812E-11
129	+1.000128E-05	+1.000066E-05	+7.456229E-11
130	+9.999515E-06	+1.000065E-05	+7.451189E-11
131	+1.000083E-05	+1.000066E-05	+7.395376E-11
132	+1.000082E-05	+1.000066E-05	+7.340239E-11
133	+1.000012E-05	+1.000065E-05	+7.295972E-11
134	+1.000113E-05	+1.000066E-05	+7.249925E-11
135	+1.000146E-05	+1.000066E-05	+7.220742E-11
136	+9.999935E-06	+1.000066E-05	+7.187388E-11
137	+1.000073E-05	+1.000066E-05	+7.134951E-11
138	+1.000056E-05	+1.000066E-05	+7.083442E-11
139	+1.000131E-05	+1.000066E-05	+7.048151E-11
140	+1.000084E-05	+1.000066E-05	+6.998768E-11
141	+1.000110E-05	+1.000067E-05	+6.955980E-11
142	+9.998436E-06	+1.000065E-05	+7.083089E-11
143	+1.000133E-05	+1.000066E-05	+7.049184E-11
144	+9.999411E-06	+1.000065E-05	+7.053157E-11
145	+1.000221E-05	+1.000066E-05	+7.086724E-11
146	+9.999549E-06	+1.000065E-05	+7.078855E-11
147	+1.000101E-05	+1.000065E-05	+7.034688E-11
148	+1.000029E-05	+1.000065E-05	+6.991160E-11
149	+1.000295E-05	+1.000067E-05	+7.113079E-11
150	+1.000024E-05	+1.000066E-05	+7.071282E-11
151	+1.000087E-05	+1.000066E-05	+7.025709E-11
152	+1.000023E-05	+1.000066E-05	+6.985129E-11
153	+1.000088E-05	+1.000066E-05	+6.940770E-11
154	+9.999606E-06	+1.000066E-05	+6.929562E-11
155	+1.000260E-05	+1.000067E-05	+6.997656E-11
156	+9.999794E-06	+1.000066E-05	+6.975198E-11
157	+1.000127E-05	+1.000067E-05	+6.941384E-11
158	+1.000164E-05	+1.000067E-05	+6.924796E-11
159	+9.999130E-06	+1.000066E-05	+6.949140E-11
160	+1.000100E-05	+1.000066E-05	+6.908886E-11
161	+1.000052E-05	+1.000066E-05	+6.866449E-11
162	+9.999974E-06	+1.000066E-05	+6.837215E-11
163	+9.999262E-06	+1.000065E-05	+6.848981E-11
164	+1.000107E-05	+1.000065E-05	+6.811913E-11
165	+1.000073E-05	+1.000065E-05	+6.770682E-11
166	+1.000105E-05	+1.000066E-05	+6.733917E-11
167	+1.000015E-05	+1.000065E-05	+6.700339E-11
168	+9.999861E-06	+1.000065E-05	+6.677006E-11
169	+1.000045E-05	+1.000065E-05	+6.638434E-11
170	+1.000129E-05	+1.000065E-05	+6.609956E-11
171	+1.000047E-05	+1.000065E-05	+6.572008E-11
172	+1.000025E-05	+1.000065E-05	+6.537829E-11
173	+1.000023E-05	+1.000065E-05	+6.504523E-11
174	+1.000014E-05	+1.000064E-05	+6.473618E-11
175	+1.000152E-05	+1.000065E-05	+6.456131E-11
176	+1.000194E-05	+1.000065E-05	+6.461049E-11
177	+1.000158E-05	+1.000066E-05	+6.445439E-11
178	+9.999572E-06	+1.000065E-05	+6.438185E-11
179	+1.000099E-05	+1.000066E-05	+6.404827E-11
180	+1.000057E-05	+1.000066E-05	+6.369340E-11
181	+1.000085E-05	+1.000066E-05	+6.335001E-11
182	+1.000143E-05	+1.000066E-05	+6.314465E-11
183	+9.999728E-06	+1.000066E-05	+6.300535E-11
184	+1.000142E-05	+1.000066E-05	+6.279911E-11
185	+1.000066E-05	+1.000066E-05	+6.245873E-11
186	+1.000143E-05	+1.000066E-05	+6.226124E-11
187	+1.000069E-05	+1.000066E-05	+6.192757E-11
188	+1.000172E-05	+1.000067E-05	+6.185465E-11
189	+9.998703E-06	+1.000066E-05	+6.240069E-11
190	+1.000174E-05	+1.000066E-05	+6.233267E-11
191	+1.000045E-05	+1.000066E-05	+6.201532E-11
192	+9.999250E-06	+1.000066E-05	+6.212943E-11
193	+1.000156E-05	+1.000066E-05	+6.198518E-11
194	+1.000053E-05	+1.000066E-05	+6.166827E-11
195	+1.000106E-05	+1.000066E-05	+6.138561E-11
196	+1.000142E-05	+1.000067E-05	+6.119414E-11
197	+1.000015E-05	+1.000066E-05	+6.093915E-11
198	+1.000103E-05	+1.000067E-05	+6.065917E-11
199	+9.998970E-06	+1.000066E-05	+6.095217E-11
200	+1.000057E-05	+1.000066E-05	+6.064835E-11
201	+1.000041E-05	+1.000066E-05	+6.035873E-11
202	+1.000249E-05	+1.000066E-05	+6.074192E-11
203	+1.000053E-05	+1.000066E-05	+6.044566E-11
204	+1.000118E-05	+1.000067E-05	+6.020207E-11
205	+1.000165E-05	+1.000067E-05	+6.010046E-11
206	+1.000130E-05	+1.000067E-05	+5.988583E-11
207	+1.000225E-05	+1.000068E-05	+6.007845E-11
208	+1.000110E-05	+1.000068E-05	+5.982269E-11
209	+1.000085E-05	+1.000068E-05	+5.954115E-11
210	+1.000127E-05	+1.000069E-05	+5.932273E-11
211	+1.000061E-05	+1.000069E-05	+5.904217E-11
212	+9.999515E-06	+1.000068E-05	+5.902254E-11
213	+1.000168E-05	+1.000069E-05	+5.893196E-11
214	+1.000030E-05	+1.000068E-05	+5.868316E-11
