start date: 	2023-08-07
start time: 	15.11.08
stop date: 	2023-08-07
stop time: 	15.32.17
com rel. humid (%):	34.7
com temp (°C):	29.02
cn temp (°C):	31.19
nv temp (°C):	35.69
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs Yellow  set, B = 11.56 T (84.4 A), Psample = 6.2e-3 mbar
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1214
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-07_CCC\230807_001_1511.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-07_CCC\230807_001_1511_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	19.675921183
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.738100E-07	1	0	
+2.813460E-07	1	0	
+2.785620E-07	1	0	
+2.935380E-07	1	0	
+2.715720E-07	1	0	
+2.728140E-07	1	0	
+2.558940E-07	1	0	
+2.667360E-07	1	0	
+2.929140E-07	1	0	
+2.785800E-07	1	0	
+2.935800E-07	1	0	
+2.847840E-07	1	0	
+2.906580E-07	1	0	
+2.757780E-07	1	0	
+2.743920E-07	1	0	
+3.365880E-07	1	0	
+2.926140E-07	1	0	
+3.073860E-07	1	0	
+2.885340E-07	1	0	
+2.870220E-07	1	0	
+2.821200E-07	1	0	
+2.962980E-07	1	0	
+3.064140E-07	1	0	
+2.970300E-07	1	0	
+2.805300E-07	1	0	
+2.819820E-07	1	0	
+2.992020E-07	1	0	
+2.880900E-07	1	0	
-1.056162E-06	4	0	
-1.673772E-06	4	0	
-3.463920E-07	4	0	
+2.960640E-07	2	0	
+2.856960E-07	2	0	
+3.080760E-07	2	0	
+3.073380E-07	2	0	
+2.946300E-07	2	0	
+2.875980E-07	2	0	
+2.999100E-07	2	0	
+2.931120E-07	2	0	
+2.905020E-07	2	0	
+2.811120E-07	2	0	
+3.351720E-07	2	0	
+3.038280E-07	2	0	
+2.826360E-07	2	0	
+2.942520E-07	2	0	
+3.129240E-07	2	0	
+3.100860E-07	2	0	
+3.000420E-07	2	0	
+2.924100E-07	2	0	
+2.990520E-07	2	0	
+2.999340E-07	2	0	
+3.023340E-07	2	0	
+3.011640E-07	2	0	
+2.899740E-07	2	0	
+3.054300E-07	2	0	
+3.050100E-07	2	0	
+3.065880E-07	2	0	
+3.125040E-07	2	0	
+1.663620E-06	3	0	
+2.308296E-06	3	0	
+9.655380E-07	3	0	
+3.022200E-07	1	0	
+2.998200E-07	1	0	
+2.975880E-07	1	0	
+2.914560E-07	1	0	
+3.087660E-07	1	0	
+3.061260E-07	1	0	
+3.020100E-07	1	0	
+3.187080E-07	1	0	
+3.108840E-07	1	0	
+2.944860E-07	1	0	
+2.811180E-07	1	0	
+2.832240E-07	1	0	
+2.906100E-07	1	0	
+2.724420E-07	1	0	
+2.846460E-07	1	0	
+2.896620E-07	1	0	
+2.861520E-07	1	0	
+3.010680E-07	1	0	
+2.859900E-07	1	0	
+3.036060E-07	1	0	
+2.927160E-07	1	0	
+2.911440E-07	1	0	
+2.873400E-07	1	0	
+3.184740E-07	1	0	
+3.045600E-07	1	0	
+3.061560E-07	1	0	
+2.957280E-07	1	0	
-1.053432E-06	4	0	
-1.653906E-06	4	0	
-3.351300E-07	4	0	
+3.133500E-07	2	0	
+3.142980E-07	2	0	
+3.257640E-07	2	0	
+3.444420E-07	2	0	
+3.421560E-07	2	0	
+3.356220E-07	2	0	
+3.346140E-07	2	0	
+3.326640E-07	2	0	
+3.307680E-07	2	0	
+3.564600E-07	2	0	
+3.326940E-07	2	0	
+3.331080E-07	2	0	
+3.211200E-07	2	0	
+3.493440E-07	2	0	
+3.381360E-07	2	0	
+3.433500E-07	2	0	
+3.380880E-07	2	0	
+3.303240E-07	2	0	
+3.478440E-07	2	0	
+3.250020E-07	2	0	
+3.449040E-07	2	0	
+3.469740E-07	2	0	
+3.390720E-07	2	0	
+3.229920E-07	2	0	
+3.451140E-07	2	0	
+3.620820E-07	2	0	
+3.571380E-07	2	0	
+1.721946E-06	3	0	
+2.366232E-06	3	0	
+1.002438E-06	3	0	
+3.332640E-07	1	0	
+3.073440E-07	1	0	
+2.609040E-07	1	0	
+2.532240E-07	1	0	
+2.663760E-07	1	0	
+2.891280E-07	1	0	
+2.697000E-07	1	0	
+2.645340E-07	1	0	
+2.668980E-07	1	0	
+2.665500E-07	1	0	
+2.669640E-07	1	0	
+2.723700E-07	1	0	
+2.681400E-07	1	0	
+2.807700E-07	1	0	
+2.480520E-07	1	0	
+2.479140E-07	1	0	
+2.715180E-07	1	0	
+2.612340E-07	1	0	
+2.650680E-07	1	0	
+2.699340E-07	1	0	
+2.686560E-07	1	0	
+2.711400E-07	1	0	
+2.647560E-07	1	0	
+2.721900E-07	1	0	
+2.815920E-07	1	0	
+2.824200E-07	1	0	
+2.685840E-07	1	0	
-1.090014E-06	4	0	
-1.702338E-06	4	0	
-3.901980E-07	4	0	
+2.843040E-07	2	0	
+2.682060E-07	2	0	
+2.753640E-07	2	0	
+2.817420E-07	2	0	
+2.932260E-07	2	0	
+2.755620E-07	2	0	
+2.796420E-07	2	0	
+2.920200E-07	2	0	
+2.613780E-07	2	0	
+2.837040E-07	2	0	
+2.869260E-07	2	0	
+2.960700E-07	2	0	
+2.723580E-07	2	0	
+2.728920E-07	2	0	
+2.980920E-07	2	0	
+3.009660E-07	2	0	
+3.023820E-07	2	0	
+3.110520E-07	2	0	
+3.003840E-07	2	0	
+2.832180E-07	2	0	
+2.838840E-07	2	0	
+2.820120E-07	2	0	
+2.884740E-07	2	0	
+2.973420E-07	2	0	
+2.847720E-07	2	0	
+2.881860E-07	2	0	
+2.919180E-07	2	0	
+1.665510E-06	3	0	
+2.296386E-06	3	0	
+9.745500E-07	3	0	
+3.342300E-07	1	0	
+3.274440E-07	1	0	
+3.218040E-07	1	0	
+3.161460E-07	1	0	
+2.895660E-07	1	0	
+2.998860E-07	1	0	
+2.830920E-07	1	0	
+2.795040E-07	1	0	
+2.987100E-07	1	0	
+3.062280E-07	1	0	
+2.976120E-07	1	0	
+3.085680E-07	1	0	
+3.326820E-07	1	0	
+3.315540E-07	1	0	
+3.334260E-07	1	0	
+3.594540E-07	1	0	
+3.599820E-07	1	0	
+3.488580E-07	1	0	
+3.513360E-07	1	0	
+3.597840E-07	1	0	
+3.507840E-07	1	0	
+3.374460E-07	1	0	
+3.385980E-07	1	0	
+3.432180E-07	1	0	
+3.482520E-07	1	0	
+3.636720E-07	1	0	
+3.561000E-07	1	0	
-1.003218E-06	4	0	
-1.622664E-06	4	0	
-3.033720E-07	4	0	
+3.428160E-07	2	0	
+3.633240E-07	2	0	
+3.679020E-07	2	0	
+3.543660E-07	2	0	
+3.434400E-07	2	0	
+3.557100E-07	2	0	
+3.744540E-07	2	0	
+3.782100E-07	2	0	
+3.856440E-07	2	0	
+3.754320E-07	2	0	
+3.763740E-07	2	0	
+3.742260E-07	2	0	
+3.849540E-07	2	0	
+3.846900E-07	2	0	
+3.664080E-07	2	0	
+3.769380E-07	2	0	
+3.843540E-07	2	0	
+3.524880E-07	2	0	
+3.074100E-07	2	0	
+3.004020E-07	2	0	
+3.162600E-07	2	0	
+3.815100E-07	2	0	
+3.810240E-07	2	0	
+3.765720E-07	2	0	
+3.835260E-07	2	0	
+3.861300E-07	2	0	
+3.962400E-07	2	0	
+1.741530E-06	3	0	
+2.321412E-06	3	0	
+9.768960E-07	3	0	
+2.995920E-07	1	0	
+2.882640E-07	1	0	
+3.005340E-07	1	0	
+3.001200E-07	1	0	
+2.889540E-07	1	0	
+2.973120E-07	1	0	
+2.940960E-07	1	0	
+3.095400E-07	1	0	
+3.148860E-07	1	0	
+3.411480E-07	1	0	
+3.283080E-07	1	0	
+3.216780E-07	1	0	
+3.161940E-07	1	0	
+3.377400E-07	1	0	
+3.362400E-07	1	0	
+3.389820E-07	1	0	
+3.189540E-07	1	0	
+3.446640E-07	1	0	
+3.383820E-07	1	0	
+3.161880E-07	1	0	
+3.173340E-07	1	0	
+3.329580E-07	1	0	
+3.293460E-07	1	0	
+3.362940E-07	1	0	
+3.357720E-07	1	0	
+3.342180E-07	1	0	
+3.555900E-07	1	0	
-9.821940E-07	4	0	
-1.588788E-06	4	0	
-2.825460E-07	4	0	
+3.947820E-07	2	0	
+3.975300E-07	2	0	
+3.881820E-07	2	0	
+3.997080E-07	2	0	
+3.861600E-07	2	0	
+4.053960E-07	2	0	
+4.156200E-07	2	0	
+4.044000E-07	2	0	
+4.158240E-07	2	0	
+4.063380E-07	2	0	
+4.073400E-07	2	0	
+4.120620E-07	2	0	
+4.171020E-07	2	0	
+4.286460E-07	2	0	
+4.380000E-07	2	0	
+4.316580E-07	2	0	
+4.191540E-07	2	0	
+4.233180E-07	2	0	
+4.299660E-07	2	0	
+4.262520E-07	2	0	
+4.262700E-07	2	0	
+4.196160E-07	2	0	
+4.206540E-07	2	0	
+4.416900E-07	2	0	
+3.811320E-07	2	0	
+3.336000E-07	2	0	
+3.322440E-07	2	0	
+1.717614E-06	3	0	
+2.348340E-06	3	0	
+1.000290E-06	3	0	
+3.379500E-07	1	0	
+3.558180E-07	1	0	
+3.540360E-07	1	0	
+3.242160E-07	1	0	
+3.522360E-07	1	0	
+3.611400E-07	1	0	
+3.577680E-07	1	0	
+3.385020E-07	1	0	
+3.443820E-07	1	0	
+3.513360E-07	1	0	
+3.113160E-07	1	0	
+3.250200E-07	1	0	
+3.380040E-07	1	0	
+3.718140E-07	1	0	
+3.811800E-07	1	0	
+4.179060E-07	1	0	
+4.261260E-07	1	0	
+4.279980E-07	1	0	
+4.236000E-07	1	0	
+4.174200E-07	1	0	
+4.161960E-07	1	0	
+4.221780E-07	1	0	
+4.022460E-07	1	0	
+4.142760E-07	1	0	
+4.156140E-07	1	0	
+4.298700E-07	1	0	
+4.136100E-07	1	0	
-9.507240E-07	4	0	
-1.563402E-06	4	0	
-2.551920E-07	4	0	
+4.096440E-07	2	0	
+4.006740E-07	2	0	
+4.000560E-07	2	0	
+3.945240E-07	2	0	
+4.143180E-07	2	0	
+4.150860E-07	2	0	
+4.107000E-07	2	0	
+4.043340E-07	2	0	
+4.058400E-07	2	0	
+4.062120E-07	2	0	
+4.084320E-07	2	0	
+4.332060E-07	2	0	
+4.212900E-07	2	0	
+4.115220E-07	2	0	
+4.052160E-07	2	0	
+4.173720E-07	2	0	
