start date: 	2023-08-14
start time: 	18.56.59
stop date: 	2023-08-14
stop time: 	19.18.07
com rel. humid (%):	34.0
com temp (°C):	29.25
cn temp (°C):	31.25
nv temp (°C):	35.50
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Red, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.0 - 4.0e-3 mbar, using 4G power supply
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1215
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-14_CCC\230814_006_1856.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-14_CCC\230814_006_1856_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	24.444292765
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.212860E-07	1	0	
+2.205060E-07	1	0	
+2.150520E-07	1	0	
+2.130180E-07	1	0	
+2.284680E-07	1	0	
+2.259540E-07	1	0	
+2.158500E-07	1	0	
+2.172360E-07	1	0	
+2.077500E-07	1	0	
+2.300340E-07	1	0	
+2.192040E-07	1	0	
+2.233380E-07	1	0	
+2.180520E-07	1	0	
+2.272140E-07	1	0	
+2.093460E-07	1	0	
+2.355180E-07	1	0	
+2.301900E-07	1	0	
+2.304240E-07	1	0	
+2.312160E-07	1	0	
+2.420880E-07	1	0	
+2.220840E-07	1	0	
+2.293440E-07	1	0	
+2.200140E-07	1	0	
+2.358480E-07	1	0	
+2.300400E-07	1	0	
+2.366280E-07	1	0	
+2.302380E-07	1	0	
+2.371140E-07	1	0	
+1.096134E-06	4	0	
+1.466640E-06	4	0	
+6.269880E-07	4	0	
+2.332680E-07	2	0	
+2.231700E-07	2	0	
+2.363160E-07	2	0	
+2.279160E-07	2	0	
+2.265060E-07	2	0	
+2.260980E-07	2	0	
+2.295180E-07	2	0	
+2.278380E-07	2	0	
+2.309940E-07	2	0	
+2.322540E-07	2	0	
+2.243400E-07	2	0	
+2.221260E-07	2	0	
+2.289360E-07	2	0	
+2.186940E-07	2	0	
+2.247120E-07	2	0	
+2.265780E-07	2	0	
+2.261460E-07	2	0	
+2.131080E-07	2	0	
+2.168100E-07	2	0	
+2.196780E-07	2	0	
+2.132520E-07	2	0	
+2.141760E-07	2	0	
+2.279160E-07	2	0	
+2.253180E-07	2	0	
+2.126580E-07	2	0	
+2.289600E-07	2	0	
+2.233260E-07	2	0	
-6.450900E-07	3	0	
-1.024668E-06	3	0	
-1.910640E-07	3	0	
+2.165940E-07	1	0	
+2.070240E-07	1	0	
+2.213760E-07	1	0	
+2.144280E-07	1	0	
+2.206860E-07	1	0	
+2.106300E-07	1	0	
+2.194020E-07	1	0	
+1.977180E-07	1	0	
+1.990560E-07	1	0	
+2.055120E-07	1	0	
+2.077620E-07	1	0	
+2.078520E-07	1	0	
+1.986960E-07	1	0	
+1.938660E-07	1	0	
+2.023140E-07	1	0	
+2.099340E-07	1	0	
+1.985940E-07	1	0	
+2.163900E-07	1	0	
