start date: 	2023-08-14
start time: 	20.01.42
stop date: 	2023-08-14
stop time: 	20.22.51
com rel. humid (%):	33.9
com temp (°C):	29.26
cn temp (°C):	31.25
nv temp (°C):	35.44
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Red, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.0 - 4.0e-3 mbar, using 4G power supply
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	1206
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-14_CCC\230814_008_2001.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-14_CCC\230814_008_2001_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	26.59578202
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+3.100980E-07	1	0	
+3.081540E-07	1	0	
+3.134640E-07	1	0	
+2.978160E-07	1	0	
+3.164700E-07	1	0	
+3.211020E-07	1	0	
+3.023940E-07	1	0	
+3.114540E-07	1	0	
+3.087300E-07	1	0	
+3.039660E-07	1	0	
+3.010740E-07	1	0	
+3.047700E-07	1	0	
+2.935980E-07	1	0	
+2.978040E-07	1	0	
+3.141180E-07	1	0	
+3.059940E-07	1	0	
+3.087360E-07	1	0	
+3.029460E-07	1	0	
+3.074400E-07	1	0	
+2.971260E-07	1	0	
+3.136620E-07	1	0	
+2.890320E-07	1	0	
+3.168840E-07	1	0	
+3.009480E-07	1	0	
+3.070380E-07	1	0	
+3.128160E-07	1	0	
+3.088260E-07	1	0	
+3.124380E-07	1	0	
+1.179270E-06	4	0	
+1.552578E-06	4	0	
+7.206240E-07	4	0	
+3.080580E-07	2	0	
+3.215940E-07	2	0	
+3.332460E-07	2	0	
+3.133800E-07	2	0	
+3.222780E-07	2	0	
+3.195480E-07	2	0	
+3.173520E-07	2	0	
+3.364980E-07	2	0	
+3.079740E-07	2	0	
+3.128160E-07	2	0	
+3.207660E-07	2	0	
+3.241380E-07	2	0	
+3.193440E-07	2	0	
+3.211980E-07	2	0	
+3.235800E-07	2	0	
+3.163680E-07	2	0	
+3.177660E-07	2	0	
+3.192480E-07	2	0	
+3.222780E-07	2	0	
+3.144240E-07	2	0	
+3.061800E-07	2	0	
+3.150120E-07	2	0	
+3.210420E-07	2	0	
+3.268680E-07	2	0	
+3.056340E-07	2	0	
+3.118260E-07	2	0	
+3.065400E-07	2	0	
-5.453880E-07	3	0	
-9.418860E-07	3	0	
-9.869400E-08	3	0	
+3.083100E-07	1	0	
+3.004860E-07	1	0	
+3.058620E-07	1	0	
+3.101880E-07	1	0	
+3.055740E-07	1	0	
+2.987220E-07	1	0	
+3.075900E-07	1	0	
+3.124080E-07	1	0	
+2.958600E-07	1	0	
+3.003960E-07	1	0	
+3.016140E-07	1	0	
+3.056220E-07	1	0	
+3.112440E-07	1	0	
+3.102540E-07	1	0	
+2.993520E-07	1	0	
+3.040560E-07	1	0	
+3.076140E-07	1	0	
+2.980380E-07	1	0	
+2.947200E-07	1	0	
+2.907540E-07	1	0	
+2.912940E-07	1	0	
+2.994720E-07	1	0	
+2.948460E-07	1	0	
