start date: 	2023-08-14
start time: 	14.40.11
stop date: 	2023-08-14
stop time: 	15.01.20
com rel. humid (%):	33.8
com temp (°C):	29.08
cn temp (°C):	31.12
nv temp (°C):	35.31
bvd averages: 	     20
remarks: 	CCC probe connected to GaAs probe, GaAs 8 V+=Red, V-=Wht, I+=Wht, I-=Blk, B = 11.56 T (84.4 A), Psample = 3.0 - 4.0e-3 mbar, using 4G power supply
R1 Info: 	NIST-QHRGaAs13k-8
R2 Info: 	F005A
data filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-14_CCC\230814_002_1440.txt
config filepath: 	M:\MagniconData\CCCViewerData\cccviewer_measure\2023-08-14_CCC\230814_002_1440_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	26.084612589
delta (I2*R2) (V): 	1.000030519
N1 (Turns):	2065
N2 (Turns):	16
NA (Turns):	1
R1 (Ohm): 	12906.404000
R2 (Ohm): 	100.000000

data(V)	phase	error
+2.242140E-07	1	0	
+2.224140E-07	1	0	
+2.279460E-07	1	0	
+2.119440E-07	1	0	
+2.180040E-07	1	0	
+2.251680E-07	1	0	
+2.344260E-07	1	0	
+2.265180E-07	1	0	
+2.242560E-07	1	0	
+2.267580E-07	1	0	
+2.375160E-07	1	0	
+2.364900E-07	1	0	
+2.354880E-07	1	0	
+2.364540E-07	1	0	
+2.328120E-07	1	0	
+2.267520E-07	1	0	
+2.254140E-07	1	0	
+2.213160E-07	1	0	
+2.261040E-07	1	0	
+2.240580E-07	1	0	
+2.202600E-07	1	0	
+2.129700E-07	1	0	
+2.068140E-07	1	0	
+2.055180E-07	1	0	
+2.127360E-07	1	0	
+2.107380E-07	1	0	
+2.057100E-07	1	0	
+2.031000E-07	1	0	
+1.015746E-06	4	0	
+1.378002E-06	4	0	
+5.867820E-07	4	0	
+2.091840E-07	2	0	
+2.063520E-07	2	0	
+2.028300E-07	2	0	
+1.875720E-07	2	0	
+1.886280E-07	2	0	
+1.908120E-07	2	0	
+1.888320E-07	2	0	
+1.988940E-07	2	0	
+1.944480E-07	2	0	
+1.863300E-07	2	0	
+1.972440E-07	2	0	
+1.909140E-07	2	0	
+1.913760E-07	2	0	
+2.095320E-07	2	0	
+2.026320E-07	2	0	
+2.056200E-07	2	0	
+2.052360E-07	2	0	
+2.027700E-07	2	0	
+2.147160E-07	2	0	
+2.245500E-07	2	0	
+2.089980E-07	2	0	
+2.177520E-07	2	0	
+2.176620E-07	2	0	
+2.152320E-07	2	0	
+2.097600E-07	2	0	
+2.140620E-07	2	0	
+2.043420E-07	2	0	
-6.068040E-07	3	0	
-9.575760E-07	3	0	
-1.816680E-07	3	0	
+2.184840E-07	1	0	
+2.052420E-07	1	0	
+2.104260E-07	1	0	
+2.166120E-07	1	0	
+2.053800E-07	1	0	
+2.250720E-07	1	0	
+2.185020E-07	1	0	
+2.114220E-07	1	0	
+2.134620E-07	1	0	
+2.127120E-07	1	0	
+2.153220E-07	1	0	
+2.172300E-07	1	0	
+2.093100E-07	1	0	
+2.130240E-07	1	0	
+2.153820E-07	1	0	
+2.188440E-07	1	0	
+2.110560E-07	1	0	
+2.117820E-07	1	0	
+2.090940E-07	1	0	
+2.077140E-07	1	0	
+2.254740E-07	1	0	
+2.154120E-07	1	0	
+2.087220E-07	1	0	
+2.064660E-07	1	0	
+2.144640E-07	1	0	
+2.207940E-07	1	0	
+2.174160E-07	1	0	
+1.026000E-06	4	0	
+1.386072E-06	4	0	
+6.042060E-07	4	0	
+2.176320E-07	2	0	
+2.207040E-07	2	0	
+2.203980E-07	2	0	
+2.274840E-07	2	0	
+2.275620E-07	2	0	
+2.417520E-07	2	0	
+2.331300E-07	2	0	
+2.275020E-07	2	0	
+2.381100E-07	2	0	
+2.431380E-07	2	0	
+2.350920E-07	2	0	
+2.326560E-07	2	0	
+2.359500E-07	2	0	
+2.340960E-07	2	0	
+2.404020E-07	2	0	
+2.485500E-07	2	0	
+2.418720E-07	2	0	
+2.479080E-07	2	0	
+2.485440E-07	2	0	
+2.469240E-07	2	0	
+2.406420E-07	2	0	
+2.425140E-07	2	0	
+2.445000E-07	2	0	
+2.478180E-07	2	0	
+2.559540E-07	2	0	
+2.492340E-07	2	0	
+2.371440E-07	2	0	
-5.563380E-07	3	0	
-9.154680E-07	3	0	
-1.268100E-07	3	0	
+2.463960E-07	1	0	
+2.498040E-07	1	0	
+2.607480E-07	1	0	
+2.632320E-07	1	0	
+2.530740E-07	1	0	
+2.654340E-07	1	0	
+2.523900E-07	1	0	
+2.557020E-07	1	0	
+2.526120E-07	1	0	
+2.402460E-07	1	0	
+2.470620E-07	1	0	
+2.420220E-07	1	0	
+2.485140E-07	1	0	
+2.370120E-07	1	0	
+2.409780E-07	1	0	
+2.570580E-07	1	0	
+2.436960E-07	1	0	
+2.481060E-07	1	0	
+2.294580E-07	1	0	
+2.315700E-07	1	0	
+2.359200E-07	1	0	
+2.134020E-07	1	0	
+2.338440E-07	1	0	
+2.225820E-07	1	0	
+2.243100E-07	1	0	
+2.262420E-07	1	0	
+2.226480E-07	1	0	
+1.037232E-06	4	0	
+1.383852E-06	4	0	
+5.971560E-07	4	0	
+2.190360E-07	2	0	
+2.229960E-07	2	0	
+2.194920E-07	2	0	
+2.068140E-07	2	0	
+2.183100E-07	2	0	
+2.244780E-07	2	0	
+2.203800E-07	2	0	
+2.337120E-07	2	0	
+2.285460E-07	2	0	
+2.340780E-07	2	0	
+2.430180E-07	2	0	
+2.308200E-07	2	0	
+2.323800E-07	2	0	
+2.251080E-07	2	0	
+2.345760E-07	2	0	
+2.386020E-07	2	0	
+2.433060E-07	2	0	
+2.426580E-07	2	0	
+2.339280E-07	2	0	
+2.373780E-07	2	0	
+2.350320E-07	2	0	
+2.431380E-07	2	0	
+2.402400E-07	2	0	
+2.234160E-07	2	0	
+2.409300E-07	2	0	
+2.310780E-07	2	0	
+2.345160E-07	2	0	
-5.754120E-07	3	0	
-9.432000E-07	3	0	
-1.566660E-07	3	0	
+2.200500E-07	1	0	
+2.291280E-07	1	0	
+2.187360E-07	1	0	
+2.202960E-07	1	0	
+2.252100E-07	1	0	
+2.200080E-07	1	0	
+2.311980E-07	1	0	
+2.185260E-07	1	0	
+2.192040E-07	1	0	
+2.309220E-07	1	0	
+2.289780E-07	1	0	
+2.332380E-07	1	0	
+2.274060E-07	1	0	
+2.373420E-07	1	0	
+2.350140E-07	1	0	
