start date: 	2024-03-15
start time: 	13.54.52
stop date: 	2024-03-17
stop time: 	13.55.53
com rel. humid (%):	33.4
com temp (°C):	27.67
cn temp (°C):	31.59
nv temp (°C):	33.53
bvd averages: 	   2880
remarks: 	chopper voltage noise
R1 Info: 	0
R2 Info: 	0
data filepath: 	W:\68internal\Calibrations\MDSS Data\resist\MagniconData\CCCViewerData\CCC2019-01_Data\2024-03-15_CCC\240315_001_1354.txt
config filepath: 	W:\68internal\Calibrations\MDSS Data\resist\MagniconData\CCCViewerData\CCC2019-01_Data\2024-03-15_CCC\240315_001_1354_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	60
number of samples per half cycle: 	30
ignored first samples: 	14
ignored last samples: 	0
amplifier gain: 	1000000
delta N1/NA (mTurns): 	-0.000000000
delta (I2*R2) (V): 	-0.000000000
N1 (Turns):	0
N2 (Turns):	0
NA (Turns):	0
R1 (Ohm): 	0.000000
R2 (Ohm): 	0.000000

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	+7.029750E-09	+7.029750E-09	+Inf0
2	+2.979375E-09	+5.004562E-09	+2.025187E-09
3	-7.695000E-09	+7.713750E-10	+4.391697E-09
4	-3.797625E-09	-3.708750E-10	+3.308812E-09
5	-2.358750E-10	-3.438750E-10	+2.563137E-09
6	-2.616375E-09	-7.226250E-10	+2.126789E-09
7	+4.166250E-10	-5.598750E-10	+1.804818E-09
8	+4.144500E-09	+2.817187E-11	+1.669978E-09
9	+1.707750E-09	+2.147917E-10	+1.484558E-09
10	-5.667000E-09	-3.733875E-10	+1.452269E-09
11	-3.307875E-09	-6.401591E-10	+1.340441E-09
12	-4.179000E-09	-9.350625E-10	+1.258684E-09
13	+8.508750E-10	-7.976827E-10	+1.165943E-09
14	-5.995500E-09	-1.168955E-09	+1.141518E-09
15	+2.436375E-09	-9.286000E-10	+1.089538E-09
16	+6.528375E-09	-4.625391E-10	+1.120678E-09
17	+1.522500E-10	-4.263750E-10	+1.053314E-09
18	-4.383750E-09	-6.462292E-10	+1.017120E-09
19	+4.031250E-10	-5.910000E-10	+9.636829E-10
20	+2.958750E-09	-4.135125E-10	+9.312991E-10
21	+3.744375E-09	-2.155179E-10	+9.076994E-10
22	-2.380500E-09	-3.139261E-10	+8.710343E-10
23	-4.686375E-09	-5.040326E-10	+8.537372E-10
24	+4.466250E-10	-4.644219E-10	+8.183503E-10
25	+1.263750E-10	-4.407900E-10	+7.852897E-10
26	+7.561875E-09	-1.329952E-10	+8.148501E-10
27	+1.975125E-09	-5.491667E-11	+7.879678E-10
28	-3.431250E-10	-6.520982E-11	+7.593745E-10
29	+3.667875E-09	+6.351724E-11	+7.439431E-10
30	-1.737750E-09	+3.475000E-12	+7.212210E-10
31	-8.787000E-09	-2.800887E-10	+7.530002E-10
32	-2.135250E-09	-3.380625E-10	+7.313906E-10
33	-4.013625E-09	-4.494432E-10	+7.175777E-10
34	-1.725375E-09	-4.869706E-10	+6.971634E-10
35	-3.603000E-09	-5.760000E-10	+6.827807E-10
36	-1.123500E-09	-5.912083E-10	+6.637178E-10
37	-8.460000E-09	-8.038784E-10	+6.796602E-10
38	+5.206875E-09	-6.457007E-10	+6.801806E-10
39	+4.720500E-09	-5.081058E-10	+6.766480E-10
40	+1.547625E-09	-4.567125E-10	+6.615143E-10
41	+3.547125E-09	-3.590579E-10	+6.525268E-10
42	-1.026375E-09	-3.749464E-10	+6.369991E-10
43	+8.333250E-09	-1.724302E-10	+6.541466E-10
44	+3.223125E-09	-9.525852E-11	+6.437491E-10
45	+4.841250E-10	-8.238333E-11	+6.294127E-10
46	-2.491875E-09	-1.347636E-10	+6.178023E-10
47	-2.233125E-09	-1.794096E-10	+6.061610E-10
48	+1.081125E-09	-1.531484E-10	+5.939791E-10
49	-3.529125E-09	-2.220459E-10	+5.857966E-10
50	-1.408500E-09	-2.457750E-10	+5.744514E-10
51	+1.310250E-09	-2.152647E-10	+5.639010E-10
52	-1.796625E-09	-2.456755E-10	+5.537860E-10
53	-1.387875E-09	-2.672264E-10	+5.436641E-10
54	-6.642000E-09	-3.852778E-10	+5.464061E-10
55	+7.249125E-09	-2.464705E-10	+5.540491E-10
56	+3.525000E-09	-1.791228E-10	+5.482179E-10
57	+4.797750E-09	-9.180921E-11	+5.455467E-10
58	-4.518375E-09	-1.681293E-10	+5.414639E-10
59	-3.288750E-10	-1.708538E-10	+5.322144E-10
60	+7.136250E-10	-1.561125E-10	+5.234766E-10
61	+6.963750E-10	-1.421373E-10	+5.150131E-10
