start date: 	2016-02-23						
start time: 	12.09.32						
stop date: 	2016-02-23						
stop time: 	12.19.44						
com rel. humid (%):	28.4						
com temp (°C):	26.30						
cn temp (°C):	27.41						
nv temp (°C):	31.47						
remarks: 							
R1 Info: 	SP036(1.290635851E+4)						
R2 Info: 	1445(1.000000000E+4)						
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-23_CCC\160223_008_1209.txt						
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-23_CCC\160223_008_1209_cccdrive.cfg						
setup_file_path	C:\MagniconData\SQUIDViewerData\Saved Setups\Newest.stp						
time base (Hz): 	60						
integration time (time base multiples):	3						
number of samples per half cycle: 	100						
ignored first samples: 	50						
ignored last samples: 	0						
amplifier gain: 	10000						
delta N1/NA (mTurns): 	-48.339843750						
delta (I2*R2) (V): 	3.0001						
							
N1:	2065						
N2:	1600						

							
Mode:	FLL						
Rf Amp::	OFF						
Amp Gain:	PLUS						
Rf FLL:	11.0 kOhm						
SQUID Gain:	NEG						
I1 Range:	300uA						
I1 Amplitude:	116.220588E-6						
feedin Polarity:	POS						
I1 SQUID feedIn (ON/OFF):	OFF						
I1 SQUID feedin:	-37.0dB						
I2 Range:	300uA						
I2 Amplitude:	150.004578E-6						
I2 SQUID feedIn (ON/OFF):	ON						
I2 SQUID feedin:	-52.0dB						
Screen (+):	OFF						
Screen (-):	OFF						
Screen Amplitude:	499.998592E-3						

							
Results							
Standard Pressure Correction:	NO						
Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)				
31.7517	0.0071	1.000031751E+4					

							
#points	bvd(V)	bvdmean(V)	stddrtN-1(V)	Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)

							
1	1.857600E-7	1.857600E-7	NaN	3.175548E+1	3.175548E+1	NaN	1.000031755E+4
2	1.850400E-7	1.854000E-7	5.091169E-10	3.175572E+1	3.175560E+1	1.697054E-4	1.000031756E+4
3	2.373600E-7	2.027200E-7	3.000128E-8	3.173828E+1	3.174983E+1	1.000041E-2	1.000031750E+4
4	1.898400E-7	1.995000E-7	2.532834E-8	3.175412E+1	3.175090E+1	8.442766E-3	1.000031751E+4
5	1.759200E-7	1.947840E-7	2.433818E-8	3.175876E+1	3.175247E+1	8.112712E-3	1.000031752E+4
6	1.989600E-7	1.954800E-7	2.183538E-8	3.175108E+1	3.175224E+1	7.278449E-3	1.000031752E+4
7	2.294400E-7	2.003314E-7	2.370811E-8	3.174092E+1	3.175063E+1	7.902691E-3	1.000031751E+4
8	1.749600E-7	1.971600E-7	2.371164E-8	3.175908E+1	3.175168E+1	7.903867E-3	1.000031752E+4
9	2.025600E-7	1.977600E-7	2.225313E-8	3.174988E+1	3.175148E+1	7.417696E-3	1.000031751E+4
10	2.049600E-7	1.984800E-7	2.110363E-8	3.174908E+1	3.175124E+1	7.034532E-3	1.000031751E+4
11	1.953600E-7	1.981964E-7	2.004275E-8	3.175228E+1	3.175134E+1	6.680906E-3	1.000031751E+4
12	1.900800E-7	1.975200E-7	1.925311E-8	3.175404E+1	3.175156E+1	6.417692E-3	1.000031752E+4
13	1.528800E-7	1.940862E-7	2.220538E-8	3.176644E+1	3.175271E+1	7.401781E-3	1.000031753E+4
14	1.572000E-7	1.914514E-7	2.350180E-8	3.176500E+1	3.175359E+1	7.833921E-3	1.000031754E+4
15	2.419200E-7	1.948160E-7	2.612828E-8	3.173676E+1	3.175246E+1	8.709414E-3	1.000031752E+4
16	1.764000E-7	1.936650E-7	2.565875E-8	3.175860E+1	3.175285E+1	8.552904E-3	1.000031753E+4
17	1.636800E-7	1.919012E-7	2.588651E-8	3.176284E+1	3.175344E+1	8.628824E-3	1.000031753E+4
18	1.896000E-7	1.917733E-7	2.511946E-8	3.175420E+1	3.175348E+1	8.373141E-3	1.000031753E+4
19	2.054400E-7	1.924926E-7	2.461225E-8	3.174892E+1	3.175324E+1	8.204071E-3	1.000031753E+4
20	1.996800E-7	1.928520E-7	2.400966E-8	3.175084E+1	3.175312E+1	8.003206E-3	1.000031753E+4
21	2.284800E-7	1.945486E-7	2.465940E-8	3.174124E+1	3.175255E+1	8.219786E-3	1.000031753E+4
22	2.114400E-7	1.953164E-7	2.433308E-8	3.174692E+1	3.175230E+1	8.111012E-3	1.000031752E+4
23	2.191200E-7	1.963513E-7	2.428622E-8	3.174436E+1	3.175195E+1	8.095393E-3	1.000031752E+4
24	1.929600E-7	1.962100E-7	2.376247E-8	3.175308E+1	3.175200E+1	7.920812E-3	1.000031752E+4
25	2.359200E-7	1.977984E-7	2.458055E-8	3.173876E+1	3.175147E+1	8.193502E-3	1.000031751E+4
26	1.989600E-7	1.978431E-7	2.408500E-8	3.175108E+1	3.175145E+1	8.028319E-3	1.000031751E+4
27	1.975200E-7	1.978311E-7	2.361736E-8	3.175156E+1	3.175146E+1	7.872442E-3	1.000031751E+4
28	2.203200E-7	1.986343E-7	2.356234E-8	3.174396E+1	3.175119E+1	7.854100E-3	1.000031751E+4
29	1.663200E-7	1.975200E-7	2.390320E-8	3.176196E+1	3.175156E+1	7.967722E-3	1.000031752E+4
30	2.018400E-7	1.976640E-7	2.350070E-8	3.175012E+1	3.175151E+1	7.833555E-3	1.000031752E+4
31	2.056800E-7	1.979226E-7	2.315052E-8	3.174884E+1	3.175143E+1	7.716826E-3	1.000031751E+4
32	1.946400E-7	1.978200E-7	2.278145E-8	3.175252E+1	3.175146E+1	7.593805E-3	1.000031751E+4
33	1.802400E-7	1.972873E-7	2.263054E-8	3.175732E+1	3.175164E+1	7.543501E-3	1.000031752E+4
34	1.951200E-7	1.972235E-7	2.228811E-8	3.175236E+1	3.175166E+1	7.429359E-3	1.000031752E+4
35	2.109600E-7	1.976160E-7	2.208032E-8	3.174708E+1	3.175153E+1	7.360095E-3	1.000031752E+4
36	2.335200E-7	1.986133E-7	2.257032E-8	3.173956E+1	3.175120E+1	7.523426E-3	1.000031751E+4
37	1.862400E-7	1.982789E-7	2.234740E-8	3.175532E+1	3.175131E+1	7.449122E-3	1.000031751E+4
38	1.857600E-7	1.979495E-7	2.213670E-8	3.175548E+1	3.175142E+1	7.378886E-3	1.000031751E+4
39	2.006400E-7	1.980185E-7	2.184773E-8	3.175052E+1	3.175140E+1	7.282564E-3	1.000031751E+4
40	2.107200E-7	1.983360E-7	2.165912E-8	3.174716E+1	3.175129E+1	7.219694E-3	1.000031751E+4
41	1.857600E-7	1.980293E-7	2.147666E-8	3.175548E+1	3.175139E+1	7.158875E-3	1.000031751E+4
42	1.675200E-7	1.973029E-7	2.172923E-8	3.176156E+1	3.175163E+1	7.243064E-3	1.000031752E+4
43	2.102400E-7	1.976037E-7	2.155945E-8	3.174732E+1	3.175153E+1	7.186470E-3	1.000031752E+4
44	2.061600E-7	1.977982E-7	2.134629E-8	3.174868E+1	3.175147E+1	7.115418E-3	1.000031751E+4
45	2.013600E-7	1.978773E-7	2.110900E-8	3.175028E+1	3.175144E+1	7.036323E-3	1.000031751E+4
46	2.124000E-7	1.981930E-7	2.098268E-8	3.174660E+1	3.175134E+1	6.994216E-3	1.000031751E+4
47	2.246400E-7	1.987557E-7	2.110885E-8	3.174252E+1	3.175115E+1	7.036272E-3	1.000031751E+4
48	1.308000E-7	1.973400E-7	2.307187E-8	3.177380E+1	3.175162E+1	7.690609E-3	1.000031752E+4
49	2.164800E-7	1.977306E-7	2.299342E-8	3.174524E+1	3.175149E+1	7.664462E-3	1.000031751E+4
50	2.143200E-7	1.980624E-7	2.287820E-8	3.174596E+1	3.175138E+1	7.626053E-3	1.000031751E+4
51	2.071200E-7	1.982400E-7	2.268375E-8	3.174836E+1	3.175132E+1	7.561236E-3	1.000031751E+4
52	2.018400E-7	1.983092E-7	2.246580E-8	3.175012E+1	3.175130E+1	7.488589E-3	1.000031751E+4
53	1.783200E-7	1.979321E-7	2.241752E-8	3.175796E+1	3.175143E+1	7.472495E-3	1.000031751E+4
54	1.797600E-7	1.975956E-7	2.234231E-8	3.175748E+1	3.175154E+1	7.447423E-3	1.000031752E+4
55	1.977600E-7	1.975985E-7	2.213448E-8	3.175148E+1	3.175154E+1	7.378147E-3	1.000031752E+4
56	1.975200E-7	1.975971E-7	2.193233E-8	3.175156E+1	3.175154E+1	7.310766E-3	1.000031752E+4
57	1.800000E-7	1.972884E-7	2.186024E-8	3.175740E+1	3.175164E+1	7.286735E-3	1.000031752E+4
58	1.960800E-7	1.972676E-7	2.166822E-8	3.175204E+1	3.175165E+1	7.222727E-3	1.000031752E+4
59	1.888800E-7	1.971254E-7	2.150835E-8	3.175444E+1	3.175169E+1	7.169437E-3	1.000031752E+4
60	2.001600E-7	1.971760E-7	2.132889E-8	3.175068E+1	3.175168E+1	7.109619E-3	1.000031752E+4
