start date: 	2016-02-23						
start time: 	11.41.04						
stop date: 	2016-02-23						
stop time: 	11.51.17						
com rel. humid (%):	28.2						
com temp (°C):	26.34						
cn temp (°C):	27.56						
nv temp (°C):	31.62						
remarks: 							
R1 Info: 	SP036(1.290635851E+4)						
R2 Info: 	1445(1.000000000E+4)						
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-23_CCC\160223_007_1141.txt						
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-23_CCC\160223_007_1141_cccdrive.cfg						
setup_file_path	C:\MagniconData\SQUIDViewerData\Saved Setups\Newest.stp						
time base (Hz): 	60						
integration time (time base multiples):	3						
number of samples per half cycle: 	100						
ignored first samples: 	50						
ignored last samples: 	0						
amplifier gain: 	10000						
delta N1/NA (mTurns): 	-48.339843750						
delta (I2*R2) (V): 	3.0001						
							
N1:	2065						
N2:	1600						

							
Mode:	FLL						
Rf Amp::	OFF						
Amp Gain:	PLUS						
Rf FLL:	11.0 kOhm						
SQUID Gain:	NEG						
I1 Range:	300uA						
I1 Amplitude:	116.220588E-6						
feedin Polarity:	POS						
I1 SQUID feedIn (ON/OFF):	OFF						
I1 SQUID feedin:	-37.0dB						
I2 Range:	300uA						
I2 Amplitude:	150.004578E-6						
I2 SQUID feedIn (ON/OFF):	ON						
I2 SQUID feedin:	-52.0dB						
Screen (+):	OFF						
Screen (-):	OFF						
Screen Amplitude:	499.998592E-3						

							
Results							
Standard Pressure Correction:	NO						
Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)				
31.7513	0.0070	1.000031775E+4					

							
#points	bvd(V)	bvdmean(V)	stddrtN-1(V)	Res(ppm)	Ave Res(ppm)	stddrtN-1(ppm)	resistance(ohm)

							
1	2.131200E-7	2.131200E-7	NaN	3.174636E+1	3.174636E+1	NaN	1.000031746E+4
2	1.929600E-7	2.030400E-7	1.425527E-8	3.175308E+1	3.174972E+1	4.751750E-3	1.000031750E+4
3	2.066400E-7	2.042400E-7	1.029206E-8	3.174852E+1	3.174932E+1	3.430679E-3	1.000031749E+4
4	1.881600E-7	2.002200E-7	1.163010E-8	3.175468E+1	3.175066E+1	3.876693E-3	1.000031751E+4
5	1.980000E-7	1.997760E-7	1.012077E-8	3.175140E+1	3.175081E+1	3.373586E-3	1.000031751E+4
6	1.677600E-7	1.944400E-7	1.589910E-8	3.176148E+1	3.175259E+1	5.299692E-3	1.000031753E+4
7	1.852800E-7	1.931314E-7	1.492105E-8	3.175564E+1	3.175302E+1	4.973675E-3	1.000031753E+4
8	2.395200E-7	1.989300E-7	2.144341E-8	3.173756E+1	3.175109E+1	7.147791E-3	1.000031751E+4
9	1.735200E-7	1.961067E-7	2.177345E-8	3.175956E+1	3.175203E+1	7.257805E-3	1.000031752E+4
10	1.917600E-7	1.956720E-7	2.057417E-8	3.175348E+1	3.175217E+1	6.858047E-3	1.000031752E+4
11	2.066400E-7	1.966691E-7	1.979654E-8	3.174852E+1	3.175184E+1	6.598836E-3	1.000031752E+4
12	2.198400E-7	1.986000E-7	2.002539E-8	3.174412E+1	3.175120E+1	6.675121E-3	1.000031751E+4
13	1.946400E-7	1.982954E-7	1.920429E-8	3.175252E+1	3.175130E+1	6.401419E-3	1.000031751E+4
14	2.044800E-7	1.987371E-7	1.852477E-8	3.174924E+1	3.175115E+1	6.174914E-3	1.000031751E+4
15	1.939200E-7	1.984160E-7	1.789420E-8	3.175276E+1	3.175126E+1	5.964722E-3	1.000031751E+4
16	2.102400E-7	1.991550E-7	1.753834E-8	3.174732E+1	3.175101E+1	5.846104E-3	1.000031751E+4
17	1.778400E-7	1.979012E-7	1.775089E-8	3.175812E+1	3.175143E+1	5.916953E-3	1.000031751E+4
18	1.759200E-7	1.966800E-7	1.798338E-8	3.175876E+1	3.175184E+1	5.994450E-3	1.000031752E+4
19	1.771200E-7	1.956505E-7	1.804361E-8	3.175836E+1	3.175218E+1	6.014525E-3	1.000031752E+4
20	1.778400E-7	1.947600E-7	1.800825E-8	3.175812E+1	3.175248E+1	6.002740E-3	1.000031752E+4
21	1.754400E-7	1.938400E-7	1.805150E-8	3.175892E+1	3.175279E+1	6.017157E-3	1.000031753E+4
22	1.800000E-7	1.932109E-7	1.786187E-8	3.175740E+1	3.175300E+1	5.953946E-3	1.000031753E+4
23	1.747200E-7	1.924070E-7	1.787204E-8	3.175916E+1	3.175326E+1	5.957338E-3	1.000031753E+4
24	2.116800E-7	1.932100E-7	1.791646E-8	3.174684E+1	3.175300E+1	5.972145E-3	1.000031753E+4
25	1.831200E-7	1.928064E-7	1.765494E-8	3.175636E+1	3.175313E+1	5.884971E-3	1.000031753E+4
26	1.960800E-7	1.929323E-7	1.731015E-8	3.175204E+1	3.175309E+1	5.770041E-3	1.000031753E+4
27	2.272800E-7	1.942044E-7	1.821570E-8	3.174164E+1	3.175266E+1	6.071889E-3	1.000031753E+4
28	1.869600E-7	1.939457E-7	1.792754E-8	3.175508E+1	3.175275E+1	5.975836E-3	1.000031753E+4
29	1.989600E-7	1.941186E-7	1.762910E-8	3.175108E+1	3.175269E+1	5.876357E-3	1.000031753E+4
30	2.040000E-7	1.944480E-7	1.741618E-8	3.174940E+1	3.175258E+1	5.805382E-3	1.000031753E+4
31	1.680000E-7	1.935948E-7	1.777011E-8	3.176140E+1	3.175287E+1	5.923360E-3	1.000031753E+4
32	2.078400E-7	1.940400E-7	1.766159E-8	3.174812E+1	3.175272E+1	5.887188E-3	1.000031753E+4
33	1.574400E-7	1.929309E-7	1.851423E-8	3.176492E+1	3.175309E+1	6.171400E-3	1.000031753E+4
34	2.596800E-7	1.948941E-7	2.152747E-8	3.173084E+1	3.175243E+1	7.175811E-3	1.000031752E+4
35	2.265600E-7	1.957989E-7	2.187352E-8	3.174188E+1	3.175213E+1	7.291162E-3	1.000031752E+4
36	2.004000E-7	1.959267E-7	2.157241E-8	3.175060E+1	3.175209E+1	7.190792E-3	1.000031752E+4
37	1.795200E-7	1.954832E-7	2.144102E-8	3.175756E+1	3.175224E+1	7.146994E-3	1.000031752E+4
38	2.088000E-7	1.958337E-7	2.125933E-8	3.174780E+1	3.175212E+1	7.086432E-3	1.000031752E+4
39	2.222400E-7	1.965108E-7	2.139964E-8	3.174332E+1	3.175190E+1	7.133203E-3	1.000031752E+4
40	1.888800E-7	1.963200E-7	2.115794E-8	3.175444E+1	3.175196E+1	7.052634E-3	1.000031752E+4
41	2.361600E-7	1.972917E-7	2.179862E-8	3.173868E+1	3.175163E+1	7.266194E-3	1.000031752E+4
42	2.400000E-7	1.983086E-7	2.251707E-8	3.173740E+1	3.175130E+1	7.505678E-3	1.000031751E+4
43	1.555200E-7	1.973135E-7	2.318458E-8	3.176556E+1	3.175163E+1	7.728181E-3	1.000031752E+4
44	1.989600E-7	1.973509E-7	2.291475E-8	3.175108E+1	3.175162E+1	7.638238E-3	1.000031752E+4
45	1.975200E-7	1.973547E-7	2.265287E-8	3.175156E+1	3.175161E+1	7.550946E-3	1.000031752E+4
46	1.800000E-7	1.969774E-7	2.254544E-8	3.175740E+1	3.175174E+1	7.515134E-3	1.000031752E+4
47	1.855200E-7	1.967336E-7	2.236157E-8	3.175556E+1	3.175182E+1	7.453845E-3	1.000031752E+4
48	2.152800E-7	1.971200E-7	2.228378E-8	3.174564E+1	3.175169E+1	7.427914E-3	1.000031752E+4
49	1.816800E-7	1.968049E-7	2.216048E-8	3.175684E+1	3.175180E+1	7.386814E-3	1.000031752E+4
50	1.864800E-7	1.965984E-7	2.198173E-8	3.175524E+1	3.175187E+1	7.327233E-3	1.000031752E+4
51	1.831200E-7	1.963341E-7	2.184250E-8	3.175636E+1	3.175195E+1	7.280822E-3	1.000031752E+4
52	2.035200E-7	1.964723E-7	2.165024E-8	3.174956E+1	3.175191E+1	7.216736E-3	1.000031752E+4
53	2.179200E-7	1.968770E-7	2.164251E-8	3.174476E+1	3.175177E+1	7.214158E-3	1.000031752E+4
54	2.032800E-7	1.969956E-7	2.145506E-8	3.174964E+1	3.175173E+1	7.151676E-3	1.000031752E+4
55	2.138400E-7	1.973018E-7	2.137649E-8	3.174612E+1	3.175163E+1	7.125484E-3	1.000031752E+4
56	2.047200E-7	1.974343E-7	2.120445E-8	3.174916E+1	3.175159E+1	7.068137E-3	1.000031752E+4
57	2.025600E-7	1.975242E-7	2.102523E-8	3.174988E+1	3.175156E+1	7.008400E-3	1.000031752E+4
58	2.100000E-7	1.977393E-7	2.090427E-8	3.174740E+1	3.175149E+1	6.968079E-3	1.000031751E+4
59	2.078400E-7	1.979105E-7	2.076496E-8	3.174812E+1	3.175143E+1	6.921641E-3	1.000031751E+4
60	2.265600E-7	1.983880E-7	2.091782E-8	3.174188E+1	3.175127E+1	6.972595E-3	1.000031751E+4
