start date: 	2016-02-23
start time: 	11.41.04
stop date: 	2016-02-23
stop time: 	11.51.17
com rel. humid (%):	28.2
com temp (°C):	26.34
cn temp (°C):	27.56
nv temp (°C):	31.62
remarks: 	
R1 Info: 	SP036
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-23_CCC\160223_007_1141.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-23_CCC\160223_007_1141_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-48.339843750
delta (I2*R2) (V): 	3.0001

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	2.131200E-7	2.131200E-7	NaN
2	1.929600E-7	2.030400E-7	1.008000E-8
3	2.066400E-7	2.042400E-7	5.942121E-9
4	1.881600E-7	2.002200E-7	5.815049E-9
5	1.980000E-7	1.997760E-7	4.526148E-9
6	1.677600E-7	1.944400E-7	6.490781E-9
7	1.852800E-7	1.931314E-7	5.639627E-9
8	2.395200E-7	1.989300E-7	7.581390E-9
9	1.735200E-7	1.961067E-7	7.257817E-9
10	1.917600E-7	1.956720E-7	6.506125E-9
11	2.066400E-7	1.966691E-7	5.968882E-9
12	2.198400E-7	1.986000E-7	5.780834E-9
13	1.946400E-7	1.982954E-7	5.326311E-9
14	2.044800E-7	1.987371E-7	4.950954E-9
15	1.939200E-7	1.984160E-7	4.620261E-9
16	2.102400E-7	1.991550E-7	4.384585E-9
17	1.778400E-7	1.979012E-7	4.305223E-9
18	1.759200E-7	1.966800E-7	4.238723E-9
19	1.771200E-7	1.956505E-7	4.139487E-9
20	1.778400E-7	1.947600E-7	4.026767E-9
21	1.754400E-7	1.938400E-7	3.939160E-9
22	1.800000E-7	1.932109E-7	3.808163E-9
23	1.747200E-7	1.924070E-7	3.726579E-9
24	2.116800E-7	1.932100E-7	3.657183E-9
25	1.831200E-7	1.928064E-7	3.530989E-9
26	1.960800E-7	1.929323E-7	3.394800E-9
27	2.272800E-7	1.942044E-7	3.505612E-9
28	1.869600E-7	1.939457E-7	3.387986E-9
29	1.989600E-7	1.941186E-7	3.273642E-9
30	2.040000E-7	1.944480E-7	3.179744E-9
31	1.680000E-7	1.935948E-7	3.191606E-9
32	2.078400E-7	1.940400E-7	3.122158E-9
33	1.574400E-7	1.929309E-7	3.222914E-9
34	2.596800E-7	1.948941E-7	3.691931E-9
35	2.265600E-7	1.957989E-7	3.697300E-9
36	2.004000E-7	1.959267E-7	3.595402E-9
37	1.795200E-7	1.954832E-7	3.524881E-9
38	2.088000E-7	1.958337E-7	3.448719E-9
39	2.222400E-7	1.965108E-7	3.426686E-9
40	1.888800E-7	1.963200E-7	3.345364E-9
41	2.361600E-7	1.972917E-7	3.404372E-9
42	2.400000E-7	1.983086E-7	3.474459E-9
43	1.555200E-7	1.973135E-7	3.535615E-9
44	1.989600E-7	1.973509E-7	3.454529E-9
45	1.975200E-7	1.973547E-7	3.376891E-9
46	1.800000E-7	1.969774E-7	3.324144E-9
47	1.855200E-7	1.967336E-7	3.261770E-9
48	2.152800E-7	1.971200E-7	3.216386E-9
49	1.816800E-7	1.968049E-7	3.165783E-9
50	1.864800E-7	1.965984E-7	3.108687E-9
51	1.831200E-7	1.963341E-7	3.058562E-9
52	2.035200E-7	1.964723E-7	3.002349E-9
53	2.179200E-7	1.968770E-7	2.972827E-9
54	2.032800E-7	1.969956E-7	2.919664E-9
55	2.138400E-7	1.973018E-7	2.882405E-9
56	2.047200E-7	1.974343E-7	2.833563E-9
57	2.025600E-7	1.975242E-7	2.784860E-9
58	2.100000E-7	1.977393E-7	2.744865E-9
59	2.078400E-7	1.979105E-7	2.703367E-9
60	2.265600E-7	1.983880E-7	2.700479E-9
