start date: 	2016-02-23
start time: 	09.06.44
stop date: 	2016-02-23
stop time: 	09.16.57
com rel. humid (%):	27.1
com temp (°C):	27.08
cn temp (°C):	29.22
nv temp (°C):	33.75
remarks: 	
R1 Info: 	SP036
R2 Info: 	1445
data filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-23_CCC\160223_002_0906.txt
config filepath: 	C:\MagniconData\CCCViewerData\cccviewer_measure\2016-02-23_CCC\160223_002_0906_cccdrive.cfg
time base (Hz): 	60
integration time (time base multiples):	3
number of samples per half cycle: 	100
ignored first samples: 	50
ignored last samples: 	0
amplifier gain: 	10000
delta N1/NA (mTurns): 	-48.339843750
delta (I2*R2) (V): 	3.0001

#points	bvd(V)	bvdmean(V)	stddrtN-1(V)
1	5.040000E-8	5.040000E-8	NaN
2	4.320000E-9	2.736000E-8	2.304000E-8
3	-1.656000E-8	1.272000E-8	1.978072E-8
4	-2.880000E-8	2.340000E-9	1.741789E-8
5	-6.480000E-9	5.760000E-10	1.360667E-8
6	6.960000E-9	1.640000E-9	1.116063E-8
7	-1.032000E-8	-6.857143E-11	9.585949E-9
8	1.200000E-9	9.000000E-11	8.303190E-9
9	3.600000E-9	4.800000E-10	7.333103E-9
10	-1.104000E-8	-6.720000E-10	6.659326E-9
11	-2.400000E-10	-6.327273E-10	6.023715E-9
12	-6.000000E-9	-1.080000E-9	5.517035E-9
13	3.000000E-8	1.310769E-9	5.609878E-9
14	-2.400000E-8	-4.971429E-10	5.499405E-9
15	-3.720000E-8	-2.944000E-9	5.674338E-9
16	-4.320000E-8	-5.460000E-9	5.873977E-9
17	6.240000E-9	-4.771765E-9	5.560398E-9
18	1.320000E-8	-3.773333E-9	5.336623E-9
19	-1.464000E-8	-4.345263E-9	5.080237E-9
20	-3.120000E-9	-4.284000E-9	4.819925E-9
21	-3.312000E-8	-5.657143E-9	4.785881E-9
22	-3.456000E-8	-6.970909E-9	4.748516E-9
23	-2.352000E-8	-7.690435E-9	4.594060E-9
24	-4.704000E-8	-9.330000E-9	4.694122E-9
25	-3.360000E-9	-9.091200E-9	4.508772E-9
26	-1.536000E-8	-9.332308E-9	4.338592E-9
27	-3.480000E-8	-1.027556E-8	4.280044E-9
28	-2.856000E-8	-1.092857E-8	4.175730E-9
29	1.848000E-8	-9.914483E-9	4.154824E-9
30	2.136000E-8	-8.872000E-9	4.147107E-9
31	-5.280000E-9	-8.756129E-9	4.012772E-9
32	-2.376000E-8	-9.225000E-9	3.913539E-9
33	1.728000E-8	-8.421818E-9	3.877197E-9
34	-2.184000E-8	-8.816471E-9	3.782081E-9
35	-2.280000E-8	-9.216000E-9	3.694101E-9
36	-2.232000E-8	-9.580000E-9	3.608427E-9
37	1.680000E-9	-9.275676E-9	3.522717E-9
38	-2.232000E-8	-9.618947E-9	3.445901E-9
39	-3.528000E-8	-1.027692E-8	3.420268E-9
40	-2.544000E-8	-1.065600E-8	3.355148E-9
41	-3.432000E-8	-1.123317E-8	3.322803E-9
42	-1.416000E-8	-1.130286E-8	3.243473E-9
43	-2.184000E-8	-1.154791E-8	3.176611E-9
44	-1.368000E-8	-1.159636E-8	3.103954E-9
45	-2.184000E-8	-1.182400E-8	3.042720E-9
46	1.008000E-8	-1.134783E-8	3.013695E-9
47	-1.296000E-8	-1.138213E-8	2.949077E-9
48	-1.176000E-8	-1.139000E-8	2.886995E-9
49	3.360000E-9	-1.108898E-8	2.843441E-9
50	4.800000E-10	-1.085760E-8	2.795584E-9
51	-6.480000E-9	-1.077176E-8	2.741564E-9
52	-4.248000E-8	-1.138154E-8	2.756613E-9
53	-2.904000E-8	-1.171472E-8	2.724550E-9
54	-1.224000E-8	-1.172444E-8	2.673637E-9
55	-5.280000E-9	-1.160727E-8	2.627189E-9
56	4.800000E-9	-1.131429E-8	2.596432E-9
57	4.800000E-10	-1.110737E-8	2.558854E-9
58	2.184000E-8	-1.053931E-8	2.577720E-9
59	-2.664000E-8	-1.081220E-8	2.548307E-9
60	1.200000E-9	-1.061200E-8	2.513461E-9
